playername,ShotRange,ShotClass,PPS,Points
Al Harrington,00-02 At Rim,Drive,1.75,28
Al Harrington,00-02 At Rim,Dunk,1.9682539682539681,124
Al Harrington,00-02 At Rim,Layup,0.8404255319148937,158
Al Harrington,00-02 At Rim,Reb/Oop,1.2592592592592593,34
Al Harrington,00-02 At Rim,invalid,2.0,6
Al Harrington,03-08 Near Rim,Drive,2.0,4
Al Harrington,03-08 Near Rim,Dunk,2.0,4
Al Harrington,03-08 Near Rim,Jumper,0.3,24
Al Harrington,03-08 Near Rim,Layup,0.5,2
Al Harrington,03-08 Near Rim,Post,0.9230769230769231,12
Al Harrington,09-12 Short Range,Jumper,0.7073170731707317,58
Al Harrington,09-12 Short Range,Post,1.875,30
Al Harrington,13-17 Mid Range,Jumper,0.9004329004329005,208
Al Harrington,13-17 Mid Range,Post,1.4666666666666666,22
Al Harrington,18-23 Long Jumper,Jumper,0.8928571428571429,100
Al Harrington,18-23 Long Jumper,Post,1.0,2
Al Harrington,24-27 Three,Jumper,0.7659574468085106,36
Al Harrington,28-34 Deep,Jumper,0.0,0
Al Harrington,35-46 Near Half,Jumper,1.5,3
Al Harrington,47-94 Backcourt,Jumper,0.0,0
Amare Stoudemire,00-02 At Rim,Drive,1.84,46
Amare Stoudemire,00-02 At Rim,Dunk,1.7477477477477477,194
Amare Stoudemire,00-02 At Rim,Jumper,0.0,0
Amare Stoudemire,00-02 At Rim,Layup,0.8186528497409327,158
Amare Stoudemire,00-02 At Rim,Post,2.0,2
Amare Stoudemire,00-02 At Rim,Reb/Oop,1.3157894736842106,50
Amare Stoudemire,00-02 At Rim,invalid,1.0,2
Amare Stoudemire,03-08 Near Rim,Drive,0.0,0
Amare Stoudemire,03-08 Near Rim,Jumper,0.6962025316455697,110
Amare Stoudemire,03-08 Near Rim,Layup,1.3333333333333333,4
Amare Stoudemire,03-08 Near Rim,Post,1.3043478260869565,60
Amare Stoudemire,03-08 Near Rim,invalid,0.0,0
Amare Stoudemire,09-12 Short Range,Jumper,0.8131868131868132,74
Amare Stoudemire,09-12 Short Range,Post,0.8333333333333334,20
Amare Stoudemire,13-17 Mid Range,Jumper,0.5901639344262295,72
Amare Stoudemire,13-17 Mid Range,Post,0.8571428571428571,12
Amare Stoudemire,18-23 Long Jumper,Jumper,0.6,18
Amare Stoudemire,24-27 Three,Jumper,0.0,0
Amare Stoudemire,35-46 Near Half,Jumper,0.0,0
Andre Miller,00-02 At Rim,Drive,1.3445378151260505,160
Andre Miller,00-02 At Rim,Dunk,1.3333333333333333,4
Andre Miller,00-02 At Rim,Layup,1.136150234741784,242
Andre Miller,00-02 At Rim,Reb/Oop,1.6,16
Andre Miller,00-02 At Rim,invalid,2.0,2
Andre Miller,03-08 Near Rim,Jumper,0.848,106
Andre Miller,03-08 Near Rim,Layup,0.6666666666666666,2
Andre Miller,03-08 Near Rim,Post,1.0,14
Andre Miller,09-12 Short Range,Jumper,0.7636363636363637,84
Andre Miller,09-12 Short Range,Post,1.0588235294117647,18
Andre Miller,13-17 Mid Range,Jumper,0.7724867724867724,146
Andre Miller,13-17 Mid Range,Post,0.6666666666666666,14
Andre Miller,18-23 Long Jumper,Jumper,0.509090909090909,28
Andre Miller,18-23 Long Jumper,Post,1.0,2
Andre Miller,24-27 Three,Jumper,0.6136363636363636,27
