playername,ShotRange,ShotClass,PPS,Points
A.C. Green,00-02 At Rim,Drive,1.2142857142857142,34
A.C. Green,00-02 At Rim,Dunk,2.0,12
A.C. Green,00-02 At Rim,Jumper,2.0,2
A.C. Green,00-02 At Rim,Layup,1.0178571428571428,114
A.C. Green,00-02 At Rim,Post,0.0,0
A.C. Green,00-02 At Rim,Reb/Oop,1.0,12
A.C. Green,00-02 At Rim,invalid,1.0,2
A.C. Green,03-08 Near Rim,Jumper,0.5555555555555556,10
A.C. Green,03-08 Near Rim,Layup,1.0,4
A.C. Green,03-08 Near Rim,Post,1.0,8
A.C. Green,09-12 Short Range,Jumper,0.37037037037037035,10
A.C. Green,13-17 Mid Range,Jumper,0.8666666666666667,182
A.C. Green,18-23 Long Jumper,Jumper,0.9306930693069307,94
A.C. Green,24-27 Three,Jumper,0.0,0
A.C. Green,35-46 Near Half,Jumper,0.0,0
Aaron McKie,00-02 At Rim,Drive,1.2941176470588236,22
Aaron McKie,00-02 At Rim,Dunk,2.0,16
Aaron McKie,00-02 At Rim,Layup,0.8620689655172413,50
Aaron McKie,00-02 At Rim,Reb/Oop,0.5,2
Aaron McKie,03-08 Near Rim,Drive,1.3333333333333333,4
Aaron McKie,03-08 Near Rim,Jumper,0.38095238095238093,8
Aaron McKie,03-08 Near Rim,Layup,1.0,4
Aaron McKie,03-08 Near Rim,Post,2.0,4
Aaron McKie,09-12 Short Range,Jumper,0.6923076923076923,18
Aaron McKie,13-17 Mid Range,Jumper,0.5376344086021505,50
Aaron McKie,18-23 Long Jumper,Jumper,0.9032258064516129,84
Aaron McKie,24-27 Three,Jumper,0.4897959183673469,24
Aaron McKie,28-34 Deep,Jumper,0.0,0
Aaron McKie,35-46 Near Half,Jumper,0.0,0
Aaron Williams,00-02 At Rim,Drive,1.1111111111111112,10
Aaron Williams,00-02 At Rim,Dunk,1.7307692307692308,90
Aaron Williams,00-02 At Rim,Jumper,1.2,6
Aaron Williams,00-02 At Rim,Layup,1.0833333333333333,52
Aaron Williams,00-02 At Rim,Post,2.0,2
Aaron Williams,00-02 At Rim,Reb/Oop,1.1428571428571428,16
Aaron Williams,03-08 Near Rim,Jumper,0.4878048780487805,20
Aaron Williams,03-08 Near Rim,Layup,1.0,2
Aaron Williams,03-08 Near Rim,Post,0.6666666666666666,4
Aaron Williams,09-12 Short Range,Jumper,0.15384615384615385,2
Aaron Williams,13-17 Mid Range,Jumper,1.0434782608695652,24
Aaron Williams,18-23 Long Jumper,Jumper,0.6666666666666666,4
Aaron Williams,24-27 Three,Jumper,0.0,0
Adam Keefe,00-02 At Rim,Drive,1.125,18
Adam Keefe,00-02 At Rim,Dunk,1.8644067796610169,110
Adam Keefe,00-02 At Rim,Jumper,0.0,0
Adam Keefe,00-02 At Rim,Layup,1.1851851851851851,192
Adam Keefe,00-02 At Rim,Post,0.0,0
Adam Keefe,00-02 At Rim,Reb/Oop,0.625,20
Adam Keefe,03-08 Near Rim,Jumper,0.7058823529411765,24
Adam Keefe,03-08 Near Rim,Layup,0.0,0
Adam Keefe,03-08 Near Rim,Post,0.6666666666666666,4
Adam Keefe,03-08 Near Rim,Reb/Oop,2.0,4
Adam Keefe,09-12 Short Range,Jumper,0.7272727272727273,16
Adam Keefe,13-17 Mid Range,Jumper,0.6511627906976745,28
Adam Keefe,18-23 Long Jumper,Jumper,0.9767441860465116,42
Adonal Foyle,00-02 At Rim,Drive,1.5,6
Adonal Foyle,00-02 At Rim,Dunk,1.6666666666666667,20
Adonal Foyle,00-02 At Rim,Jumper,1.0,2
Adonal Foyle,00-02 At Rim,Layup,1.0,40
Adonal Foyle,00-02 At Rim,Post,2.0,2
Adonal Foyle,00-02 At Rim,Reb/Oop,0.8235294117647058,14
Adonal Foyle,03-08 Near Rim,Jumper,0.3888888888888889,14
Adonal Foyle,03-08 Near Rim,Layup,0.5,2
Adonal Foyle,03-08 Near Rim,Post,0.96,24
Adonal Foyle,09-12 Short Range,Jumper,0.6666666666666666,10
Adonal Foyle,13-17 Mid Range,Jumper,0.18181818181818182,2
Adonal Foyle,18-23 Long Jumper,Jumper,1.0,2
Adonal Foyle,24-27 Three,Jumper,0.0,0
Alan Henderson,00-02 At Rim,Drive,1.813953488372093,78
Alan Henderson,00-02 At Rim,Dunk,1.6619718309859155,118
Alan Henderson,00-02 At Rim,Jumper,0.0,0
Alan Henderson,00-02 At Rim,Layup,1.1049723756906078,200
Alan Henderson,00-02 At Rim,Post,0.0,0
Alan Henderson,00-02 At Rim,Reb/Oop,1.069767441860465,46
Alan Henderson,03-08 Near Rim,Drive,0.0,0
Alan Henderson,03-08 Near Rim,Jumper,0.6428571428571429,90
Alan Henderson,03-08 Near Rim,Layup,0.0,0
Alan Henderson,03-08 Near Rim,Post,0.7407407407407407,20
Alan Henderson,09-12 Short Range,Jumper,0.7766990291262136,80
Alan Henderson,09-12 Short Range,Layup,0.0,0
Alan Henderson,09-12 Short Range,Post,0.4,2
Alan Henderson,13-17 Mid Range,Jumper,0.7142857142857143,80
Alan Henderson,18-23 Long Jumper,Jumper,0.8571428571428571,12
Alan Henderson,24-27 Three,Jumper,1.5,6
Allan Houston,00-02 At Rim,Drive,1.5145631067961165,156
Allan Houston,00-02 At Rim,Dunk,1.9047619047619047,40
Allan Houston,00-02 At Rim,Jumper,0.3333333333333333,2
Allan Houston,00-02 At Rim,Layup,0.6434782608695652,74
Allan Houston,00-02 At Rim,Reb/Oop,1.0,6
Allan Houston,03-08 Near Rim,Drive,2.0,4
Allan Houston,03-08 Near Rim,Dunk,2.0,2
Allan Houston,03-08 Near Rim,Jumper,0.7758620689655172,90
Allan Houston,03-08 Near Rim,Post,1.5,6
Allan Houston,09-12 Short Range,Jumper,0.7704918032786885,94
Allan Houston,13-17 Mid Range,Jumper,0.823170731707317,270
Allan Houston,18-23 Long Jumper,Jumper,0.9530685920577617,264
Allan Houston,24-27 Three,Jumper,1.1470588235294117,195
Allan Houston,28-34 Deep,Jumper,2.0,6
Allan Houston,47-94 Backcourt,Jumper,0.0,0
Allen Iverson,00-02 At Rim,Drive,1.7179487179487178,402
Allen Iverson,00-02 At Rim,Dunk,1.793103448275862,52
Allen Iverson,00-02 At Rim,Jumper,0.5,2
Allen Iverson,00-02 At Rim,Layup,0.5428571428571428,114
Allen Iverson,00-02 At Rim,Reb/Oop,1.5555555555555556,14
Allen Iverson,03-08 Near Rim,Drive,1.4,14
Allen Iverson,03-08 Near Rim,Jumper,0.6753246753246753,104
Allen Iverson,03-08 Near Rim,Layup,1.1428571428571428,8
Allen Iverson,03-08 Near Rim,Post,1.0,2
Allen Iverson,09-12 Short Range,Jumper,0.7719298245614035,88
Allen Iverson,13-17 Mid Range,Jumper,0.7982456140350878,182
Allen Iverson,18-23 Long Jumper,Jumper,1.036649214659686,198
Allen Iverson,24-27 Three,Jumper,0.7980295566502463,162
Allen Iverson,28-34 Deep,Jumper,1.6666666666666667,15
Allen Iverson,35-46 Near Half,Jumper,0.0,0
Alonzo Mourning,00-02 At Rim,Drive,1.2941176470588236,22
Alonzo Mourning,00-02 At Rim,Dunk,1.9275362318840579,266
Alonzo Mourning,00-02 At Rim,Jumper,1.0,2
