playername,ShotRange,ShotClass,PPS,Points
Aaron Brooks,00-02 At Rim,Drive,1.1944444444444444,86
Aaron Brooks,00-02 At Rim,Jumper,2.0,4
Aaron Brooks,00-02 At Rim,Layup,0.34285714285714286,12
Aaron Brooks,00-02 At Rim,Post,2.0,2
Aaron Brooks,00-02 At Rim,Reb/Oop,0.0,0
Aaron Brooks,03-08 Near Rim,Cut,2.0,2
Aaron Brooks,03-08 Near Rim,Drive,1.5294117647058822,26
Aaron Brooks,03-08 Near Rim,Jumper,0.5531914893617021,26
Aaron Brooks,03-08 Near Rim,Layup,0.6666666666666666,2
Aaron Brooks,03-08 Near Rim,Post,1.5555555555555556,14
Aaron Brooks,09-12 Short Range,Drive,1.75,14
Aaron Brooks,09-12 Short Range,Jumper,0.6086956521739131,14
Aaron Brooks,09-12 Short Range,Post,0.0,0
Aaron Brooks,09-12 Short Range,Pullup,0.6666666666666666,2
Aaron Brooks,13-17 Mid Range,Drive,2.0,2
Aaron Brooks,13-17 Mid Range,Jumper,0.43243243243243246,16
Aaron Brooks,13-17 Mid Range,Pullup,1.3333333333333333,4
Aaron Brooks,18-23 Long Jumper,Jumper,0.896551724137931,26
Aaron Brooks,18-23 Long Jumper,Pullup,0.8571428571428571,6
Aaron Brooks,24-27 Three,Jumper,1.0774647887323945,153
Aaron Brooks,24-27 Three,Pullup,1.0,9
Aaron Brooks,28-34 Deep,Jumper,1.2857142857142856,9
Aaron Brooks,28-34 Deep,Pullup,3.0,6
Aaron Brooks,35-46 Near Half,Jumper,0.0,0
Aaron Brooks,35-46 Near Half,Pullup,0.0,0
Aaron Brooks,47-94 Backcourt,Jumper,0.0,0
Aaron Gordon,00-02 At Rim,Cut,2.0,26
Aaron Gordon,00-02 At Rim,Drive,1.3953488372093024,60
Aaron Gordon,00-02 At Rim,Dunk,1.935483870967742,60
Aaron Gordon,00-02 At Rim,Jumper,2.0,2
Aaron Gordon,00-02 At Rim,Layup,0.7529411764705882,64
Aaron Gordon,00-02 At Rim,Post,2.0,2
Aaron Gordon,00-02 At Rim,Reb/Oop,1.4772727272727273,130
Aaron Gordon,03-08 Near Rim,Drive,0.6666666666666666,2
Aaron Gordon,03-08 Near Rim,Jumper,0.37037037037037035,10
Aaron Gordon,03-08 Near Rim,Layup,1.5,6
