playername,ShotRange,ShotClass,PPS,Points
AJ Price,00-02 At Rim,Drive,2.0,4
AJ Price,00-02 At Rim,Layup,2.0,2
AJ Price,03-08 Near Rim,Jumper,2.0,2
AJ Price,09-12 Short Range,Jumper,0.0,0
AJ Price,13-17 Mid Range,Jumper,0.8571428571428571,6
AJ Price,13-17 Mid Range,Pullup,2.0,4
AJ Price,18-23 Long Jumper,Jumper,0.7272727272727273,8
AJ Price,18-23 Long Jumper,Pullup,2.0,2
AJ Price,24-27 Three,Jumper,0.7894736842105263,15
AJ Price,35-46 Near Half,Jumper,0.0,0
Aaron Brooks,00-02 At Rim,Drive,1.2238805970149254,82
Aaron Brooks,00-02 At Rim,Layup,0.6808510638297872,32
Aaron Brooks,00-02 At Rim,Reb/Oop,1.3333333333333333,4
Aaron Brooks,03-08 Near Rim,Drive,0.7368421052631579,14
Aaron Brooks,03-08 Near Rim,Jumper,0.7058823529411765,48
Aaron Brooks,03-08 Near Rim,Layup,0.4,2
Aaron Brooks,03-08 Near Rim,Post,0.8,12
Aaron Brooks,03-08 Near Rim,Pullup,0.0,0
Aaron Brooks,03-08 Near Rim,invalid,0.4,2
Aaron Brooks,09-12 Short Range,Jumper,0.7407407407407407,20
Aaron Brooks,09-12 Short Range,Pullup,1.0,2
Aaron Brooks,09-12 Short Range,invalid,2.0,2
Aaron Brooks,13-17 Mid Range,Jumper,0.631578947368421,24
Aaron Brooks,13-17 Mid Range,Pullup,0.5,2
Aaron Brooks,18-23 Long Jumper,Jumper,0.8813559322033898,52
Aaron Brooks,18-23 Long Jumper,Pullup,1.3333333333333333,8
Aaron Brooks,24-27 Three,Jumper,1.2032967032967035,219
Aaron Brooks,24-27 Three,Pullup,0.6923076923076923,9
Aaron Brooks,24-27 Three,invalid,0.0,0
Aaron Brooks,28-34 Deep,Jumper,0.6666666666666666,6
Aaron Brooks,28-34 Deep,Pullup,0.0,0
Aaron Brooks,35-46 Near Half,Jumper,0.75,3
Aaron Brooks,47-94 Backcourt,Jumper,0.0,0
Aaron Gray,00-02 At Rim,Dunk,2.0,4
Aaron Gray,00-02 At Rim,Layup,1.0,16
Aaron Gray,00-02 At Rim,Post,0.0,0
Aaron Gray,00-02 At Rim,Reb/Oop,1.5,6
Aaron Gray,03-08 Near Rim,Jumper,0.7142857142857143,10
Aaron Gray,03-08 Near Rim,Layup,1.0,2
Aaron Gray,03-08 Near Rim,Post,0.6666666666666666,6
Aaron Gray,03-08 Near Rim,Reb/Oop,0.0,0
