playername,ShotRange,ShotClass,PPS,Points
A.C. Green,00-02 At Rim,Drive,1.0,6
A.C. Green,00-02 At Rim,Dunk,2.0,8
A.C. Green,00-02 At Rim,Jumper,0.0,0
A.C. Green,00-02 At Rim,Layup,1.2647058823529411,86
A.C. Green,00-02 At Rim,Post,0.0,0
A.C. Green,00-02 At Rim,Reb/Oop,1.0,10
A.C. Green,03-08 Near Rim,Jumper,0.13333333333333333,2
A.C. Green,03-08 Near Rim,Layup,0.0,0
A.C. Green,03-08 Near Rim,Post,0.8571428571428571,12
A.C. Green,09-12 Short Range,Jumper,0.14285714285714285,2
A.C. Green,09-12 Short Range,Post,2.0,4
A.C. Green,13-17 Mid Range,Jumper,0.8571428571428571,90
A.C. Green,18-23 Long Jumper,Jumper,0.8717948717948718,68
A.C. Green,24-27 Three,Jumper,0.0,0
A.C. Green,35-46 Near Half,Jumper,0.0,0
A.C. Green,47-94 Backcourt,Jumper,0.0,0
A.J. Guyton,00-02 At Rim,Drive,1.1111111111111112,10
A.J. Guyton,00-02 At Rim,Layup,1.3333333333333333,8
A.J. Guyton,03-08 Near Rim,Jumper,1.1428571428571428,8
A.J. Guyton,09-12 Short Range,Jumper,1.0,6
A.J. Guyton,13-17 Mid Range,Jumper,0.6451612903225806,20
A.J. Guyton,18-23 Long Jumper,Jumper,0.7654320987654321,62
A.J. Guyton,24-27 Three,Jumper,1.26,63
A.J. Guyton,28-34 Deep,Jumper,0.0,0
A.J. Guyton,35-46 Near Half,Jumper,0.0,0
Aaron McKie,00-02 At Rim,Drive,1.8734177215189873,148
Aaron McKie,00-02 At Rim,Layup,1.2619047619047619,106
Aaron McKie,00-02 At Rim,Reb/Oop,2.0,2
Aaron McKie,00-02 At Rim,invalid,1.0,2
Aaron McKie,03-08 Near Rim,Drive,0.0,0
Aaron McKie,03-08 Near Rim,Jumper,0.463768115942029,32
Aaron McKie,03-08 Near Rim,Layup,1.0,4
Aaron McKie,03-08 Near Rim,Post,2.0,12
Aaron McKie,09-12 Short Range,Jumper,0.7368421052631579,42
Aaron McKie,09-12 Short Range,Post,1.8181818181818181,20
Aaron McKie,13-17 Mid Range,Jumper,0.8309859154929577,118
Aaron McKie,13-17 Mid Range,Post,1.6666666666666667,10
Aaron McKie,18-23 Long Jumper,Jumper,0.8905109489051095,122
Aaron McKie,24-27 Three,Jumper,0.8571428571428571,84
Aaron McKie,28-34 Deep,Jumper,0.25,3
Aaron McKie,35-46 Near Half,Jumper,0.0,0
Aaron McKie,47-94 Backcourt,Jumper,0.0,0
Aaron Williams,00-02 At Rim,Drive,1.3846153846153846,54
Aaron Williams,00-02 At Rim,Dunk,1.6590909090909092,146
Aaron Williams,00-02 At Rim,Layup,0.9379310344827586,136
Aaron Williams,00-02 At Rim,Post,1.3333333333333333,4
Aaron Williams,00-02 At Rim,Reb/Oop,0.7058823529411765,36
Aaron Williams,03-08 Near Rim,Jumper,0.5346534653465347,54
Aaron Williams,03-08 Near Rim,Layup,1.0,2
Aaron Williams,03-08 Near Rim,Post,1.0943396226415094,58
Aaron Williams,09-12 Short Range,Jumper,0.7659574468085106,36
Aaron Williams,09-12 Short Range,Post,0.6,6
Aaron Williams,13-17 Mid Range,Jumper,0.5609756097560976,46
Aaron Williams,13-17 Mid Range,Post,0.0,0
Aaron Williams,18-23 Long Jumper,Jumper,0.6153846153846154,16
Aaron Williams,24-27 Three,Jumper,0.0,0
Adam Keefe,00-02 At Rim,Drive,1.4285714285714286,10
Adam Keefe,00-02 At Rim,Dunk,2.0,12
Adam Keefe,00-02 At Rim,Jumper,0.0,0
Adam Keefe,00-02 At Rim,Layup,1.3529411764705883,46
Adam Keefe,00-02 At Rim,Post,0.0,0
Adam Keefe,00-02 At Rim,Reb/Oop,0.5454545454545454,6
Adam Keefe,03-08 Near Rim,Jumper,0.5263157894736842,10
Adam Keefe,03-08 Near Rim,Layup,0.4,2
Adam Keefe,03-08 Near Rim,Post,0.0,0
Adam Keefe,09-12 Short Range,Jumper,0.8571428571428571,12
Adam Keefe,09-12 Short Range,Post,0.0,0
Adam Keefe,13-17 Mid Range,Jumper,0.25806451612903225,8
Adam Keefe,13-17 Mid Range,Post,2.0,2
Adam Keefe,18-23 Long Jumper,Jumper,0.75,18
Adam Keefe,24-27 Three,Jumper,1.5,3
Adonal Foyle,00-02 At Rim,Drive,0.8571428571428571,6
Adonal Foyle,00-02 At Rim,Dunk,1.8666666666666667,28
Adonal Foyle,00-02 At Rim,Layup,1.1111111111111112,60
Adonal Foyle,00-02 At Rim,Post,1.0,8
Adonal Foyle,00-02 At Rim,Reb/Oop,0.5945945945945946,22
Adonal Foyle,00-02 At Rim,invalid,0.0,0
Adonal Foyle,03-08 Near Rim,Dunk,2.0,2
Adonal Foyle,03-08 Near Rim,Jumper,0.275,22
Adonal Foyle,03-08 Near Rim,Layup,0.4444444444444444,4
Adonal Foyle,03-08 Near Rim,Post,1.0909090909090908,108
Adonal Foyle,03-08 Near Rim,Reb/Oop,2.0,2
Adonal Foyle,09-12 Short Range,Dunk,2.0,2
Adonal Foyle,09-12 Short Range,Jumper,0.38095238095238093,8
Adonal Foyle,09-12 Short Range,Post,1.1666666666666667,14
Adonal Foyle,13-17 Mid Range,Jumper,0.8461538461538461,22
Adonal Foyle,18-23 Long Jumper,Jumper,1.3333333333333333,4
Adrian Griffin,00-02 At Rim,Drive,1.5,6
Adrian Griffin,00-02 At Rim,Layup,0.8571428571428571,18
Adrian Griffin,00-02 At Rim,Reb/Oop,2.0,2
Adrian Griffin,00-02 At Rim,invalid,0.0,0
Adrian Griffin,03-08 Near Rim,Jumper,0.6666666666666666,8
Adrian Griffin,03-08 Near Rim,Layup,0.0,0
Adrian Griffin,03-08 Near Rim,Post,0.0,0
Adrian Griffin,09-12 Short Range,Jumper,1.0,4
Adrian Griffin,13-17 Mid Range,Jumper,0.25,4
Adrian Griffin,18-23 Long Jumper,Jumper,0.7272727272727273,16
Adrian Griffin,24-27 Three,Jumper,1.0909090909090908,12
Adrian Griffin,28-34 Deep,Jumper,0.0,0
Adrian Griffin,35-46 Near Half,Jumper,0.0,0
Adrian Griffin,47-94 Backcourt,Jumper,0.0,0
Al Harrington,00-02 At Rim,Drive,1.5238095238095237,32
Al Harrington,00-02 At Rim,Dunk,1.9428571428571428,68
Al Harrington,00-02 At Rim,Jumper,0.0,0
Al Harrington,00-02 At Rim,Layup,0.8598130841121495,92
Al Harrington,00-02 At Rim,Reb/Oop,1.25,20
Al Harrington,00-02 At Rim,invalid,2.0,2
Al Harrington,03-08 Near Rim,Drive,2.0,4
Al Harrington,03-08 Near Rim,Dunk,2.0,4
Al Harrington,03-08 Near Rim,Jumper,0.48936170212765956,46
Al Harrington,03-08 Near Rim,Layup,0.8571428571428571,6
Al Harrington,03-08 Near Rim,Post,1.2,12
Al Harrington,03-08 Near Rim,Reb/Oop,2.0,4
Al Harrington,03-08 Near Rim,invalid,2.0,2
Al Harrington,09-12 Short Range,Jumper,0.7457627118644068,44
Al Harrington,09-12 Short Range,Post,1.0,6
Al Harrington,13-17 Mid Range,Jumper,0.7663551401869159,82
Al Harrington,13-17 Mid Range,Post,1.2,6
Al Harrington,18-23 Long Jumper,Jumper,0.819672131147541,50
Al Harrington,24-27 Three,Jumper,0.6000000000000001,3
Al Harrington,35-46 Near Half,Jumper,0.0,0
Alan Henderson,00-02 At Rim,Drive,1.5384615384615385,20
Alan Henderson,00-02 At Rim,Dunk,1.7575757575757576,58
Alan Henderson,00-02 At Rim,Jumper,1.0,2
Alan Henderson,00-02 At Rim,Layup,1.1826923076923077,246
Alan Henderson,00-02 At Rim,Post,0.0,0
Alan Henderson,00-02 At Rim,Reb/Oop,1.0303030303030303,34
Alan Henderson,03-08 Near Rim,Drive,2.0,2
Alan Henderson,03-08 Near Rim,Jumper,0.45454545454545453,60
Alan Henderson,03-08 Near Rim,Layup,0.5,4
Alan Henderson,03-08 Near Rim,Post,1.024390243902439,42
Alan Henderson,09-12 Short Range,Jumper,0.5897435897435898,46
Alan Henderson,09-12 Short Range,Post,0.9090909090909091,10
Alan Henderson,13-17 Mid Range,Jumper,0.6593406593406593,60
Alan Henderson,13-17 Mid Range,Post,0.6666666666666666,2
Alan Henderson,18-23 Long Jumper,Jumper,0.7142857142857143,10
Alan Henderson,24-27 Three,Jumper,0.0,0
Allan Houston,00-02 At Rim,Drive,1.346938775510204,66
Allan Houston,00-02 At Rim,Dunk,2.0,8
Allan Houston,00-02 At Rim,Jumper,1.0,2
Allan Houston,00-02 At Rim,Layup,0.49230769230769234,32
Allan Houston,00-02 At Rim,Reb/Oop,0.5,2
Allan Houston,00-02 At Rim,invalid,0.0,0
Allan Houston,03-08 Near Rim,Drive,2.0,6
Allan Houston,03-08 Near Rim,Jumper,0.5882352941176471,50
Allan Houston,03-08 Near Rim,Layup,0.4,2
Allan Houston,03-08 Near Rim,Post,1.3333333333333333,4
Allan Houston,09-12 Short Range,Jumper,0.9692307692307692,126
Allan Houston,09-12 Short Range,Post,1.6,8
Allan Houston,13-17 Mid Range,Jumper,0.949438202247191,338
Allan Houston,13-17 Mid Range,Post,1.0,8
Allan Houston,18-23 Long Jumper,Jumper,1.0,280
Allan Houston,24-27 Three,Jumper,1.1099999999999999,222
Allan Houston,28-34 Deep,Jumper,1.2000000000000002,6
Allan Houston,35-46 Near Half,Jumper,0.0,0
Allen Iverson,00-02 At Rim,Drive,1.643835616438356,360
Allen Iverson,00-02 At Rim,Dunk,2.0,14
Allen Iverson,00-02 At Rim,Jumper,1.0,2
Allen Iverson,00-02 At Rim,Layup,1.017751479289941,172
Allen Iverson,00-02 At Rim,Reb/Oop,0.8,4
Allen Iverson,00-02 At Rim,invalid,1.3333333333333333,4
Allen Iverson,03-08 Near Rim,Drive,1.6363636363636365,18
Allen Iverson,03-08 Near Rim,Jumper,0.4375,112
Allen Iverson,03-08 Near Rim,Layup,0.5454545454545454,6
Allen Iverson,03-08 Near Rim,Post,1.25,10
Allen Iverson,03-08 Near Rim,invalid,2.0,2
Allen Iverson,09-12 Short Range,Jumper,0.5986394557823129,88
Allen Iverson,09-12 Short Range,Post,2.0,4
Allen Iverson,13-17 Mid Range,Jumper,0.7427184466019418,306
Allen Iverson,13-17 Mid Range,Post,2.0,2
Allen Iverson,18-23 Long Jumper,Jumper,0.875,252
Allen Iverson,24-27 Three,Jumper,1.0292887029288704,246
Allen Iverson,28-34 Deep,Jumper,0.20689655172413793,6
Allen Iverson,35-46 Near Half,Jumper,0.0,0
Allen Iverson,47-94 Backcourt,Jumper,0.0,0
Alonzo Mourning,00-02 At Rim,Drive,1.7142857142857142,12
Alonzo Mourning,00-02 At Rim,Dunk,1.9090909090909092,42
Alonzo Mourning,00-02 At Rim,Layup,0.9090909090909091,20
Alonzo Mourning,00-02 At Rim,Reb/Oop,1.3333333333333333,4
Alonzo Mourning,00-02 At Rim,invalid,2.0,2
Alonzo Mourning,03-08 Near Rim,Jumper,1.1111111111111112,10
Alonzo Mourning,03-08 Near Rim,Layup,0.6666666666666666,2
Alonzo Mourning,03-08 Near Rim,Post,0.8888888888888888,16
Alonzo Mourning,09-12 Short Range,Jumper,0.6666666666666666,6
Alonzo Mourning,09-12 Short Range,Post,0.0,0
Alonzo Mourning,13-17 Mid Range,Jumper,0.9629629629629629,26
Alonzo Mourning,13-17 Mid Range,Post,1.0,2
Alonzo Mourning,18-23 Long Jumper,Jumper,0.36363636363636365,4
Alonzo Mourning,24-27 Three,Jumper,0.0,0
Alvin Williams,00-02 At Rim,Drive,1.394736842105263,106
Alvin Williams,00-02 At Rim,Dunk,2.0,2
Alvin Williams,00-02 At Rim,Jumper,0.0,0
Alvin Williams,00-02 At Rim,Layup,1.0606060606060606,70
Alvin Williams,00-02 At Rim,Reb/Oop,1.6,8
Alvin Williams,00-02 At Rim,invalid,1.0,2
Alvin Williams,03-08 Near Rim,Drive,2.0,2
Alvin Williams,03-08 Near Rim,Jumper,0.7407407407407407,40
Alvin Williams,03-08 Near Rim,Layup,1.0,2
Alvin Williams,03-08 Near Rim,Post,1.0,2
Alvin Williams,09-12 Short Range,Jumper,0.7391304347826086,34
Alvin Williams,09-12 Short Range,Post,0.6666666666666666,2
Alvin Williams,13-17 Mid Range,Jumper,0.8275862068965517,120
Alvin Williams,13-17 Mid Range,Post,1.2,6
Alvin Williams,18-23 Long Jumper,Jumper,0.8015267175572519,210
Alvin Williams,18-23 Long Jumper,Post,0.0,0
Alvin Williams,24-27 Three,Jumper,0.9642857142857144,81
