playername,ShotRange,ShotClass,PPS,Points
Aaron Brooks,00-02 At Rim,Drive,0.8333333333333334,10
Aaron Brooks,00-02 At Rim,Layup,1.0,2
Aaron Brooks,03-08 Near Rim,Drive,0.4,2
Aaron Brooks,03-08 Near Rim,Jumper,0.0,0
Aaron Brooks,03-08 Near Rim,Post,2.0,4
Aaron Brooks,09-12 Short Range,Drive,2.0,2
Aaron Brooks,09-12 Short Range,Jumper,0.0,0
Aaron Brooks,13-17 Mid Range,Drive,0.0,0
Aaron Brooks,13-17 Mid Range,Jumper,2.0,8
Aaron Brooks,13-17 Mid Range,Post,0.0,0
Aaron Brooks,13-17 Mid Range,Pullup,1.3333333333333333,4
Aaron Brooks,18-23 Long Jumper,Jumper,0.8571428571428571,6
Aaron Brooks,18-23 Long Jumper,Pullup,2.0,2
Aaron Brooks,24-27 Three,Jumper,1.5,21
Aaron Brooks,24-27 Three,Pullup,0.5,3
Aaron Brooks,28-34 Deep,Jumper,0.0,0
Aaron Brooks,28-34 Deep,Pullup,0.0,0
Aaron Brooks,47-94 Backcourt,Jumper,0.0,0
Aaron Gordon,00-02 At Rim,Cut,1.7894736842105263,34
Aaron Gordon,00-02 At Rim,Drive,1.3220338983050848,78
Aaron Gordon,00-02 At Rim,Dunk,1.9473684210526316,74
Aaron Gordon,00-02 At Rim,Layup,0.8979591836734694,44
Aaron Gordon,00-02 At Rim,Post,0.6666666666666666,2
Aaron Gordon,00-02 At Rim,Pullup,2.0,2
Aaron Gordon,00-02 At Rim,Reb/Oop,1.6176470588235294,110
Aaron Gordon,03-08 Near Rim,Cut,2.0,2
Aaron Gordon,03-08 Near Rim,Drive,0.6153846153846154,16
Aaron Gordon,03-08 Near Rim,Dunk,1.0,2
Aaron Gordon,03-08 Near Rim,Jumper,0.10526315789473684,2
Aaron Gordon,03-08 Near Rim,Layup,0.5714285714285714,12
Aaron Gordon,03-08 Near Rim,Post,0.9230769230769231,12
Aaron Gordon,03-08 Near Rim,Pullup,0.6666666666666666,2
Aaron Gordon,03-08 Near Rim,Reb/Oop,2.0,2
Aaron Gordon,09-12 Short Range,Drive,0.6666666666666666,2
Aaron Gordon,09-12 Short Range,Jumper,0.3225806451612903,10
Aaron Gordon,09-12 Short Range,Post,1.0,14
Aaron Gordon,09-12 Short Range,Pullup,0.6666666666666666,2
Aaron Gordon,13-17 Mid Range,Jumper,0.5714285714285714,32
Aaron Gordon,13-17 Mid Range,Post,0.8235294117647058,14
Aaron Gordon,13-17 Mid Range,Pullup,0.7586206896551724,22
Aaron Gordon,18-23 Long Jumper,Jumper,0.6736842105263158,64
Aaron Gordon,18-23 Long Jumper,Post,0.0,0
Aaron Gordon,18-23 Long Jumper,Pullup,0.7058823529411765,12
Aaron Gordon,24-27 Three,Jumper,1.0969162995594715,249
Aaron Gordon,24-27 Three,Post,0.0,0
Aaron Gordon,24-27 Three,Pullup,0.6176470588235294,21
Aaron Gordon,28-34 Deep,Jumper,0.30000000000000004,3
Aaron Gordon,28-34 Deep,Pullup,1.0,3
Aaron Gordon,35-46 Near Half,Pullup,0.0,0
Aaron Harrison,00-02 At Rim,Cut,2.0,2
Aaron Harrison,00-02 At Rim,Drive,1.0,4
Aaron Harrison,00-02 At Rim,Layup,1.0,2
Aaron Harrison,00-02 At Rim,Reb/Oop,2.0,2
Aaron Harrison,03-08 Near Rim,Drive,0.6666666666666666,2
Aaron Harrison,09-12 Short Range,Drive,0.0,0
Aaron Harrison,09-12 Short Range,Pullup,2.0,2
Aaron Harrison,13-17 Mid Range,Drive,0.0,0
Aaron Harrison,13-17 Mid Range,Jumper,0.0,0
Aaron Harrison,13-17 Mid Range,Pullup,0.75,6
Aaron Harrison,18-23 Long Jumper,Drive,0.0,0
Aaron Harrison,18-23 Long Jumper,Jumper,0.14285714285714285,2
Aaron Harrison,24-27 Three,Jumper,0.8888888888888888,24
Aaron Harrison,24-27 Three,Pullup,0.0,0
Aaron Harrison,28-34 Deep,Jumper,0.0,0
Aaron Jackson,00-02 At Rim,Cut,2.0,2
Aaron Jackson,00-02 At Rim,Layup,0.0,0
Aaron Jackson,03-08 Near Rim,Drive,1.0,2
Aaron Jackson,18-23 Long Jumper,Jumper,0.0,0
Aaron Jackson,24-27 Three,Jumper,0.0,0
Aaron Jackson,24-27 Three,Pullup,3.0,3
Abdel Nader,00-02 At Rim,Cut,1.0,2
Abdel Nader,00-02 At Rim,Drive,0.7619047619047619,16
Abdel Nader,00-02 At Rim,Dunk,2.0,2
Abdel Nader,00-02 At Rim,Layup,1.1428571428571428,8
Abdel Nader,00-02 At Rim,Reb/Oop,0.8571428571428571,6
Abdel Nader,03-08 Near Rim,Cut,0.0,0
Abdel Nader,03-08 Near Rim,Drive,0.5714285714285714,12
Abdel Nader,03-08 Near Rim,Jumper,0.5,2
Abdel Nader,03-08 Near Rim,Layup,0.0,0
Abdel Nader,03-08 Near Rim,Post,1.0,2
Abdel Nader,09-12 Short Range,Drive,1.0,2
Abdel Nader,09-12 Short Range,Jumper,0.0,0
Abdel Nader,09-12 Short Range,Post,0.0,0
Abdel Nader,13-17 Mid Range,Jumper,0.0,0
Abdel Nader,13-17 Mid Range,Post,0.0,0
Abdel Nader,13-17 Mid Range,Pullup,0.0,0
Abdel Nader,18-23 Long Jumper,Jumper,0.8,20
Abdel Nader,18-23 Long Jumper,Pullup,0.0,0
Abdel Nader,24-27 Three,Jumper,0.9230769230769231,36
Abdel Nader,24-27 Three,Pullup,3.0,3
Abdel Nader,28-34 Deep,Jumper,1.0,3
Adreian Payne,00-02 At Rim,Reb/Oop,2.0,2
Adreian Payne,03-08 Near Rim,Jumper,2.0,2
Adreian Payne,03-08 Near Rim,Post,2.0,2
Adreian Payne,13-17 Mid Range,Pullup,2.0,2
Adreian Payne,18-23 Long Jumper,Jumper,1.0,4
Adreian Payne,24-27 Three,Jumper,1.5,3
Al Horford,00-02 At Rim,Cut,2.0,36
Al Horford,00-02 At Rim,Drive,1.4222222222222223,64
Al Horford,00-02 At Rim,Dunk,1.7777777777777777,16
Al Horford,00-02 At Rim,Jumper,2.0,2
Al Horford,00-02 At Rim,Layup,1.0625,34
Al Horford,00-02 At Rim,Post,1.3333333333333333,8
Al Horford,00-02 At Rim,Reb/Oop,1.5789473684210527,60
Al Horford,03-08 Near Rim,Cut,2.0,2
Al Horford,03-08 Near Rim,Drive,1.1578947368421053,22
Al Horford,03-08 Near Rim,Jumper,1.1304347826086956,26
Al Horford,03-08 Near Rim,Layup,0.7,14
Al Horford,03-08 Near Rim,Post,0.8155339805825242,84
Al Horford,03-08 Near Rim,Pullup,0.0,0
Al Horford,03-08 Near Rim,Reb/Oop,0.0,0
Al Horford,09-12 Short Range,Drive,0.75,6
Al Horford,09-12 Short Range,Jumper,0.6428571428571429,18
Al Horford,09-12 Short Range,Layup,0.0,0
Al Horford,09-12 Short Range,Post,0.8214285714285714,46
