playername,ShotRange,ShotClass,PPS,Points
A.C. Green,00-02 At Rim,Drive,1.6470588235294117,28
A.C. Green,00-02 At Rim,Dunk,2.0,48
A.C. Green,00-02 At Rim,Jumper,1.0,2
A.C. Green,00-02 At Rim,Layup,0.9942196531791907,172
A.C. Green,00-02 At Rim,Reb/Oop,1.2727272727272727,14
A.C. Green,03-08 Near Rim,Jumper,0.5454545454545454,12
A.C. Green,03-08 Near Rim,Post,1.1666666666666667,14
A.C. Green,09-12 Short Range,Jumper,0.9166666666666666,22
A.C. Green,13-17 Mid Range,Jumper,0.8396946564885496,110
A.C. Green,18-23 Long Jumper,Jumper,0.7241379310344828,42
A.C. Green,24-27 Three,Jumper,0.0,0
A.C. Green,24-27 Three,Reb/Oop,3.0,3
A.C. Green,35-46 Near Half,Jumper,0.0,0
A.C. Green,47-94 Backcourt,Jumper,0.75,3
Aaron McKie,00-02 At Rim,Drive,1.3181818181818181,58
Aaron McKie,00-02 At Rim,Dunk,2.0,10
Aaron McKie,00-02 At Rim,Jumper,0.0,0
Aaron McKie,00-02 At Rim,Layup,1.0,74
Aaron McKie,00-02 At Rim,Reb/Oop,0.0,0
Aaron McKie,03-08 Near Rim,Jumper,0.35714285714285715,10
Aaron McKie,09-12 Short Range,Jumper,0.17391304347826086,4
Aaron McKie,09-12 Short Range,Post,0.0,0
Aaron McKie,13-17 Mid Range,Jumper,0.7017543859649122,40
Aaron McKie,18-23 Long Jumper,Jumper,0.8545454545454545,94
Aaron McKie,24-27 Three,Jumper,1.0714285714285714,15
Aaron McKie,28-34 Deep,Jumper,0.0,0
Aaron McKie,35-46 Near Half,Jumper,0.0,0
Aaron McKie,47-94 Backcourt,Jumper,0.0,0
Aaron Williams,00-02 At Rim,Drive,1.6666666666666667,10
Aaron Williams,00-02 At Rim,Dunk,1.7575757575757576,58
Aaron Williams,00-02 At Rim,Layup,1.1851851851851851,64
Aaron Williams,00-02 At Rim,Post,0.0,0
Aaron Williams,00-02 At Rim,Reb/Oop,0.9333333333333333,14
Aaron Williams,03-08 Near Rim,Jumper,0.5333333333333333,8
Aaron Williams,03-08 Near Rim,Post,1.3333333333333333,12
Aaron Williams,09-12 Short Range,Jumper,0.0,0
Aaron Williams,09-12 Short Range,Post,0.0,0
Aaron Williams,13-17 Mid Range,Jumper,1.0,4
Aaron Williams,18-23 Long Jumper,Jumper,0.0,0
Acie Earl,00-02 At Rim,Drive,0.0,0
Acie Earl,00-02 At Rim,Dunk,2.0,12
Acie Earl,00-02 At Rim,Jumper,0.0,0
Acie Earl,00-02 At Rim,Layup,0.7142857142857143,30
Acie Earl,00-02 At Rim,Reb/Oop,1.0,8
Acie Earl,03-08 Near Rim,Jumper,0.9696969696969697,32
Acie Earl,03-08 Near Rim,Post,0.9333333333333333,14
Acie Earl,09-12 Short Range,Jumper,0.717948717948718,28
Acie Earl,09-12 Short Range,Post,1.0,2
Acie Earl,13-17 Mid Range,Jumper,0.3333333333333333,8
Acie Earl,13-17 Mid Range,Post,0.0,0
Acie Earl,18-23 Long Jumper,Jumper,0.0,0
Acie Earl,24-27 Three,Jumper,0.0,0
Acie Earl,47-94 Backcourt,Jumper,0.0,0
Adam Keefe,00-02 At Rim,Drive,2.0,4
Adam Keefe,00-02 At Rim,Dunk,1.8888888888888888,34
Adam Keefe,00-02 At Rim,Layup,1.0434782608695652,72
Adam Keefe,00-02 At Rim,Reb/Oop,0.5333333333333333,8
Adam Keefe,03-08 Near Rim,Jumper,0.8,8
Adam Keefe,03-08 Near Rim,Post,0.4,2
Adam Keefe,09-12 Short Range,Jumper,1.0,8
Adam Keefe,09-12 Short Range,Post,0.6666666666666666,2
Adam Keefe,13-17 Mid Range,Jumper,0.8571428571428571,18
Adam Keefe,13-17 Mid Range,Post,2.0,2
Adam Keefe,18-23 Long Jumper,Jumper,0.8571428571428571,6
Adam Keefe,35-46 Near Half,Jumper,0.0,0
Adrian Caldwell,00-02 At Rim,Drive,2.0,10
Adrian Caldwell,00-02 At Rim,Dunk,2.0,16
Adrian Caldwell,00-02 At Rim,Layup,0.8292682926829268,34
Adrian Caldwell,00-02 At Rim,Reb/Oop,0.875,14
Adrian Caldwell,03-08 Near Rim,Jumper,0.25,2
Adrian Caldwell,03-08 Near Rim,Post,0.6666666666666666,2
Adrian Caldwell,09-12 Short Range,Jumper,0.0,0
Adrian Caldwell,09-12 Short Range,Post,0.0,0
Adrian Caldwell,13-17 Mid Range,Jumper,0.6666666666666666,2
Adrian Caldwell,18-23 Long Jumper,Jumper,0.0,0
Adrian Caldwell,24-27 Three,Jumper,0.0,0
Alan Henderson,00-02 At Rim,Drive,2.0,20
Alan Henderson,00-02 At Rim,Dunk,2.0,38
Alan Henderson,00-02 At Rim,Layup,0.8064516129032258,50
Alan Henderson,00-02 At Rim,Reb/Oop,1.3333333333333333,16
Alan Henderson,03-08 Near Rim,Jumper,1.1111111111111112,10
Alan Henderson,03-08 Near Rim,Post,0.0,0
Alan Henderson,09-12 Short Range,Jumper,0.47619047619047616,10
Alan Henderson,13-17 Mid Range,Jumper,0.32,8
Alan Henderson,18-23 Long Jumper,Jumper,0.6666666666666666,2
Allan Houston,00-02 At Rim,Drive,1.7083333333333333,82
Allan Houston,00-02 At Rim,Dunk,2.0,28
Allan Houston,00-02 At Rim,Jumper,0.0,0
Allan Houston,00-02 At Rim,Layup,0.5263157894736842,60
Allan Houston,00-02 At Rim,Reb/Oop,1.2,6
Allan Houston,03-08 Near Rim,Jumper,0.96875,62
Allan Houston,09-12 Short Range,Jumper,0.8131868131868132,74
Allan Houston,13-17 Mid Range,Jumper,0.819047619047619,172
Allan Houston,18-23 Long Jumper,Jumper,0.8541666666666666,328
Allan Houston,24-27 Three,Jumper,1.0108695652173914,93
Allan Houston,28-34 Deep,Jumper,0.0,0
Allan Houston,35-46 Near Half,Jumper,0.0,0
Allen Iverson,00-02 At Rim,Drive,1.7444933920704846,396
Allen Iverson,00-02 At Rim,Dunk,2.0,60
Allen Iverson,00-02 At Rim,Jumper,1.0,4
Allen Iverson,00-02 At Rim,Layup,0.3753351206434316,140
Allen Iverson,00-02 At Rim,Post,2.0,4
Allen Iverson,00-02 At Rim,Reb/Oop,1.6666666666666667,10
Allen Iverson,03-08 Near Rim,Drive,1.5,6
Allen Iverson,03-08 Near Rim,Jumper,0.9743589743589743,76
Allen Iverson,03-08 Near Rim,Layup,0.0,0
Allen Iverson,03-08 Near Rim,Post,1.0,2
Allen Iverson,09-12 Short Range,Jumper,0.6285714285714286,44
Allen Iverson,13-17 Mid Range,Jumper,0.7386363636363636,130
Allen Iverson,18-23 Long Jumper,Jumper,0.88,242
Allen Iverson,24-27 Three,Jumper,0.8425531914893618,198
Allen Iverson,28-34 Deep,Jumper,0.4,6
Allen Iverson,35-46 Near Half,Jumper,0.0,0
Allen Iverson,47-94 Backcourt,Jumper,0.0,0
Alonzo Mourning,00-02 At Rim,Drive,1.5789473684210527,60
Alonzo Mourning,00-02 At Rim,Dunk,1.9669421487603307,238
Alonzo Mourning,00-02 At Rim,Jumper,0.0,0
Alonzo Mourning,00-02 At Rim,Layup,0.9108910891089109,184
Alonzo Mourning,00-02 At Rim,Post,1.2,12
Alonzo Mourning,00-02 At Rim,Reb/Oop,0.7272727272727273,8
Alonzo Mourning,03-08 Near Rim,Jumper,0.559322033898305,66
Alonzo Mourning,03-08 Near Rim,Layup,0.6666666666666666,2
Alonzo Mourning,03-08 Near Rim,Post,1.3274336283185841,150
Alonzo Mourning,09-12 Short Range,Jumper,0.6495726495726496,76
Alonzo Mourning,09-12 Short Range,Post,1.3333333333333333,8
Alonzo Mourning,13-17 Mid Range,Jumper,1.0689655172413792,124
Alonzo Mourning,18-23 Long Jumper,Jumper,0.6923076923076923,18
