playername,ShotRange,ShotClass,PPS,Points
Al Harrington,00-02 At Rim,Drive,1.7297297297297298,64
Al Harrington,00-02 At Rim,Dunk,1.9701492537313432,132
Al Harrington,00-02 At Rim,Layup,0.9571428571428572,268
Al Harrington,00-02 At Rim,Reb/Oop,1.35,54
Al Harrington,00-02 At Rim,invalid,1.5,6
Al Harrington,03-08 Near Rim,Jumper,0.6597938144329897,64
Al Harrington,03-08 Near Rim,Layup,1.0,2
Al Harrington,03-08 Near Rim,Post,1.2222222222222223,22
Al Harrington,09-12 Short Range,Jumper,0.4473684210526316,34
Al Harrington,09-12 Short Range,Post,1.3333333333333333,12
Al Harrington,13-17 Mid Range,Jumper,0.6862745098039216,140
Al Harrington,13-17 Mid Range,Post,1.3333333333333333,12
Al Harrington,18-23 Long Jumper,Jumper,0.8,72
Al Harrington,18-23 Long Jumper,Post,1.0,2
Al Harrington,24-27 Three,Jumper,0.6818181818181818,30
Al Harrington,28-34 Deep,Jumper,1.5,3
Al Harrington,35-46 Near Half,Jumper,0.0,0
Al Harrington,47-94 Backcourt,Jumper,0.0,0
Al Jefferson,00-02 At Rim,Drive,1.0,2
Al Jefferson,00-02 At Rim,Dunk,1.9574468085106382,92
Al Jefferson,00-02 At Rim,Layup,0.9105691056910569,112
Al Jefferson,00-02 At Rim,Reb/Oop,0.9629629629629629,26
Al Jefferson,00-02 At Rim,invalid,2.0,2
Al Jefferson,03-08 Near Rim,Jumper,0.8055555555555556,58
Al Jefferson,03-08 Near Rim,Layup,1.0,6
Al Jefferson,03-08 Near Rim,Post,1.5333333333333334,46
Al Jefferson,03-08 Near Rim,Reb/Oop,0.0,0
Al Jefferson,03-08 Near Rim,invalid,2.0,2
Al Jefferson,09-12 Short Range,Jumper,0.9,18
Al Jefferson,09-12 Short Range,Post,0.7272727272727273,8
Al Jefferson,13-17 Mid Range,Jumper,0.7272727272727273,16
Al Jefferson,18-23 Long Jumper,Jumper,0.6666666666666666,2
Al Jefferson,24-27 Three,Jumper,0.0,0
Al Jefferson,35-46 Near Half,Jumper,0.0,0
Al Jefferson,47-94 Backcourt,Jumper,0.0,0
Amare Stoudemire,00-02 At Rim,Drive,1.7543859649122806,100
Amare Stoudemire,00-02 At Rim,Dunk,1.8253275109170306,418
Amare Stoudemire,00-02 At Rim,Jumper,1.0,4
Amare Stoudemire,00-02 At Rim,Layup,1.0503597122302157,292
Amare Stoudemire,00-02 At Rim,Post,1.3333333333333333,4
Amare Stoudemire,00-02 At Rim,Reb/Oop,1.263157894736842,48
Amare Stoudemire,00-02 At Rim,invalid,0.6666666666666666,2
Amare Stoudemire,03-08 Near Rim,Drive,0.6666666666666666,2
Amare Stoudemire,03-08 Near Rim,Jumper,0.7777777777777778,154
Amare Stoudemire,03-08 Near Rim,Layup,2.0,6
Amare Stoudemire,03-08 Near Rim,Post,1.2413793103448276,36
Amare Stoudemire,03-08 Near Rim,invalid,0.0,0
Amare Stoudemire,09-12 Short Range,Jumper,0.5504587155963303,60
Amare Stoudemire,09-12 Short Range,Post,1.5,30
Amare Stoudemire,13-17 Mid Range,Jumper,0.944206008583691,220
Amare Stoudemire,13-17 Mid Range,Post,1.4,28
Amare Stoudemire,18-23 Long Jumper,Jumper,0.896551724137931,78
Amare Stoudemire,18-23 Long Jumper,Post,2.0,4
Amare Stoudemire,24-27 Three,Jumper,0.75,6
Amare Stoudemire,28-34 Deep,Jumper,0.0,0
Amare Stoudemire,35-46 Near Half,Jumper,0.0,0
Amare Stoudemire,47-94 Backcourt,Jumper,0.0,0
Anderson Varejao,00-02 At Rim,Drive,1.1111111111111112,10
Anderson Varejao,00-02 At Rim,Dunk,1.8571428571428572,26
Anderson Varejao,00-02 At Rim,Layup,1.2666666666666666,76
Anderson Varejao,00-02 At Rim,Post,0.0,0
Anderson Varejao,00-02 At Rim,Reb/Oop,0.9523809523809523,20
Anderson Varejao,03-08 Near Rim,Drive,2.0,2
Anderson Varejao,03-08 Near Rim,Jumper,0.7058823529411765,12
Anderson Varejao,03-08 Near Rim,Layup,0.0,0
Anderson Varejao,03-08 Near Rim,Post,0.9090909090909091,10
Anderson Varejao,09-12 Short Range,Jumper,0.5,2
Anderson Varejao,09-12 Short Range,Post,2.0,2
Anderson Varejao,13-17 Mid Range,Jumper,0.5333333333333333,16
Anderson Varejao,18-23 Long Jumper,Jumper,1.0,22
Anderson Varejao,24-27 Three,Jumper,0.0,0
Andre Iguodala,00-02 At Rim,Drive,1.9310344827586208,56
Andre Iguodala,00-02 At Rim,Dunk,1.7727272727272727,156
Andre Iguodala,00-02 At Rim,Layup,0.7083333333333334,68
Andre Iguodala,00-02 At Rim,Reb/Oop,1.894736842105263,72
Andre Iguodala,00-02 At Rim,invalid,0.0,0
Andre Iguodala,03-08 Near Rim,Jumper,0.2777777777777778,10
Andre Iguodala,03-08 Near Rim,Post,1.6,8
Andre Iguodala,09-12 Short Range,Jumper,0.5217391304347826,12
Andre Iguodala,09-12 Short Range,Post,2.0,4
Andre Iguodala,13-17 Mid Range,Jumper,0.5531914893617021,26
Andre Iguodala,13-17 Mid Range,Post,2.0,2
Andre Iguodala,18-23 Long Jumper,Jumper,0.6736842105263158,64
Andre Iguodala,24-27 Three,Jumper,1.1012658227848102,87
Andre Iguodala,28-34 Deep,Jumper,1.5,3
Andre Iguodala,35-46 Near Half,Jumper,0.0,0
Andre Miller,00-02 At Rim,Drive,1.5164835164835164,138
Andre Miller,00-02 At Rim,Dunk,2.0,6
Andre Miller,00-02 At Rim,Layup,1.208695652173913,278
Andre Miller,00-02 At Rim,Reb/Oop,1.0769230769230769,14
Andre Miller,00-02 At Rim,invalid,2.0,2
Andre Miller,03-08 Near Rim,Drive,0.0,0
Andre Miller,03-08 Near Rim,Jumper,0.7,42
Andre Miller,03-08 Near Rim,Layup,0.0,0
Andre Miller,03-08 Near Rim,Post,1.1428571428571428,8
Andre Miller,03-08 Near Rim,invalid,0.0,0
Andre Miller,09-12 Short Range,Jumper,0.6567164179104478,44
Andre Miller,09-12 Short Range,Post,1.1111111111111112,20
Andre Miller,13-17 Mid Range,Jumper,0.7903225806451613,196
Andre Miller,13-17 Mid Range,Post,0.8,16
Andre Miller,18-23 Long Jumper,Jumper,0.7916666666666666,76
Andre Miller,18-23 Long Jumper,Post,1.0,2
Andre Miller,24-27 Three,Jumper,0.7142857142857142,15
Andre Miller,28-34 Deep,Jumper,0.0,0
Andre Miller,35-46 Near Half,Jumper,1.0,3
Andre Miller,47-94 Backcourt,Jumper,0.0,0
Andre Miller,47-94 Backcourt,Post,0.0,0
Andrei Kirilenko,00-02 At Rim,Drive,1.6666666666666667,30
Andrei Kirilenko,00-02 At Rim,Dunk,1.8823529411764706,64
Andrei Kirilenko,00-02 At Rim,Jumper,2.0,2
Andrei Kirilenko,00-02 At Rim,Layup,1.0467289719626167,112
Andrei Kirilenko,00-02 At Rim,Reb/Oop,1.28,32
Andrei Kirilenko,03-08 Near Rim,Drive,2.0,2
Andrei Kirilenko,03-08 Near Rim,Jumper,0.6086956521739131,14
Andrei Kirilenko,03-08 Near Rim,Layup,0.0,0
Andrei Kirilenko,03-08 Near Rim,Post,1.5,6
Andrei Kirilenko,09-12 Short Range,Jumper,0.47058823529411764,8
Andrei Kirilenko,09-12 Short Range,Post,1.5,6
Andrei Kirilenko,09-12 Short Range,Reb/Oop,0.0,0
Andrei Kirilenko,13-17 Mid Range,Jumper,0.6190476190476191,26
Andrei Kirilenko,13-17 Mid Range,Post,1.6666666666666667,10
Andrei Kirilenko,18-23 Long Jumper,Jumper,0.7837837837837838,58
Andrei Kirilenko,24-27 Three,Jumper,1.0999999999999999,66
Andrei Kirilenko,28-34 Deep,Jumper,0.0,0
Andrei Kirilenko,35-46 Near Half,Jumper,0.0,0
Andres Nocioni,00-02 At Rim,Drive,1.793103448275862,52
Andres Nocioni,00-02 At Rim,Dunk,1.5,18
Andres Nocioni,00-02 At Rim,Layup,0.8153846153846154,106
Andres Nocioni,00-02 At Rim,Reb/Oop,0.3333333333333333,2
Andres Nocioni,00-02 At Rim,invalid,2.0,6
Andres Nocioni,03-08 Near Rim,Drive,2.0,4
Andres Nocioni,03-08 Near Rim,Jumper,0.6567164179104478,44
Andres Nocioni,03-08 Near Rim,Layup,0.0,0
Andres Nocioni,03-08 Near Rim,Post,0.6666666666666666,6
Andres Nocioni,03-08 Near Rim,invalid,2.0,4
Andres Nocioni,09-12 Short Range,Jumper,0.7142857142857143,40
Andres Nocioni,09-12 Short Range,Post,0.8,4
Andres Nocioni,13-17 Mid Range,Jumper,0.7045454545454546,62
Andres Nocioni,13-17 Mid Range,Post,1.0,2
Andres Nocioni,18-23 Long Jumper,Jumper,0.8387096774193549,104
Andres Nocioni,24-27 Three,Jumper,0.6885245901639344,42
Andres Nocioni,28-34 Deep,Jumper,0.0,0
Andres Nocioni,35-46 Near Half,Jumper,0.0,0
Andris Biedrins,00-02 At Rim,Dunk,2.0,34
Andris Biedrins,00-02 At Rim,Layup,1.2173913043478262,28
Andris Biedrins,00-02 At Rim,Reb/Oop,1.1428571428571428,16
Andris Biedrins,03-08 Near Rim,Jumper,0.6153846153846154,8
Andris Biedrins,03-08 Near Rim,Layup,0.0,0
Andris Biedrins,03-08 Near Rim,Post,1.0,4
Andris Biedrins,09-12 Short Range,Jumper,0.0,0
Andris Biedrins,09-12 Short Range,Post,0.0,0
Andris Biedrins,13-17 Mid Range,Jumper,0.0,0
Andris Biedrins,28-34 Deep,Jumper,0.0,0
Antawn Jamison,00-02 At Rim,Drive,1.736842105263158,66
Antawn Jamison,00-02 At Rim,Dunk,2.0,12
Antawn Jamison,00-02 At Rim,Layup,1.2596685082872927,228
Antawn Jamison,00-02 At Rim,Post,1.0,2
Antawn Jamison,00-02 At Rim,Reb/Oop,1.8181818181818181,20
Antawn Jamison,00-02 At Rim,invalid,2.0,2
Antawn Jamison,03-08 Near Rim,Drive,1.0,2
Antawn Jamison,03-08 Near Rim,Dunk,2.0,2
Antawn Jamison,03-08 Near Rim,Jumper,0.6458333333333334,124
Antawn Jamison,03-08 Near Rim,Layup,1.3333333333333333,8
Antawn Jamison,03-08 Near Rim,Post,1.4285714285714286,50
Antawn Jamison,03-08 Near Rim,invalid,1.0,2
Antawn Jamison,09-12 Short Range,Jumper,0.6136363636363636,54
Antawn Jamison,09-12 Short Range,Post,1.4545454545454546,16
Antawn Jamison,13-17 Mid Range,Jumper,0.588957055214724,96
Antawn Jamison,13-17 Mid Range,Post,1.75,14
Antawn Jamison,18-23 Long Jumper,Jumper,0.8014705882352942,218
Antawn Jamison,24-27 Three,Jumper,1.1296296296296298,183
Antawn Jamison,28-34 Deep,Jumper,0.0,0
Antawn Jamison,35-46 Near Half,Jumper,0.0,0
Anthony Carter,00-02 At Rim,Drive,1.9166666666666667,46
Anthony Carter,00-02 At Rim,Layup,0.7428571428571429,26
Anthony Carter,00-02 At Rim,Reb/Oop,0.0,0
Anthony Carter,03-08 Near Rim,Jumper,0.6666666666666666,4
Anthony Carter,09-12 Short Range,Jumper,0.5,2
Anthony Carter,13-17 Mid Range,Jumper,0.5,18
Anthony Carter,18-23 Long Jumper,Jumper,0.7857142857142857,44
Anthony Carter,24-27 Three,Jumper,0.42857142857142855,3
Anthony Carter,28-34 Deep,Jumper,1.5,3
Anthony Carter,35-46 Near Half,Jumper,0.0,0
Anthony Carter,47-94 Backcourt,Jumper,0.0,0
Antonio Daniels,00-02 At Rim,Drive,1.7777777777777777,144
Antonio Daniels,00-02 At Rim,Dunk,1.5,6
Antonio Daniels,00-02 At Rim,Jumper,0.0,0
Antonio Daniels,00-02 At Rim,Layup,0.5161290322580645,32
Antonio Daniels,00-02 At Rim,Post,2.0,4
Antonio Daniels,00-02 At Rim,Reb/Oop,2.0,2
Antonio Daniels,00-02 At Rim,invalid,2.0,2
Antonio Daniels,03-08 Near Rim,Drive,1.0,2
Antonio Daniels,03-08 Near Rim,Dunk,2.0,2
Antonio Daniels,03-08 Near Rim,Jumper,0.7540983606557377,46
Antonio Daniels,03-08 Near Rim,Layup,2.0,2
Antonio Daniels,03-08 Near Rim,Post,1.0,2
Antonio Daniels,03-08 Near Rim,invalid,2.0,2
Antonio Daniels,09-12 Short Range,Jumper,0.9,36
Antonio Daniels,09-12 Short Range,Post,0.0,0
Antonio Daniels,13-17 Mid Range,Jumper,0.8305084745762712,98
Antonio Daniels,18-23 Long Jumper,Jumper,0.9108910891089109,92
Antonio Daniels,24-27 Three,Jumper,0.8283582089552239,111
Antonio Daniels,28-34 Deep,Jumper,0.0,0
Antonio Daniels,35-46 Near Half,Jumper,0.0,0
Antonio Daniels,47-94 Backcourt,Jumper,0.0,0
Antonio McDyess,00-02 At Rim,Drive,1.7777777777777777,16
Antonio McDyess,00-02 At Rim,Dunk,2.0,52
Antonio McDyess,00-02 At Rim,Layup,1.1785714285714286,132
Antonio McDyess,00-02 At Rim,Reb/Oop,0.875,28
Antonio McDyess,00-02 At Rim,invalid,0.0,0
Antonio McDyess,03-08 Near Rim,Dunk,2.0,2
Antonio McDyess,03-08 Near Rim,Jumper,0.6382978723404256,30
Antonio McDyess,03-08 Near Rim,Layup,1.0,2
Antonio McDyess,03-08 Near Rim,Post,1.5,18
Antonio McDyess,03-08 Near Rim,Reb/Oop,0.0,0
Antonio McDyess,09-12 Short Range,Jumper,0.8955223880597015,60
Antonio McDyess,09-12 Short Range,Post,1.2380952380952381,26
Antonio McDyess,13-17 Mid Range,Jumper,0.8524590163934426,156
Antonio McDyess,13-17 Mid Range,Post,1.446808510638298,68
Antonio McDyess,18-23 Long Jumper,Jumper,0.6666666666666666,22
Antonio McDyess,18-23 Long Jumper,Post,0.6666666666666666,2
Antonio McDyess,24-27 Three,Jumper,0.0,0
Baron Davis,00-02 At Rim,Drive,1.6097560975609757,132
Baron Davis,00-02 At Rim,Dunk,1.75,14
Baron Davis,00-02 At Rim,Layup,0.5714285714285714,52
Baron Davis,00-02 At Rim,Reb/Oop,1.1428571428571428,8
Baron Davis,03-08 Near Rim,Drive,0.8,4
Baron Davis,03-08 Near Rim,Jumper,0.6666666666666666,22
Baron Davis,03-08 Near Rim,Layup,0.5,4
Baron Davis,03-08 Near Rim,Post,0.6666666666666666,2
Baron Davis,03-08 Near Rim,invalid,0.0,0
Baron Davis,09-12 Short Range,Jumper,0.5,8
Baron Davis,09-12 Short Range,Post,1.0,4
Baron Davis,13-17 Mid Range,Jumper,0.6764705882352942,46
Baron Davis,13-17 Mid Range,Post,1.5,6
Baron Davis,18-23 Long Jumper,Jumper,0.6846846846846847,76
Baron Davis,24-27 Three,Jumper,1.0068493150684932,294
Baron Davis,28-34 Deep,Jumper,0.9230769230769231,12
Baron Davis,35-46 Near Half,Jumper,0.0,0
Baron Davis,47-94 Backcourt,Jumper,0.0,0
Ben Gordon,00-02 At Rim,Drive,1.65,66
Ben Gordon,00-02 At Rim,Dunk,1.0,4
Ben Gordon,00-02 At Rim,Layup,0.5,64
Ben Gordon,00-02 At Rim,Post,2.0,2
Ben Gordon,00-02 At Rim,Reb/Oop,2.0,6
Ben Gordon,00-02 At Rim,invalid,2.0,2
Ben Gordon,03-08 Near Rim,Drive,1.0,2
Ben Gordon,03-08 Near Rim,Jumper,0.8131868131868132,74
Ben Gordon,03-08 Near Rim,Layup,2.0,2
Ben Gordon,03-08 Near Rim,Post,1.2,6
Ben Gordon,03-08 Near Rim,invalid,1.6,8
Ben Gordon,09-12 Short Range,Jumper,0.7012987012987013,54
Ben Gordon,09-12 Short Range,Post,1.5,6
Ben Gordon,13-17 Mid Range,Jumper,0.8375,134
Ben Gordon,13-17 Mid Range,Post,2.0,4
Ben Gordon,18-23 Long Jumper,Jumper,0.8409893992932862,238
Ben Gordon,18-23 Long Jumper,Post,2.0,2
Ben Gordon,24-27 Three,Jumper,1.217573221757322,291
Ben Gordon,28-34 Deep,Jumper,0.0,0
Ben Gordon,35-46 Near Half,Jumper,0.0,0
Ben Gordon,47-94 Backcourt,Jumper,0.0,0
Ben Wallace,00-02 At Rim,Drive,1.6756756756756757,62
Ben Wallace,00-02 At Rim,Dunk,1.7362637362637363,158
Ben Wallace,00-02 At Rim,Layup,0.7184466019417476,148
Ben Wallace,00-02 At Rim,Post,2.0,4
Ben Wallace,00-02 At Rim,Reb/Oop,1.1578947368421053,110
Ben Wallace,00-02 At Rim,invalid,2.0,4
Ben Wallace,03-08 Near Rim,Drive,0.0,0
Ben Wallace,03-08 Near Rim,Jumper,0.46153846153846156,24
Ben Wallace,03-08 Near Rim,Layup,0.0,0
Ben Wallace,03-08 Near Rim,Post,0.4444444444444444,12
Ben Wallace,09-12 Short Range,Jumper,0.47619047619047616,10
Ben Wallace,09-12 Short Range,Post,2.0,4
Ben Wallace,13-17 Mid Range,Jumper,0.475,38
Ben Wallace,13-17 Mid Range,Post,0.4,2
Ben Wallace,18-23 Long Jumper,Jumper,0.5263157894736842,10
Ben Wallace,18-23 Long Jumper,Post,2.0,2
