playername,ShotRange,ShotClass,PPS,Points
AJ Price,00-02 At Rim,Drive,1.5,12
AJ Price,00-02 At Rim,Layup,0.8888888888888888,24
AJ Price,00-02 At Rim,Reb/Oop,2.0,6
AJ Price,03-08 Near Rim,Drive,0.6666666666666666,2
AJ Price,03-08 Near Rim,Jumper,0.8333333333333334,30
AJ Price,03-08 Near Rim,Layup,1.0,2
AJ Price,09-12 Short Range,Drive,0.0,0
AJ Price,09-12 Short Range,Jumper,0.6666666666666666,12
AJ Price,09-12 Short Range,Pullup,1.3333333333333333,4
AJ Price,09-12 Short Range,invalid,2.0,2
AJ Price,13-17 Mid Range,Drive,2.0,2
AJ Price,13-17 Mid Range,Jumper,0.625,30
AJ Price,13-17 Mid Range,Post,2.0,2
AJ Price,13-17 Mid Range,Pullup,1.6,16
AJ Price,18-23 Long Jumper,Jumper,0.6818181818181818,60
AJ Price,18-23 Long Jumper,Pullup,2.0,12
AJ Price,24-27 Three,Jumper,0.9791666666666667,141
AJ Price,24-27 Three,Pullup,2.0,6
AJ Price,28-34 Deep,Jumper,1.2000000000000002,12
Aaron Brooks,00-02 At Rim,Drive,1.6129032258064515,50
Aaron Brooks,00-02 At Rim,Layup,0.8947368421052632,34
Aaron Brooks,00-02 At Rim,Reb/Oop,2.0,2
Aaron Brooks,03-08 Near Rim,Drive,0.6666666666666666,2
Aaron Brooks,03-08 Near Rim,Jumper,0.5925925925925926,16
Aaron Brooks,03-08 Near Rim,Layup,2.0,4
Aaron Brooks,03-08 Near Rim,Post,1.1428571428571428,8
Aaron Brooks,03-08 Near Rim,invalid,2.0,4
Aaron Brooks,09-12 Short Range,Jumper,0.8,8
Aaron Brooks,09-12 Short Range,Pullup,2.0,2
Aaron Brooks,09-12 Short Range,invalid,2.0,2
Aaron Brooks,13-17 Mid Range,Jumper,1.037037037037037,28
Aaron Brooks,13-17 Mid Range,Pullup,1.0,6
Aaron Brooks,18-23 Long Jumper,Jumper,0.6511627906976745,28
Aaron Brooks,18-23 Long Jumper,Pullup,1.4285714285714286,10
Aaron Brooks,24-27 Three,Jumper,1.2000000000000002,114
Aaron Brooks,24-27 Three,Pullup,2.0,6
Aaron Brooks,28-34 Deep,Jumper,0.375,3
Aaron Brooks,35-46 Near Half,Jumper,0.0,0
Aaron Brooks,47-94 Backcourt,Jumper,0.0,0
Aaron Gray,00-02 At Rim,Drive,2.0,6
Aaron Gray,00-02 At Rim,Dunk,2.0,14
Aaron Gray,00-02 At Rim,Jumper,2.0,2
Aaron Gray,00-02 At Rim,Layup,1.032258064516129,32
Aaron Gray,00-02 At Rim,Post,1.0,2
Aaron Gray,00-02 At Rim,Reb/Oop,1.25,10
Aaron Gray,03-08 Near Rim,Drive,0.0,0
Aaron Gray,03-08 Near Rim,Jumper,0.4444444444444444,4
Aaron Gray,03-08 Near Rim,Layup,0.0,0
Aaron Gray,03-08 Near Rim,Post,0.8421052631578947,16
Aaron Gray,03-08 Near Rim,invalid,0.0,0
Aaron Gray,09-12 Short Range,Jumper,1.0,2
Aaron Gray,09-12 Short Range,Post,2.0,4
Aaron Gray,13-17 Mid Range,Jumper,2.0,2
Aaron Gray,18-23 Long Jumper,Jumper,1.0,2
Al Harrington,00-02 At Rim,Drive,0.6666666666666666,2
Al Harrington,00-02 At Rim,Layup,1.1666666666666667,14
Al Harrington,00-02 At Rim,Reb/Oop,1.0,2
Al Harrington,03-08 Near Rim,Jumper,0.0,0
Al Harrington,03-08 Near Rim,Reb/Oop,2.0,2
Al Harrington,03-08 Near Rim,invalid,0.0,0
Al Harrington,13-17 Mid Range,Jumper,0.5,2
Al Harrington,18-23 Long Jumper,Jumper,0.4444444444444444,4
Al Harrington,18-23 Long Jumper,Post,0.0,0
Al Harrington,24-27 Three,Jumper,0.9130434782608696,21
Al Horford,00-02 At Rim,Drive,1.4210526315789473,54
Al Horford,00-02 At Rim,Dunk,1.9272727272727272,106
Al Horford,00-02 At Rim,Jumper,2.0,4
Al Horford,00-02 At Rim,Layup,1.34640522875817,206
Al Horford,00-02 At Rim,Post,1.3333333333333333,4
Al Horford,00-02 At Rim,Reb/Oop,1.5333333333333334,184
Al Horford,03-08 Near Rim,Drive,0.46153846153846156,6
Al Horford,03-08 Near Rim,Jumper,0.7640449438202247,68
Al Horford,03-08 Near Rim,Layup,1.0,6
Al Horford,03-08 Near Rim,Post,0.9195402298850575,80
Al Horford,03-08 Near Rim,Reb/Oop,2.0,10
Al Horford,09-12 Short Range,Drive,2.0,2
Al Horford,09-12 Short Range,Jumper,0.6666666666666666,26
Al Horford,09-12 Short Range,Post,0.88,22
Al Horford,09-12 Short Range,invalid,2.0,2
Al Horford,13-17 Mid Range,Jumper,1.0058479532163742,172
Al Horford,13-17 Mid Range,Post,0.4444444444444444,4
Al Horford,13-17 Mid Range,Pullup,2.0,2
Al Horford,18-23 Long Jumper,Jumper,0.7948717948717948,186
Al Horford,18-23 Long Jumper,Post,1.0,2
Al Horford,24-27 Three,Jumper,1.5,9
Al Jefferson,00-02 At Rim,Drive,1.8666666666666667,28
Al Jefferson,00-02 At Rim,Dunk,1.791044776119403,120
Al Jefferson,00-02 At Rim,Jumper,2.0,10
Al Jefferson,00-02 At Rim,Layup,1.2906976744186047,222
Al Jefferson,00-02 At Rim,Post,1.5,6
Al Jefferson,00-02 At Rim,Reb/Oop,1.2,42
Al Jefferson,03-08 Near Rim,Drive,1.0,4
Al Jefferson,03-08 Near Rim,Jumper,0.7692307692307693,170
Al Jefferson,03-08 Near Rim,Layup,1.1428571428571428,8
Al Jefferson,03-08 Near Rim,Post,1.2941176470588236,110
Al Jefferson,03-08 Near Rim,Pullup,1.0,2
Al Jefferson,03-08 Near Rim,invalid,2.0,2
Al Jefferson,09-12 Short Range,Jumper,0.7294117647058823,62
Al Jefferson,09-12 Short Range,Post,1.135135135135135,42
Al Jefferson,09-12 Short Range,Pullup,2.0,2
Al Jefferson,13-17 Mid Range,Jumper,0.9007633587786259,236
Al Jefferson,13-17 Mid Range,Post,0.2857142857142857,4
Al Jefferson,13-17 Mid Range,Pullup,2.0,4
Al Jefferson,18-23 Long Jumper,Jumper,0.72,144
Al Jefferson,18-23 Long Jumper,Post,0.0,0
Al Jefferson,24-27 Three,Jumper,0.6000000000000001,6
Al Jefferson,28-34 Deep,Jumper,0.0,0
Al Jefferson,35-46 Near Half,Jumper,0.0,0
Al Jefferson,47-94 Backcourt,Jumper,0.0,0
Al-Farouq Aminu,00-02 At Rim,Drive,1.3333333333333333,16
Al-Farouq Aminu,00-02 At Rim,Dunk,1.76,88
Al-Farouq Aminu,00-02 At Rim,Jumper,2.0,2
Al-Farouq Aminu,00-02 At Rim,Layup,0.9166666666666666,88
Al-Farouq Aminu,00-02 At Rim,Reb/Oop,1.4246575342465753,104
Al-Farouq Aminu,03-08 Near Rim,Drive,2.0,8
Al-Farouq Aminu,03-08 Near Rim,Dunk,2.0,2
Al-Farouq Aminu,03-08 Near Rim,Jumper,0.5866666666666667,44
Al-Farouq Aminu,03-08 Near Rim,Layup,0.0,0
Al-Farouq Aminu,03-08 Near Rim,Post,1.1428571428571428,8
Al-Farouq Aminu,03-08 Near Rim,Pullup,2.0,2
Al-Farouq Aminu,03-08 Near Rim,Reb/Oop,0.6666666666666666,2
Al-Farouq Aminu,03-08 Near Rim,invalid,0.0,0
Al-Farouq Aminu,09-12 Short Range,Jumper,0.7619047619047619,16
Al-Farouq Aminu,09-12 Short Range,Post,2.0,4
Al-Farouq Aminu,09-12 Short Range,Pullup,2.0,2
Al-Farouq Aminu,13-17 Mid Range,Jumper,0.5555555555555556,30
Al-Farouq Aminu,13-17 Mid Range,Pullup,2.0,4
Al-Farouq Aminu,18-23 Long Jumper,Jumper,0.48148148148148145,26
Al-Farouq Aminu,18-23 Long Jumper,Pullup,2.0,2
Al-Farouq Aminu,24-27 Three,Jumper,0.2727272727272727,3
Alan Anderson,00-02 At Rim,Drive,1.4615384615384615,76
Alan Anderson,00-02 At Rim,Dunk,2.0,2
Alan Anderson,00-02 At Rim,Jumper,0.0,0
Alan Anderson,00-02 At Rim,Layup,1.2,42
Alan Anderson,00-02 At Rim,Reb/Oop,2.0,4
Alan Anderson,03-08 Near Rim,Drive,0.7741935483870968,24
Alan Anderson,03-08 Near Rim,Jumper,0.6,12
Alan Anderson,03-08 Near Rim,Layup,0.3333333333333333,2
Alan Anderson,03-08 Near Rim,Post,0.8235294117647058,14
Alan Anderson,03-08 Near Rim,Pullup,1.0,4
Alan Anderson,03-08 Near Rim,invalid,2.0,2
Alan Anderson,09-12 Short Range,Drive,1.0,2
Alan Anderson,09-12 Short Range,Jumper,0.7333333333333333,22
Alan Anderson,09-12 Short Range,Post,0.6666666666666666,2
Alan Anderson,09-12 Short Range,Pullup,1.3333333333333333,4
Alan Anderson,13-17 Mid Range,Jumper,0.5,20
Alan Anderson,13-17 Mid Range,Post,1.0,6
Alan Anderson,13-17 Mid Range,Pullup,0.6666666666666666,12
