playername,ShotRange,ShotClass,PPS,Points
AJ Price,00-02 At Rim,Drive,1.5,6
AJ Price,00-02 At Rim,Layup,0.8888888888888888,8
AJ Price,00-02 At Rim,Reb/Oop,2.0,2
AJ Price,03-08 Near Rim,Drive,0.0,0
AJ Price,03-08 Near Rim,Jumper,0.3076923076923077,4
AJ Price,03-08 Near Rim,Layup,0.0,0
AJ Price,09-12 Short Range,Jumper,1.25,10
AJ Price,09-12 Short Range,Pullup,0.0,0
AJ Price,09-12 Short Range,invalid,2.0,2
AJ Price,13-17 Mid Range,Jumper,0.6451612903225806,20
AJ Price,13-17 Mid Range,Pullup,2.0,4
AJ Price,18-23 Long Jumper,Jumper,0.8235294117647058,14
AJ Price,18-23 Long Jumper,Pullup,2.0,2
AJ Price,24-27 Three,Jumper,0.8630136986301369,63
AJ Price,24-27 Three,Pullup,3.0,6
AJ Price,28-34 Deep,Jumper,0.0,0
AJ Price,35-46 Near Half,Jumper,0.0,0
AJ Price,47-94 Backcourt,Jumper,0.0,0
Aaron Gray,00-02 At Rim,Drive,0.0,0
Aaron Gray,00-02 At Rim,Dunk,1.8,18
Aaron Gray,00-02 At Rim,Jumper,0.0,0
Aaron Gray,00-02 At Rim,Layup,1.25,80
Aaron Gray,00-02 At Rim,Post,2.0,6
Aaron Gray,00-02 At Rim,Reb/Oop,1.2857142857142858,18
Aaron Gray,03-08 Near Rim,Jumper,0.625,10
Aaron Gray,03-08 Near Rim,Layup,1.0,2
Aaron Gray,03-08 Near Rim,Post,0.5925925925925926,16
Aaron Gray,09-12 Short Range,Jumper,0.8,8
Aaron Gray,09-12 Short Range,Post,0.4,2
Aaron Gray,13-17 Mid Range,Jumper,0.75,6
Al Harrington,00-02 At Rim,Drive,1.2328767123287672,90
Al Harrington,00-02 At Rim,Dunk,2.0,48
Al Harrington,00-02 At Rim,Layup,1.1791907514450868,204
Al Harrington,00-02 At Rim,Post,2.0,4
Al Harrington,00-02 At Rim,Reb/Oop,1.0,14
Al Harrington,03-08 Near Rim,Drive,0.2857142857142857,2
Al Harrington,03-08 Near Rim,Jumper,0.42105263157894735,16
Al Harrington,03-08 Near Rim,Layup,0.3333333333333333,2
Al Harrington,03-08 Near Rim,Post,0.9230769230769231,12
Al Harrington,03-08 Near Rim,invalid,2.0,4
Al Harrington,09-12 Short Range,Jumper,0.6153846153846154,8
Al Harrington,09-12 Short Range,Post,0.75,6
Al Harrington,13-17 Mid Range,Jumper,0.7058823529411765,24
Al Harrington,13-17 Mid Range,Post,1.5,6
Al Harrington,13-17 Mid Range,invalid,2.0,2
Al Harrington,18-23 Long Jumper,Jumper,0.8208955223880597,110
Al Harrington,18-23 Long Jumper,Post,0.0,0
Al Harrington,24-27 Three,Jumper,0.9272727272727272,204
Al Harrington,24-27 Three,Pullup,3.0,3
Al Harrington,28-34 Deep,Jumper,0.0,0
Al Harrington,35-46 Near Half,Jumper,0.0,0
Al Harrington,47-94 Backcourt,Jumper,0.0,0
Al Horford,00-02 At Rim,Drive,2.0,4
Al Horford,00-02 At Rim,Dunk,1.3333333333333333,4
Al Horford,00-02 At Rim,Layup,1.0588235294117647,18
Al Horford,00-02 At Rim,Reb/Oop,1.625,26
Al Horford,03-08 Near Rim,Drive,2.0,2
Al Horford,03-08 Near Rim,Jumper,1.1111111111111112,10
Al Horford,03-08 Near Rim,Layup,1.0,2
Al Horford,03-08 Near Rim,Post,1.2,12
Al Horford,03-08 Near Rim,Reb/Oop,2.0,2
Al Horford,09-12 Short Range,Jumper,1.0,2
Al Horford,09-12 Short Range,Post,1.0,2
Al Horford,09-12 Short Range,invalid,0.0,0
Al Horford,13-17 Mid Range,Jumper,0.5333333333333333,8
Al Horford,13-17 Mid Range,Post,1.3333333333333333,4
Al Horford,18-23 Long Jumper,Jumper,1.0,18
Al Horford,35-46 Near Half,Jumper,0.0,0
Al Jefferson,00-02 At Rim,Drive,1.4,14
Al Jefferson,00-02 At Rim,Dunk,1.8333333333333333,88
Al Jefferson,00-02 At Rim,Jumper,2.0,2
Al Jefferson,00-02 At Rim,Layup,1.2357723577235773,152
Al Jefferson,00-02 At Rim,Post,1.3333333333333333,4
Al Jefferson,00-02 At Rim,Reb/Oop,1.1627906976744187,50
Al Jefferson,03-08 Near Rim,Drive,2.0,4
Al Jefferson,03-08 Near Rim,Jumper,0.8533333333333334,192
Al Jefferson,03-08 Near Rim,Layup,1.2857142857142858,18
Al Jefferson,03-08 Near Rim,Post,1.3176470588235294,112
Al Jefferson,03-08 Near Rim,Reb/Oop,2.0,6
Al Jefferson,09-12 Short Range,Jumper,0.7017543859649122,80
Al Jefferson,09-12 Short Range,Post,1.08,54
Al Jefferson,09-12 Short Range,Pullup,1.0,2
Al Jefferson,13-17 Mid Range,Jumper,0.7669902912621359,158
Al Jefferson,13-17 Mid Range,Post,0.4,4
Al Jefferson,13-17 Mid Range,invalid,2.0,2
Al Jefferson,18-23 Long Jumper,Jumper,0.8461538461538461,88
Al Jefferson,24-27 Three,Jumper,0.75,3
Al-Farouq Aminu,00-02 At Rim,Drive,1.5294117647058822,26
Al-Farouq Aminu,00-02 At Rim,Dunk,1.8518518518518519,50
Al-Farouq Aminu,00-02 At Rim,Layup,0.7435897435897436,58
Al-Farouq Aminu,00-02 At Rim,Reb/Oop,1.3,26
Al-Farouq Aminu,03-08 Near Rim,Drive,1.0,4
Al-Farouq Aminu,03-08 Near Rim,Dunk,2.0,4
Al-Farouq Aminu,03-08 Near Rim,Jumper,0.5862068965517241,34
Al-Farouq Aminu,03-08 Near Rim,Layup,0.4,2
Al-Farouq Aminu,03-08 Near Rim,Post,1.0,2
Al-Farouq Aminu,03-08 Near Rim,Reb/Oop,1.0,2
Al-Farouq Aminu,03-08 Near Rim,invalid,0.0,0
Al-Farouq Aminu,09-12 Short Range,Jumper,0.8,12
Al-Farouq Aminu,09-12 Short Range,Post,0.0,0
Al-Farouq Aminu,13-17 Mid Range,Jumper,0.21428571428571427,6
Al-Farouq Aminu,13-17 Mid Range,Pullup,0.6666666666666666,2
Al-Farouq Aminu,18-23 Long Jumper,Jumper,0.7384615384615385,48
Al-Farouq Aminu,18-23 Long Jumper,Post,2.0,2
Al-Farouq Aminu,18-23 Long Jumper,Pullup,2.0,2
Al-Farouq Aminu,24-27 Three,Jumper,0.8571428571428571,30
Alan Anderson,00-02 At Rim,Drive,1.2727272727272727,14
Alan Anderson,00-02 At Rim,Dunk,0.0,0
Alan Anderson,00-02 At Rim,Layup,1.25,10
Alan Anderson,00-02 At Rim,Reb/Oop,2.0,2
Alan Anderson,03-08 Near Rim,Drive,2.0,2
Alan Anderson,03-08 Near Rim,Jumper,0.75,6
Alan Anderson,03-08 Near Rim,Post,0.0,0
Alan Anderson,09-12 Short Range,Jumper,0.0,0
Alan Anderson,09-12 Short Range,Post,0.0,0
Alan Anderson,09-12 Short Range,invalid,0.0,0
Alan Anderson,13-17 Mid Range,Jumper,0.625,10
Alan Anderson,13-17 Mid Range,Post,0.0,0
Alan Anderson,13-17 Mid Range,Pullup,0.5714285714285714,4
Alan Anderson,13-17 Mid Range,invalid,2.0,2
Alan Anderson,18-23 Long Jumper,Jumper,0.8275862068965517,24
Alan Anderson,18-23 Long Jumper,Pullup,0.0,0
Alan Anderson,24-27 Three,Jumper,1.1333333333333333,51
Alan Anderson,24-27 Three,Pullup,3.0,3
Alec Burks,00-02 At Rim,Drive,1.7391304347826086,40
Alec Burks,00-02 At Rim,Dunk,2.0,26
Alec Burks,00-02 At Rim,Jumper,2.0,2
