playername,ShotRange,ShotClass,PPS,Points
AJ Price,00-02 At Rim,Drive,1.0,2
AJ Price,00-02 At Rim,Layup,0.5,2
AJ Price,03-08 Near Rim,Jumper,1.0,12
AJ Price,03-08 Near Rim,Pullup,2.0,2
AJ Price,09-12 Short Range,Drive,0.0,0
AJ Price,09-12 Short Range,Jumper,0.7692307692307693,10
AJ Price,09-12 Short Range,Post,0.0,0
AJ Price,13-17 Mid Range,Jumper,0.7272727272727273,16
AJ Price,13-17 Mid Range,Pullup,1.8,18
AJ Price,18-23 Long Jumper,Jumper,0.25,4
AJ Price,18-23 Long Jumper,Post,2.0,2
AJ Price,18-23 Long Jumper,Pullup,2.0,6
AJ Price,24-27 Three,Jumper,0.875,42
AJ Price,28-34 Deep,Jumper,0.0,0
AJ Price,35-46 Near Half,Jumper,0.0,0
Aaron Brooks,00-02 At Rim,Drive,1.5121951219512195,124
Aaron Brooks,00-02 At Rim,Jumper,2.0,4
Aaron Brooks,00-02 At Rim,Layup,0.7692307692307693,100
Aaron Brooks,00-02 At Rim,Reb/Oop,0.0,0
Aaron Brooks,03-08 Near Rim,Drive,0.9411764705882353,16
Aaron Brooks,03-08 Near Rim,Jumper,0.7415730337078652,66
Aaron Brooks,03-08 Near Rim,Layup,0.2857142857142857,4
Aaron Brooks,03-08 Near Rim,Post,0.6666666666666666,4
Aaron Brooks,03-08 Near Rim,Pullup,2.0,2
Aaron Brooks,03-08 Near Rim,invalid,1.6666666666666667,10
Aaron Brooks,09-12 Short Range,Drive,2.0,2
Aaron Brooks,09-12 Short Range,Jumper,0.6956521739130435,32
Aaron Brooks,09-12 Short Range,Post,0.8,4
Aaron Brooks,09-12 Short Range,invalid,2.0,12
Aaron Brooks,13-17 Mid Range,Jumper,0.6415094339622641,34
Aaron Brooks,13-17 Mid Range,Pullup,2.0,8
Aaron Brooks,13-17 Mid Range,invalid,1.0,2
Aaron Brooks,18-23 Long Jumper,Jumper,0.6153846153846154,40
Aaron Brooks,18-23 Long Jumper,Post,2.0,2
Aaron Brooks,18-23 Long Jumper,Pullup,1.0,4
Aaron Brooks,24-27 Three,Jumper,1.1926229508196722,291
Aaron Brooks,24-27 Three,Pullup,1.75,21
Aaron Brooks,28-34 Deep,Jumper,0.8,12
Aaron Brooks,28-34 Deep,Pullup,3.0,3
Aaron Brooks,35-46 Near Half,Jumper,0.0,0
Aaron Brooks,47-94 Backcourt,Jumper,0.0,0
Aaron Gordon,00-02 At Rim,Drive,1.2307692307692308,16
Aaron Gordon,00-02 At Rim,Dunk,1.5555555555555556,28
Aaron Gordon,00-02 At Rim,Layup,1.05,42
Aaron Gordon,00-02 At Rim,Reb/Oop,1.44,36
Aaron Gordon,03-08 Near Rim,Drive,0.5714285714285714,4
Aaron Gordon,03-08 Near Rim,Jumper,0.8571428571428571,12
Aaron Gordon,03-08 Near Rim,Layup,0.0,0
Aaron Gordon,03-08 Near Rim,Post,1.3333333333333333,8
Aaron Gordon,03-08 Near Rim,invalid,2.0,2
Aaron Gordon,09-12 Short Range,Jumper,0.2857142857142857,4
Aaron Gordon,09-12 Short Range,Post,0.0,0
Aaron Gordon,13-17 Mid Range,Jumper,0.3333333333333333,2
Aaron Gordon,13-17 Mid Range,Pullup,0.0,0
Aaron Gordon,18-23 Long Jumper,Jumper,0.7333333333333333,22
Aaron Gordon,24-27 Three,Jumper,0.5555555555555556,15
Aaron Gordon,47-94 Backcourt,Jumper,0.0,0
Adreian Payne,00-02 At Rim,Drive,1.2727272727272727,14
Adreian Payne,00-02 At Rim,Dunk,1.6363636363636365,18
Adreian Payne,00-02 At Rim,Layup,0.6956521739130435,16
Adreian Payne,00-02 At Rim,Post,2.0,4
Adreian Payne,00-02 At Rim,Reb/Oop,0.7272727272727273,8
Adreian Payne,03-08 Near Rim,Drive,2.0,2
Adreian Payne,03-08 Near Rim,Jumper,0.35714285714285715,10
Adreian Payne,03-08 Near Rim,Layup,1.5,6
Adreian Payne,03-08 Near Rim,Post,1.25,20
Adreian Payne,09-12 Short Range,Jumper,1.0,14
Adreian Payne,09-12 Short Range,Post,0.0,0
Adreian Payne,13-17 Mid Range,Jumper,0.7647058823529411,26
Adreian Payne,13-17 Mid Range,Post,1.0,2
Adreian Payne,18-23 Long Jumper,Jumper,0.76,38
Adreian Payne,18-23 Long Jumper,Pullup,2.0,2
Adreian Payne,24-27 Three,Jumper,0.375,3
Al Horford,00-02 At Rim,Drive,1.3333333333333333,52
Al Horford,00-02 At Rim,Dunk,1.9565217391304348,90
Al Horford,00-02 At Rim,Layup,1.3070866141732282,166
Al Horford,00-02 At Rim,Post,1.0,2
Al Horford,00-02 At Rim,Reb/Oop,1.6825396825396826,106
Al Horford,03-08 Near Rim,Drive,0.9230769230769231,12
Al Horford,03-08 Near Rim,Jumper,0.6097560975609756,50
Al Horford,03-08 Near Rim,Layup,2.0,6
Al Horford,03-08 Near Rim,Post,1.0,92
Al Horford,09-12 Short Range,Drive,2.0,2
Al Horford,09-12 Short Range,Jumper,0.7142857142857143,30
Al Horford,09-12 Short Range,Post,1.1428571428571428,16
Al Horford,09-12 Short Range,Pullup,1.0,2
Al Horford,09-12 Short Range,invalid,0.0,0
Al Horford,13-17 Mid Range,Jumper,0.8717948717948718,136
Al Horford,13-17 Mid Range,Post,0.5,2
Al Horford,13-17 Mid Range,Pullup,2.0,2
Al Horford,18-23 Long Jumper,Jumper,1.00374531835206,268
Al Horford,18-23 Long Jumper,Pullup,1.0,2
Al Horford,24-27 Three,Jumper,0.5,3
Al Horford,28-34 Deep,Post,0.0,0
Al Horford,35-46 Near Half,Jumper,0.0,0
Al Jefferson,00-02 At Rim,Drive,1.5,6
Al Jefferson,00-02 At Rim,Dunk,2.0,26
Al Jefferson,00-02 At Rim,Layup,1.2148760330578512,294
Al Jefferson,00-02 At Rim,Post,2.0,4
Al Jefferson,00-02 At Rim,Reb/Oop,1.4166666666666667,34
Al Jefferson,03-08 Near Rim,Drive,1.0,2
Al Jefferson,03-08 Near Rim,Jumper,0.7980295566502463,162
Al Jefferson,03-08 Near Rim,Layup,2.0,6
Al Jefferson,03-08 Near Rim,Post,1.018181818181818,112
Al Jefferson,09-12 Short Range,Jumper,0.6976744186046512,60
Al Jefferson,09-12 Short Range,Post,0.819672131147541,50
Al Jefferson,09-12 Short Range,Pullup,0.0,0
Al Jefferson,13-17 Mid Range,Jumper,0.8148148148148148,154
Al Jefferson,13-17 Mid Range,Post,1.1,22
Al Jefferson,13-17 Mid Range,Pullup,2.0,4
Al Jefferson,18-23 Long Jumper,Jumper,0.7727272727272727,34
Al Jefferson,24-27 Three,Jumper,0.75,3
Al-Farouq Aminu,00-02 At Rim,Drive,1.4782608695652173,34
Al-Farouq Aminu,00-02 At Rim,Dunk,1.878787878787879,62
Al-Farouq Aminu,00-02 At Rim,Jumper,2.0,2
Al-Farouq Aminu,00-02 At Rim,Layup,0.9333333333333333,56
Al-Farouq Aminu,00-02 At Rim,Reb/Oop,0.9655172413793104,28
Al-Farouq Aminu,03-08 Near Rim,Drive,0.6666666666666666,4
Al-Farouq Aminu,03-08 Near Rim,Jumper,0.35294117647058826,12
Al-Farouq Aminu,03-08 Near Rim,Layup,0.0,0
Al-Farouq Aminu,03-08 Near Rim,Post,0.8,4
Al-Farouq Aminu,03-08 Near Rim,Pullup,0.0,0
Al-Farouq Aminu,03-08 Near Rim,invalid,2.0,2
Al-Farouq Aminu,09-12 Short Range,Jumper,1.4285714285714286,10
Al-Farouq Aminu,09-12 Short Range,Post,2.0,2
Al-Farouq Aminu,13-17 Mid Range,Jumper,0.36363636363636365,4
Al-Farouq Aminu,13-17 Mid Range,Pullup,1.0,2
Al-Farouq Aminu,18-23 Long Jumper,Jumper,0.4594594594594595,34
Al-Farouq Aminu,18-23 Long Jumper,Pullup,2.0,4
Al-Farouq Aminu,24-27 Three,Jumper,0.7846153846153847,51
Al-Farouq Aminu,28-34 Deep,Jumper,0.0,0
Alan Anderson,00-02 At Rim,Drive,1.5238095238095237,64
Alan Anderson,00-02 At Rim,Dunk,1.7777777777777777,16
Alan Anderson,00-02 At Rim,Layup,1.1764705882352942,60
Alan Anderson,03-08 Near Rim,Drive,1.2,6
Alan Anderson,03-08 Near Rim,Jumper,0.8648648648648649,32
Alan Anderson,03-08 Near Rim,Post,0.0,0
Alan Anderson,09-12 Short Range,Jumper,0.9411764705882353,16
Alan Anderson,09-12 Short Range,Post,2.0,4
Alan Anderson,09-12 Short Range,Pullup,1.0,2
Alan Anderson,13-17 Mid Range,Jumper,0.6060606060606061,20
Alan Anderson,13-17 Mid Range,Pullup,0.8,4
Alan Anderson,18-23 Long Jumper,Jumper,0.8484848484848485,84
Alan Anderson,18-23 Long Jumper,Post,0.0,0
Alan Anderson,18-23 Long Jumper,Pullup,0.0,0
Alan Anderson,24-27 Three,Jumper,0.9327731092436975,111
Alan Anderson,24-27 Three,Pullup,1.2000000000000002,6
Alan Anderson,28-34 Deep,Jumper,3.0,6
Alan Anderson,28-34 Deep,Pullup,0.0,0
Alan Anderson,35-46 Near Half,Jumper,0.0,0
Alan Anderson,47-94 Backcourt,Jumper,0.0,0
Alec Burks,00-02 At Rim,Drive,1.3488372093023255,58
Alec Burks,00-02 At Rim,Dunk,1.6666666666666667,10
Alec Burks,00-02 At Rim,Layup,0.3333333333333333,10
Alec Burks,00-02 At Rim,Reb/Oop,1.6,8
Alec Burks,03-08 Near Rim,Drive,1.2,6
Alec Burks,03-08 Near Rim,Jumper,0.34285714285714286,12
Alec Burks,03-08 Near Rim,Layup,0.6666666666666666,2
Alec Burks,03-08 Near Rim,Post,2.0,2
Alec Burks,03-08 Near Rim,invalid,2.0,12
Alec Burks,09-12 Short Range,Jumper,0.3076923076923077,4
Alec Burks,09-12 Short Range,Pullup,0.0,0
Alec Burks,09-12 Short Range,invalid,2.0,2
Alec Burks,13-17 Mid Range,Jumper,0.9032258064516129,28
Alec Burks,13-17 Mid Range,Post,2.0,2
Alec Burks,13-17 Mid Range,Pullup,1.0,4
Alec Burks,18-23 Long Jumper,Jumper,0.6545454545454545,36
Alec Burks,18-23 Long Jumper,Pullup,0.6666666666666666,4
Alec Burks,24-27 Three,Jumper,1.163265306122449,57
Alec Burks,24-27 Three,Pullup,3.0,3
Alec Burks,28-34 Deep,Jumper,1.5,3
Alec Burks,35-46 Near Half,Jumper,0.0,0
Alec Burks,47-94 Backcourt,Jumper,0.0,0
Alex Kirk,00-02 At Rim,Layup,1.0,2
Alex Kirk,13-17 Mid Range,Jumper,0.0,0
Alex Kirk,18-23 Long Jumper,Jumper,0.0,0
Alex Len,00-02 At Rim,Drive,1.6666666666666667,10
Alex Len,00-02 At Rim,Dunk,1.8214285714285714,102
Alex Len,00-02 At Rim,Layup,1.0232558139534884,88
Alex Len,00-02 At Rim,Post,0.0,0
Alex Len,00-02 At Rim,Reb/Oop,1.3953488372093024,60
Alex Len,03-08 Near Rim,Jumper,0.6666666666666666,16
Alex Len,03-08 Near Rim,Layup,0.0,0
Alex Len,03-08 Near Rim,Post,0.64,16
Alex Len,03-08 Near Rim,Reb/Oop,0.0,0
Alex Len,03-08 Near Rim,invalid,1.0,2
