playername,ShotRange,ShotClass,PPS,Points
Al Harrington,00-02 At Rim,Drive,1.6491228070175439,94
Al Harrington,00-02 At Rim,Dunk,1.9545454545454546,86
Al Harrington,00-02 At Rim,Layup,0.9621212121212122,254
Al Harrington,00-02 At Rim,Post,1.6,8
Al Harrington,00-02 At Rim,Reb/Oop,1.4074074074074074,38
Al Harrington,03-08 Near Rim,Drive,2.0,2
Al Harrington,03-08 Near Rim,Dunk,2.0,2
Al Harrington,03-08 Near Rim,Jumper,0.5391304347826087,62
Al Harrington,03-08 Near Rim,Layup,0.0,0
Al Harrington,03-08 Near Rim,Post,1.0588235294117647,18
Al Harrington,03-08 Near Rim,invalid,2.0,2
Al Harrington,09-12 Short Range,Jumper,0.5084745762711864,30
Al Harrington,09-12 Short Range,Post,1.25,10
Al Harrington,13-17 Mid Range,Jumper,0.8664259927797834,240
Al Harrington,13-17 Mid Range,Post,1.1666666666666667,14
Al Harrington,18-23 Long Jumper,Jumper,0.7891891891891892,146
Al Harrington,18-23 Long Jumper,Post,2.0,2
Al Harrington,24-27 Three,Jumper,1.0,141
Al Harrington,28-34 Deep,Jumper,0.0,0
Al Jefferson,00-02 At Rim,Drive,1.7777777777777777,16
Al Jefferson,00-02 At Rim,Dunk,1.9230769230769231,50
Al Jefferson,00-02 At Rim,Jumper,2.0,2
Al Jefferson,00-02 At Rim,Layup,1.0125,162
Al Jefferson,00-02 At Rim,Post,1.5,6
Al Jefferson,00-02 At Rim,Reb/Oop,1.4285714285714286,20
Al Jefferson,03-08 Near Rim,Jumper,0.6206896551724138,36
Al Jefferson,03-08 Near Rim,Layup,0.8,4
Al Jefferson,03-08 Near Rim,Post,1.0638297872340425,50
Al Jefferson,03-08 Near Rim,Reb/Oop,0.0,0
Al Jefferson,09-12 Short Range,Jumper,0.5,8
Al Jefferson,09-12 Short Range,Post,1.1428571428571428,8
Al Jefferson,13-17 Mid Range,Jumper,0.6,12
Al Jefferson,13-17 Mid Range,Post,0.6666666666666666,2
Al Jefferson,18-23 Long Jumper,Jumper,0.5,2
Al Jefferson,24-27 Three,Jumper,0.0,0
Al Jefferson,35-46 Near Half,Jumper,0.0,0
Alan Anderson,00-02 At Rim,Drive,1.3333333333333333,20
Alan Anderson,00-02 At Rim,Dunk,1.75,14
Alan Anderson,00-02 At Rim,Layup,0.8947368421052632,34
Alan Anderson,00-02 At Rim,Reb/Oop,0.6666666666666666,4
Alan Anderson,03-08 Near Rim,Jumper,0.3333333333333333,4
Alan Anderson,09-12 Short Range,Jumper,1.0,6
Alan Anderson,09-12 Short Range,Post,2.0,2
Alan Anderson,13-17 Mid Range,Jumper,0.4,6
Alan Anderson,18-23 Long Jumper,Jumper,0.7796610169491526,46
Alan Anderson,24-27 Three,Jumper,1.0499999999999998,21
Alan Anderson,35-46 Near Half,Jumper,0.0,0
Amare Stoudemire,00-02 At Rim,Dunk,2.0,2
Amare Stoudemire,00-02 At Rim,Layup,1.25,10
Amare Stoudemire,00-02 At Rim,Reb/Oop,0.0,0
Amare Stoudemire,03-08 Near Rim,Jumper,0.25,2
Amare Stoudemire,09-12 Short Range,Jumper,0.0,0
Amare Stoudemire,09-12 Short Range,Post,0.0,0
Amare Stoudemire,13-17 Mid Range,Jumper,1.3333333333333333,4
Amare Stoudemire,18-23 Long Jumper,Jumper,0.0,0
Amir Johnson,00-02 At Rim,Dunk,2.0,4
Amir Johnson,00-02 At Rim,Layup,2.0,4
