playername,ShotRange,ShotClass,PPS,Points
AJ Price,00-02 At Rim,Drive,1.6551724137931034,48
AJ Price,00-02 At Rim,Layup,0.7741935483870968,24
AJ Price,00-02 At Rim,Reb/Oop,2.0,2
AJ Price,03-08 Near Rim,Drive,2.0,4
AJ Price,03-08 Near Rim,Jumper,0.5925925925925926,16
AJ Price,03-08 Near Rim,Layup,0.0,0
AJ Price,03-08 Near Rim,Post,2.0,2
AJ Price,09-12 Short Range,Jumper,0.9,18
AJ Price,09-12 Short Range,Pullup,1.3333333333333333,4
AJ Price,13-17 Mid Range,Jumper,0.7804878048780488,32
AJ Price,13-17 Mid Range,Post,2.0,2
AJ Price,13-17 Mid Range,Pullup,1.2,6
AJ Price,18-23 Long Jumper,Jumper,0.5416666666666666,26
AJ Price,18-23 Long Jumper,Pullup,1.0,2
AJ Price,24-27 Three,Jumper,1.0970149253731343,147
AJ Price,24-27 Three,Pullup,3.0,9
AJ Price,35-46 Near Half,Jumper,0.0,0
AJ Price,47-94 Backcourt,Jumper,0.0,0
Aaron Brooks,00-02 At Rim,Drive,1.1630434782608696,214
Aaron Brooks,00-02 At Rim,Layup,0.7320261437908496,112
Aaron Brooks,00-02 At Rim,Reb/Oop,1.3333333333333333,8
Aaron Brooks,03-08 Near Rim,Drive,1.3333333333333333,4
Aaron Brooks,03-08 Near Rim,Jumper,0.7605633802816901,54
Aaron Brooks,03-08 Near Rim,Layup,2.0,2
Aaron Brooks,03-08 Near Rim,Post,2.0,10
Aaron Brooks,03-08 Near Rim,Pullup,1.3333333333333333,4
Aaron Brooks,03-08 Near Rim,invalid,2.0,8
Aaron Brooks,09-12 Short Range,Drive,0.0,0
Aaron Brooks,09-12 Short Range,Jumper,0.8169014084507042,58
Aaron Brooks,09-12 Short Range,Post,0.0,0
Aaron Brooks,09-12 Short Range,Pullup,1.2307692307692308,16
Aaron Brooks,09-12 Short Range,invalid,1.6,8
Aaron Brooks,13-17 Mid Range,Jumper,0.6909090909090909,76
Aaron Brooks,13-17 Mid Range,Pullup,1.2258064516129032,38
Aaron Brooks,13-17 Mid Range,invalid,2.0,6
Aaron Brooks,18-23 Long Jumper,Jumper,0.8085106382978723,152
Aaron Brooks,18-23 Long Jumper,Post,0.0,0
Aaron Brooks,18-23 Long Jumper,Pullup,1.0526315789473684,20
Aaron Brooks,24-27 Three,Jumper,1.163727959697733,462
Aaron Brooks,24-27 Three,Post,1.5,3
Aaron Brooks,24-27 Three,Pullup,1.8620689655172415,54
Aaron Brooks,28-34 Deep,Jumper,0.8333333333333334,15
Aaron Brooks,28-34 Deep,Pullup,3.0,3
Aaron Brooks,35-46 Near Half,Jumper,0.0,0
Aaron Brooks,47-94 Backcourt,Jumper,0.0,0
Aaron Gray,00-02 At Rim,Dunk,2.0,4
Aaron Gray,00-02 At Rim,Layup,1.0810810810810811,40
Aaron Gray,00-02 At Rim,Reb/Oop,1.2307692307692308,16
Aaron Gray,03-08 Near Rim,Jumper,0.6666666666666666,4
Aaron Gray,03-08 Near Rim,Post,1.0,10
Aaron Gray,09-12 Short Range,Jumper,0.6666666666666666,4
Aaron Gray,09-12 Short Range,Post,0.0,0
Aaron Gray,13-17 Mid Range,Jumper,0.6666666666666666,2
Aaron Gray,13-17 Mid Range,Post,1.0,2
Aaron Gray,18-23 Long Jumper,Jumper,2.0,2
Acie Law,00-02 At Rim,Drive,1.619047619047619,34
Acie Law,00-02 At Rim,Layup,0.75,18
Acie Law,03-08 Near Rim,Jumper,0.0,0
Acie Law,09-12 Short Range,Jumper,0.0,0
Acie Law,09-12 Short Range,Pullup,2.0,2
Acie Law,13-17 Mid Range,Jumper,0.5,2
Acie Law,13-17 Mid Range,Pullup,2.0,2
Acie Law,18-23 Long Jumper,Jumper,0.6666666666666666,4
Acie Law,24-27 Three,Jumper,0.8181818181818181,9
Acie Law,24-27 Three,Pullup,3.0,3
Al Harrington,00-02 At Rim,Drive,1.6551724137931034,192
Al Harrington,00-02 At Rim,Dunk,1.894736842105263,36
Al Harrington,00-02 At Rim,Layup,0.8808290155440415,170
Al Harrington,00-02 At Rim,Reb/Oop,1.36,34
Al Harrington,03-08 Near Rim,Drive,1.0,2
Al Harrington,03-08 Near Rim,Jumper,0.5098039215686274,26
Al Harrington,03-08 Near Rim,Layup,2.0,4
Al Harrington,03-08 Near Rim,Post,1.1111111111111112,10
Al Harrington,03-08 Near Rim,invalid,0.0,0
Al Harrington,09-12 Short Range,Jumper,0.4827586206896552,14
Al Harrington,09-12 Short Range,Post,1.0,8
Al Harrington,13-17 Mid Range,Jumper,0.6756756756756757,50
Al Harrington,13-17 Mid Range,Post,1.5555555555555556,14
