formatname,minutes,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,play3PA,play3PM,playFTA,playFTM,playORB,playDRB,playTRB,possOnCourt,possUsed,games
JaylenMorris,98.48333334,28.0,7.0,6.0,2.0,1.0,2.0,31.0,13.0,9.0,2.0,0.0,0.0,2.0,14.0,16.0,215.17348188983004,34.43619013586822,6
JaysonTatum,2442.9333333399995,1112.0,128.0,116.0,83.0,58.0,170.0,835.0,397.0,242.0,105.0,258.0,213.0,49.0,352.0,401.0,4935.253864078496,969.210925938013,80
JeffGreen,1827.8500000399997,846.0,100.0,73.0,41.0,34.0,149.0,619.0,295.0,170.0,53.0,234.0,203.0,60.0,185.0,245.0,3793.4863794522744,737.9249134371254,78
JeffTeague,2311.29999999,994.0,492.0,177.0,102.0,22.0,171.0,794.0,354.0,228.0,84.0,239.0,202.0,24.0,185.0,209.0,4738.462932482835,966.6377480889903,70
JeffWithey,39.300000000000004,15.0,0.0,2.0,0.0,3.0,3.0,16.0,6.0,10.0,2.0,2.0,1.0,1.0,9.0,10.0,81.41667874969984,17.079139601318705,10
JeramiGrant,1647.1166666630004,682.0,57.0,55.0,31.0,78.0,155.0,456.0,244.0,110.0,32.0,240.0,162.0,85.0,233.0,318.0,3348.2067712384774,556.0541369920418,81
JeremyEvans,5.35,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.6423690625,1.6299316687500003,1
JeremyLamb,1966.7666666569999,1033.0,187.0,93.0,61.0,32.0,138.0,831.0,380.0,253.0,94.0,208.0,179.0,49.0,275.0,324.0,4047.709252789011,912.5460818481466,80
JeremyLin,25.18333333,18.0,4.0,3.0,0.0,0.0,3.0,12.0,5.0,2.0,1.0,7.0,7.0,0.0,0.0,0.0,62.13137561677612,16.21628903597857,1
JerianGrant,1686.3166666800003,619.0,342.0,89.0,62.0,8.0,132.0,504.0,209.0,188.0,61.0,188.0,140.0,32.0,143.0,175.0,3435.205853779279,606.823114089563,74
JerrydBayless,924.6833333230002,307.0,54.0,46.0,23.0,6.0,91.0,262.0,109.0,146.0,54.0,44.0,35.0,15.0,65.0,80.0,1961.474683418235,292.1697952408915,40
JimmyButler,2164.0166666399996,1307.0,288.0,108.0,117.0,24.0,78.0,921.0,437.0,200.0,70.0,425.0,363.0,80.0,234.0,314.0,4325.906399323062,1085.864726152564,59
JoakimNoah,40.149999999,12.0,4.0,4.0,2.0,2.0,5.0,10.0,5.0,0.0,0.0,4.0,2.0,6.0,8.0,14.0,85.4075543728473,13.59999219181582,7
JodieMeeks,1118.699999997,487.0,70.0,38.0,29.0,4.0,55.0,393.0,157.0,210.0,72.0,117.0,101.0,15.0,111.0,126.0,2296.6511218698824,432.79456935975696,77
JoeHarris,1974.4833333699994,846.0,128.0,91.0,35.0,20.0,153.0,622.0,305.0,358.0,150.0,104.0,86.0,53.0,209.0,262.0,4108.275885386271,683.6422426886515,78
JoeIngles,2578.2166666399994,940.0,392.0,158.0,91.0,20.0,178.0,718.0,335.0,464.0,204.0,83.0,66.0,24.0,320.0,344.0,5210.78575525756,826.8656450075072,82
JoeJohnson,1176.0833333399999,372.0,83.0,49.0,18.0,7.0,67.0,360.0,146.0,145.0,40.0,45.0,40.0,14.0,158.0,172.0,2376.805825639954,381.54559970117515,55
JoelBolomboy,37.78333333,9.0,0.0,2.0,2.0,0.0,3.0,6.0,3.0,1.0,0.0,6.0,3.0,6.0,4.0,10.0,76.34157436784402,8.913040983990655,6
JoelEmbiid,1911.8999999729997,1445.0,199.0,233.0,40.0,112.0,209.0,1053.0,510.0,214.0,66.0,467.0,359.0,143.0,546.0,689.0,3958.0097905691036,1341.0638166132856,63
JoffreyLauvergne,533.93333334,226.0,41.0,33.0,9.0,3.0,45.0,190.0,98.0,5.0,0.0,47.0,30.0,62.0,108.0,170.0,1098.2412375101355,217.01787038560713,55
JohnCollins,1784.6666666499996,777.0,98.0,105.0,47.0,80.0,215.0,546.0,314.0,47.0,16.0,186.0,133.0,176.0,365.0,541.0,3689.037384967722,659.4222913187397,74
JohnHenson,1969.43333331,665.0,114.0,85.0,45.0,110.0,202.0,501.0,287.0,7.0,1.0,158.0,90.0,148.0,365.0,513.0,3981.314476515792,598.4697845334944,76
JohnHolland,174.45000000300007,54.0,5.0,8.0,7.0,2.0,10.0,59.0,17.0,36.0,11.0,13.0,9.0,6.0,18.0,24.0,361.26062500774094,65.72724766250218,24
JohnWall,1409.8333333499995,797.0,393.0,159.0,57.0,45.0,80.0,665.0,280.0,167.0,62.0,241.0,175.0,21.0,127.0,148.0,2939.3636525343854,839.6646601768576,41
JohnathanMotley,175.766666663,96.0,7.0,9.0,3.0,2.0,18.0,75.0,40.0,6.0,1.0,28.0,15.0,14.0,35.0,49.0,343.66959342836464,82.86490598192121,11
JohnnyOBryant,379.05000000399997,171.0,14.0,15.0,8.0,6.0,45.0,171.0,68.0,43.0,14.0,25.0,21.0,29.0,65.0,94.0,785.4006909463808,178.51014775211877,36
JonLeuer,136.46666667000002,43.0,5.0,8.0,1.0,3.0,16.0,36.0,15.0,3.0,0.0,15.0,13.0,7.0,25.0,32.0,286.8860534458483,45.57867556166854,8
JonasJerebko,1133.5166666510002,429.0,42.0,27.0,24.0,13.0,127.0,341.0,159.0,157.0,65.0,57.0,46.0,53.0,193.0,246.0,2262.7970818409613,355.3381415615044,74
JonasValanciunas,1727.2666666499997,980.0,81.0,115.0,29.0,69.0,192.0,687.0,390.0,74.0,30.0,211.0,170.0,184.0,476.0,660.0,3567.114605276215,799.6968785408841,77
JonathanGibson,39.933333336000004,34.0,4.0,3.0,0.0,0.0,5.0,23.0,14.0,12.0,6.0,0.0,0.0,0.0,3.0,3.0,85.90674813074372,24.67030243052006,4
JonathanIsaac,535.8333333100001,145.0,18.0,27.0,33.0,29.0,48.0,144.0,55.0,46.0,16.0,25.0,19.0,16.0,83.0,99.0,1105.3727196391278,170.9383123750189,27
JonathonSimmons,2029.2333333500003,962.0,171.0,146.0,57.0,17.0,175.0,761.0,354.0,204.0,69.0,241.0,185.0,61.0,179.0,240.0,4199.498472845534,924.9240952645347,69
JordanBell,808.8999999759999,262.0,102.0,51.0,36.0,57.0,92.0,185.0,116.0,4.0,0.0,44.0,30.0,60.0,145.0,205.0,1694.515618076658,235.87938210050189,57
JordanClarkson,1887.400000013,1124.0,221.0,127.0,58.0,6.0,107.0,954.0,430.0,318.0,112.0,190.0,152.0,57.0,159.0,216.0,3963.173142531259,1045.9274991051875,81
JordanCrawford,53.283333337,33.0,14.0,4.0,1.0,1.0,7.0,27.0,12.0,14.0,8.0,1.0,1.0,2.0,1.0,3.0,117.88908657012466,28.346794239941815,5
JordanMickey,284.05000000900003,93.0,9.0,18.0,6.0,10.0,36.0,82.0,39.0,16.0,2.0,19.0,13.0,18.0,63.0,81.0,554.4226531428114,97.44919534168761,23
JoseBarea,1603.3333333370003,801.0,435.0,143.0,35.0,3.0,83.0,690.0,303.0,313.0,115.0,102.0,80.0,16.0,185.0,201.0,3223.0179334457684,801.3498008752948,69
JoseCalderon,914.3000000159998,255.0,117.0,41.0,27.0,2.0,81.0,185.0,93.0,97.0,45.0,30.0,24.0,14.0,69.0,83.0,1823.698356594295,220.18846575032666,57
JosephYoung,558.1166666529999,207.0,39.0,26.0,14.0,1.0,39.0,186.0,80.0,66.0,25.0,29.0,22.0,12.0,51.0,63.0,1121.9530059092945,199.0855836709709,53
JoshGray,86.43333333300001,32.0,12.0,7.0,8.0,2.0,8.0,41.0,11.0,13.0,3.0,11.0,7.0,2.0,8.0,10.0,187.84497187411787,47.479226024368515,5
JoshHart,1460.5333333360002,496.0,80.0,47.0,47.0,16.0,107.0,375.0,176.0,197.0,78.0,94.0,66.0,42.0,221.0,263.0,3043.6387609396816,416.28502602209977,63
JoshHuestis,981.583333338,159.0,20.0,26.0,15.0,43.0,82.0,182.0,60.0,115.0,33.0,20.0,6.0,43.0,119.0,162.0,1966.8133581382117,193.1859813733816,69
JoshJackson,1959.1833332899994,1012.0,120.0,146.0,80.0,35.0,218.0,932.0,389.0,217.0,57.0,279.0,177.0,95.0,256.0,351.0,4178.282284594363,1082.6816740342729,77
JoshMagette,216.23333332899998,46.0,57.0,9.0,8.0,1.0,16.0,46.0,15.0,22.0,8.0,8.0,8.0,2.0,17.0,19.0,439.92224717964234,53.51229664555056,18
JoshMcRoberts,5.75,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.820297499899695,0.990002750126115,2
JoshRichardson,2689.46666665,1045.0,231.0,138.0,122.0,74.0,199.0,885.0,399.0,336.0,127.0,142.0,120.0,68.0,216.0,284.0,5435.07894871141,984.0371354721306,81
JoshSmith,11.833333334,2.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,26.004660001318765,3.7041594976577095,3
JrueHoliday,2926.683333329999,1537.0,487.0,216.0,121.0,64.0,201.0,1242.0,615.0,356.0,120.0,238.0,187.0,62.0,303.0,365.0,6225.633180931741,1428.6554657680474,81
JuanHernangomez,277.083333327,82.0,12.0,9.0,6.0,3.0,25.0,75.0,29.0,50.0,14.0,12.0,10.0,18.0,36.0,54.0,558.4621109255372,77.8887785148018,25
JuliusRandle,2190.416666683,1323.0,210.0,213.0,43.0,45.0,274.0,903.0,504.0,45.0,10.0,425.0,305.0,181.0,473.0,654.0,4612.098737850197,1181.3913048036509,82
JulyanStone,174.75000000400001,19.0,26.0,7.0,4.0,2.0,21.0,13.0,6.0,13.0,6.0,2.0,1.0,1.0,28.0,29.0,365.89549907154975,19.487079865805875,23
JustinAnderson,518.7166666630001,236.0,25.0,16.0,15.0,8.0,54.0,202.0,87.0,103.0,34.0,38.0,28.0,25.0,67.0,92.0,1077.9865078010432,212.57629012265502,38
JustinHoliday,2264.93333334,876.0,153.0,93.0,80.0,31.0,134.0,782.0,290.0,449.0,161.0,164.0,135.0,31.0,260.0,291.0,4735.032225014014,855.7182828826537,72
