,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,
,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,
,PTS/36,0.444669933,11.8746366,14.11450299,-15.86925444,4,C,,AST%,0.386221226,9.586605982,13.85542531,-30.80973146,5,D,,PTS/36,0.409003727,13.11964023,14.11450299,-7.04851431,6,C,,AST%,0.400618748,21.95675676,13.85542531,58.47046381,7,B,
,USG%,0.417374571,15.5881295,19.22124188,-18.90154865,4,C,,PTS/36,0.363813751,14.03736606,14.11450299,-0.546508315,5,C,,USG%,0.385875496,17.60945122,19.22124188,-8.38546579,6,C,,AST/36,0.384920374,4.826628839,3.042382647,58.64634396,7,B,
,AST%,0.319201775,5.439208633,13.85542531,-60.74311318,4,D,,AST/36,0.35548227,2.093102407,3.042382647,-31.20186873,5,D,,AST%,0.373315888,6.960213415,13.85542531,-49.76542937,6,D,,TRB%,0.381706363,5.80956341,10.20684302,-43.0816816,7,D,
,PPS_00-02 At Rim,0.277993319,1.298783161,1.216406061,6.772171059,4,C,,DWS,0.3553166,1.726788036,1.70095042,1.519010569,5,C,,AST/36,0.33562716,1.51923425,3.042382647,-50.06432701,6,D,,DBPM,0.343218741,-1.136174636,-0.038064312,-2884.881597,7,F,
,AST/36,0.276433073,1.229977023,3.042382647,-59.57191565,4,D,,USG%,0.315742515,19.08283485,19.22124188,-0.720073303,5,C,,DWS,0.309623053,2.024542683,1.70095042,19.02420314,6,C,,DWS,0.300577642,1.386486486,1.70095042,-18.48754259,7,C,
,DWS,0.251199696,2.684172662,1.70095042,57.80428581,4,B,,TS%,0.281955158,0.524127438,0.530298749,-1.163742211,5,C,,PPS_03-08 Near Rim,0.200731546,0.778167921,0.733604761,6.074546263,6,C,,STL%,0.250082247,1.906444906,1.629748139,16.97788518,7,C,
,PPS_03-08 Near Rim,0.230908041,0.753109912,0.733604761,2.658809235,4,C,,TRB%,0.223275469,12.13107932,10.20684302,18.85241399,5,C,,PPS_24-27 Three,0.180861882,0.19200594,0.77426968,-75.20167131,6,F,,FTr,0.237351851,0.257352391,0.299567242,-14.09194511,7,C,
,TS%,0.19746316,0.563284173,0.530298749,6.220158757,4,C,,DBPM,0.206520604,0.282314694,-0.038064312,841.6781797,5,A,,PPS_00-02 At Rim,0.171577821,1.279048977,1.216406061,5.149835834,6,C,,TOV%,0.209700575,14.51808732,13.61544432,6.629552261,7,C,
,TRB%,0.176560724,18.59172662,10.20684302,82.14962823,4,A,,PPS_00-02 At Rim,0.201809745,1.237641762,1.216406061,1.745773995,5,C,,PPS_13-17 Mid Range,0.166621283,0.680877036,0.748227461,-9.001330219,6,C,,BLK%,0.202891355,0.533316008,1.654704578,-67.76971458,7,D,
