Feature,Importance,Cluster Average,League Average,%diff,Cluster,level
AST%,0.37326624574184386,32.38195876288664,13.855425312846457,133.71320642797428,0,A
DWS,0.3433329906722241,1.4979381443298974,1.7009504197687317,-11.93522592307169,0,C
AST/36,0.326445802811657,7.151871099169982,3.0423826471649678,135.07467431272738,0,A
TRB%,0.3129773866583422,5.404295532646053,10.206843022334892,-47.0522323031693,0,D
PTS/36,0.29989568690491497,14.359747903726515,14.11450299334006,1.7375384064332466,0,C
USG%,0.27995448290787844,20.65876288659793,19.221241881831148,7.4788143950552834,0,C
DBPM,0.26433284667772056,-1.4613402061855665,-0.03806431173768421,-3739.1347156260777,0,F
TS%,0.24923756817818898,0.5193333333333333,0.5302987486139712,-2.067780719697702,0,C
PPS_00-02 At Rim,0.24038188061244808,1.1142128339477744,1.2164060614255219,-8.401242867697153,0,C
FTr,0.1994264600484115,0.2657027491408932,0.2995672421986379,-11.304471346466423,0,C
STL%,0.1621051281665467,2.1721649484536076,1.629748138761293,33.282247532099284,0,B
PPS_13-17 Mid Range,0.15236420757414978,0.7865684184615908,0.748227460644516,5.124238260922457,0,C
PPS_03-08 Near Rim,0.14607409080752948,0.7125378047552793,0.7336047608055732,-2.8717038350678483,0,C
BLK%,0.13365853314274398,0.41374570446735437,1.6547045778552234,-74.9957962282525,0,F
PPS_18-23 Long Jumper,0.1031349851548737,0.7821441350782414,0.7202918715698547,8.587111135043287,0,C
PPS_09-12 Short Range,0.0870687504788679,0.7612683336404439,0.7146006180076808,6.530601073768097,0,C
PPS_24-27 Three,0.055799328640654317,1.0269403358967546,0.7742696797922912,32.633417360763225,0,B
PPS_28-34 Deep,0.004215525565842752,0.533914362417357,0.34636556119416434,54.147646947514296,0,B
TOV%,-0.07218708970156508,17.0115120274914,13.615444321241911,24.9427607804996,0,B
3PAr,-0.15861989910036534,0.30094158075601374,0.2212361793125287,36.02729069502209,0,B
AST%,0.3877787787891479,8.56662895927602,13.855425312846457,-38.1713028229222,1,D
PTS/36,0.3756112255895861,13.989152614444517,14.11450299334006,-0.8880963003422093,1,C
AST/36,0.358771649071092,1.8472517135873048,3.0423826471649678,-39.28272910349857,1,D
USG%,0.3364323198448627,18.892873303167427,19.221241881831148,-1.7083629698979579,1,C
DWS,0.33076981801119176,1.9576923076923067,1.7009504197687317,15.094025371914292,1,C
PPS_24-27 Three,0.19883269518799243,0.42647728890721387,0.7742696797922912,-44.91876667292171,1,D
TS%,0.19577979772336457,0.5348427601809953,0.5302987486139712,0.8568776711053306,1,C
PPS_00-02 At Rim,0.1953297337986317,1.2616610527133563,1.2164060614255219,3.7203852169890936,1,C
