playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Post_47-94 Backcourt,PPS_Pullup_00-02 At Rim,PPS_Pullup_03-08 Near Rim,PPS_Pullup_09-12 Short Range,PPS_Pullup_13-17 Mid Range,PPS_Pullup_18-23 Long Jumper,PPS_Pullup_24-27 Three,PPS_Pullup_28-34 Deep,PPS_Pullup_35-46 Near Half,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_18-23 Long Jumper,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,PPS_invalid_24-27 Three,PPS_invalid_28-34 Deep,PPS_invalid_35-46 Near Half,PPS_invalid_47-94 Backcourt,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Post_47-94 Backcourt,Points_Pullup_00-02 At Rim,Points_Pullup_03-08 Near Rim,Points_Pullup_09-12 Short Range,Points_Pullup_13-17 Mid Range,Points_Pullup_18-23 Long Jumper,Points_Pullup_24-27 Three,Points_Pullup_28-34 Deep,Points_Pullup_35-46 Near Half,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_18-23 Long Jumper,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper,Points_invalid_24-27 Three,Points_invalid_28-34 Deep,Points_invalid_35-46 Near Half,Points_invalid_47-94 Backcourt
Brian Cook,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.625,1.3448275862068966,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,6.0,10.0,39.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Brian Scalabrine,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,0.711864406779661,1.1379310344827585,0.0,0.0,0.0,1.6,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,42.0,33.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brook Lopez,1.2857142857142858,0.0,0.0,0.0,1.8969072164948453,0.0,0.0,0.6813186813186813,0.7636363636363637,0.7945205479452054,0.835820895522388,0.0,0.0,0.0,0.0,1.0510204081632653,0.0,0.0,0.8571428571428571,0.8108108108108109,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3129770992366412,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,184.0,0.0,0.0,62.0,42.0,58.0,56.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,60.0,30.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Watson,1.4509803921568627,2.0,0.0,0.0,1.0,0.0,0.0,0.9411764705882353,0.5,0.6086956521739131,0.8539325842696629,0.9473684210526315,0.0,1.0,0.0,0.9508196721311475,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8888888888888888,1.7894736842105263,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,2.0,0.0,0.0,2.0,0.0,0.0,48.0,14.0,42.0,152.0,54.0,0.0,3.0,0.0,58.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,34.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ Miles,1.4444444444444444,1.0,0.0,0.0,1.7575757575757576,0.0,1.3333333333333333,0.8108108108108109,0.5454545454545454,0.8888888888888888,0.7286821705426356,0.9767441860465117,0.6000000000000001,0.0,0.0,1.1111111111111112,0.0,0.0,0.75,1.3333333333333333,1.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0,0.0,58.0,0.0,4.0,30.0,12.0,48.0,94.0,126.0,3.0,0.0,0.0,80.0,0.0,0.0,6.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carl Landry,1.6521739130434783,0.0,0.0,0.0,1.9259259259259258,0.0,0.0,0.9565217391304348,0.631578947368421,0.85,0.9615384615384616,0.0,0.0,0.0,0.0,1.09375,0.0,0.0,1.125,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,104.0,0.0,0.0,22.0,12.0,68.0,50.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Boozer,1.3636363636363635,0.0,0.0,0.0,1.7,0.0,2.0,0.5862068965517241,0.7027027027027027,0.8,0.6842105263157895,0.0,0.0,0.0,0.0,1.1325301204819278,0.0,0.0,0.9473684210526315,0.9090909090909091,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,34.0,0.0,2.0,34.0,26.0,88.0,26.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,18.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Carmelo Anthony,1.2142857142857142,0.5,0.0,0.0,1.7916666666666667,0.0,2.0,0.6349206349206349,0.5185185185185185,0.660377358490566,0.8898678414096917,1.079136690647482,0.0,0.0,0.0,0.8712871287128713,0.0,0.0,1.25,1.2222222222222223,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.2307692307692308,1.3333333333333333,3.0,0.0,0.0,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,2.0,0.0,0.0,86.0,0.0,2.0,40.0,28.0,140.0,202.0,150.0,0.0,0.0,0.0,176.0,0.0,0.0,20.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,16.0,4.0,3.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caron Butler,1.6388888888888888,2.0,2.0,0.0,2.0,0.0,0.0,0.631578947368421,0.7906976744186046,0.6742857142857143,0.7859922178988327,1.0067114093959733,0.6923076923076923,0.0,0.0,0.9893617021276596,2.0,0.0,1.4285714285714286,1.5,1.5,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.6666666666666667,0.6666666666666666,3.0,0.0,0.0,1.8461538461538463,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,4.0,2.0,0.0,40.0,0.0,0.0,48.0,34.0,118.0,202.0,150.0,9.0,0.0,0.0,186.0,2.0,0.0,10.0,6.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,2.0,3.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartier Martin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5,0.8571428571428571,0.6000000000000001,0.0,0.0,0.0,1.1578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,18.0,9.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Channing Frye,1.6666666666666667,0.0,0.0,0.0,2.0,0.0,0.0,0.8888888888888888,0.8571428571428571,0.8484848484848485,0.8493150684931506,0.4,0.0,0.0,0.0,0.7619047619047619,0.0,2.0,0.8571428571428571,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,6.0,28.0,124.0,6.0,0.0,0.0,0.0,16.0,0.0,2.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Bell,1.6923076923076923,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.5,0.7733333333333333,0.8768472906403941,0.8863636363636365,0.75,0.6000000000000001,0.0,0.9375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,58.0,178.0,117.0,3.0,3.0,0.0,60.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Villanueva,1.5483870967741935,1.3333333333333333,2.0,0.0,1.6888888888888889,0.0,0.0,1.0,0.7142857142857143,0.7516778523489933,0.7857142857142857,1.0772727272727272,1.5,0.0,1.5,0.891566265060241,0.0,0.0,1.0149253731343284,1.0857142857142856,1.1111111111111112,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,4.0,2.0,0.0,76.0,0.0,0.0,86.0,50.0,112.0,110.0,237.0,3.0,0.0,3.0,148.0,0.0,0.0,68.0,38.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chauncey Billups,1.2037037037037037,2.0,0.0,0.0,2.0,0.0,2.0,0.36363636363636365,0.68,0.7741935483870968,0.8021978021978022,1.2654867256637168,0.0,0.0,0.0,0.7301587301587301,2.0,0.0,0.0,0.9230769230769231,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.5,2.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,130.0,4.0,0.0,0.0,2.0,0.0,2.0,16.0,34.0,96.0,146.0,429.0,0.0,0.0,0.0,46.0,2.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,6.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Chris Andersen,1.4666666666666666,0.0,0.0,0.0,1.7560975609756098,0.0,0.0,0.47058823529411764,0.36363636363636365,1.2857142857142858,0.5882352941176471,0.0,0.0,0.0,0.0,1.1081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1136363636363635,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,72.0,0.0,0.0,8.0,4.0,18.0,10.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Chris Bosh,1.2598425196850394,1.0,2.0,0.0,1.709090909090909,2.0,0.0,0.819672131147541,0.5789473684210527,0.9256198347107438,0.9694656488549618,0.8048780487804879,0.0,0.0,0.0,0.9548387096774194,1.0,2.0,1.0704225352112675,0.43478260869565216,0.6086956521739131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,1.3846153846153846,1.6,3.0,0.0,0.0,1.1785714285714286,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,2.0,2.0,0.0,94.0,2.0,0.0,50.0,44.0,224.0,254.0,33.0,0.0,0.0,0.0,148.0,4.0,4.0,76.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,8.0,3.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Douglas-Roberts,1.2352941176470589,2.0,0.0,0.0,2.0,0.0,0.0,0.8235294117647058,0.7272727272727273,0.5454545454545454,0.8148148148148148,0.0,0.0,0.0,0.0,1.0212765957446808,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,0.0,6.0,0.0,0.0,14.0,8.0,12.0,22.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Duhon,1.4736842105263157,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,1.0,0.4444444444444444,0.8737864077669902,1.1434426229508197,1.2000000000000002,1.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,8.0,90.0,279.0,12.0,3.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Kaman,1.6666666666666667,0.0,0.0,0.0,1.8888888888888888,0.0,0.0,0.5555555555555556,0.5454545454545454,0.8846153846153846,1.1111111111111112,0.0,0.0,0.0,0.0,1.1272727272727272,0.0,0.0,1.1794871794871795,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,34.0,0.0,0.0,10.0,12.0,46.0,10.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,46.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Paul,1.7076923076923076,1.5,0.0,0.0,1.3333333333333333,0.0,2.0,1.005586592178771,0.7804878048780488,0.8602150537634409,0.892018779342723,1.114864864864865,0.6666666666666666,0.0,0.0,0.9633507853403142,2.0,0.0,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8461538461538463,1.7777777777777777,1.8461538461538463,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,222.0,6.0,0.0,0.0,4.0,0.0,2.0,180.0,96.0,160.0,190.0,165.0,6.0,0.0,0.0,184.0,2.0,0.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,16.0,24.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Quinn,1.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.8235294117647058,0.8571428571428571,1.153846153846154,2.0,3.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,28.0,60.0,120.0,6.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Chris Wilcox,1.7,2.0,0.0,0.0,1.8125,2.0,0.0,0.7017543859649122,0.5142857142857142,0.46153846153846156,0.0,0.75,0.0,0.0,0.0,0.8636363636363636,2.0,2.0,0.7586206896551724,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4603174603174602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0,58.0,2.0,0.0,40.0,18.0,12.0,0.0,3.0,0.0,0.0,0.0,76.0,2.0,2.0,22.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chuck Hayes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34782608695652173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Brewer,1.4,0.0,0.0,0.0,2.0,0.0,0.0,0.3333333333333333,1.0,0.8,0.7096774193548387,0.75,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,8.0,22.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Maggette,1.791044776119403,2.0,0.0,0.0,1.875,0.0,0.0,0.4074074074074074,0.5384615384615384,0.49122807017543857,0.7079646017699115,0.5571428571428572,0.0,0.0,0.0,0.9137931034482759,2.0,2.0,1.0769230769230769,1.0,1.1764705882352942,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.6,1.5,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,6.0,0.0,0.0,30.0,0.0,0.0,22.0,14.0,28.0,80.0,39.0,0.0,0.0,0.0,106.0,2.0,4.0,14.0,12.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,40.0,6.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Courtney Lee,1.267605633802817,2.0,0.0,0.0,1.6363636363636365,0.0,0.0,0.75,0.3333333333333333,0.5915492957746479,0.8714285714285714,1.088495575221239,0.0,0.0,0.0,1.0606060606060606,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5555555555555556,2.0,3.0,0.0,0.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,2.0,0.0,0.0,18.0,0.0,0.0,12.0,6.0,42.0,122.0,123.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,2.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Smith,1.6734693877551021,2.0,0.0,0.0,1.7777777777777777,0.0,1.0,0.9747899159663865,0.782608695652174,0.6956521739130435,0.8571428571428571,0.0,0.0,0.0,0.0,1.1391304347826088,2.0,0.0,1.0,0.6666666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,8.0,0.0,0.0,16.0,0.0,2.0,116.0,18.0,16.0,12.0,0.0,0.0,0.0,0.0,262.0,2.0,0.0,18.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Augustin,1.7777777777777777,1.2,2.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.5185185185185185,0.8,0.8392857142857143,1.3989637305699483,0.0,0.0,0.0,0.46296296296296297,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,6.0,2.0,0.0,0.0,0.0,0.0,14.0,14.0,48.0,94.0,270.0,0.0,0.0,0.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
