playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_24-27 Three,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_24-27 Three,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_24-27 Three
Joel Przybilla,0.0,0.0,0.0,0.0,1.8461538461538463,0.0,2.0,0.5714285714285714,0.0,0.7692307692307693,2.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,2.0,4.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Joey Graham,1.4736842105263157,0.0,0.0,0.0,1.76,0.0,0.0,0.64,0.3076923076923077,0.8431372549019608,0.8860759493670886,0.8,0.0,0.0,0.0,1.1864406779661016,2.0,0.6666666666666666,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,1.4545454545454546,0.0,0.0,2.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,44.0,0.0,0.0,16.0,4.0,86.0,70.0,12.0,0.0,0.0,0.0,70.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0
Johan Petro,1.8,0.0,0.0,0.0,1.5172413793103448,0.0,0.0,1.024390243902439,0.8,0.8596491228070176,0.9411764705882353,0.0,0.0,0.0,0.0,1.03125,2.0,2.0,1.0819672131147542,1.1666666666666667,1.3333333333333333,0.0,0.0,0.0,0.0,1.1,2.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,44.0,0.0,0.0,42.0,48.0,98.0,16.0,0.0,0.0,0.0,0.0,66.0,2.0,8.0,66.0,14.0,4.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,2.0,0.0,0.0
John Lucas III,1.8181818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.8275862068965517,1.2857142857142858,0.875,0.6896551724137931,0.5853658536585367,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,14.0,20.0,24.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Salmons,1.639344262295082,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.8148148148148148,1.0,0.6136363636363636,0.6428571428571429,1.0985915492957747,0.0,0.0,0.0,1.0588235294117647,0.0,0.0,1.3333333333333333,1.6,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10.0,0.0,0.0,44.0,28.0,54.0,54.0,78.0,0.0,0.0,0.0,108.0,0.0,0.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Jordan Farmar,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0.46153846153846156,1.2,0.8461538461538461,0.7346938775510204,0.99,1.2000000000000002,0.0,0.0,0.9454545454545454,0.0,0.0,1.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,6.0,22.0,36.0,99.0,6.0,0.0,0.0,52.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Calderon,1.3548387096774193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8656716417910447,0.9801324503311258,1.0555555555555556,0.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,58.0,148.0,57.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0
Josh Childress,1.4339622641509433,0.0,0.0,0.0,1.872340425531915,0.0,0.0,0.3076923076923077,0.45454545454545453,0.8333333333333334,0.6582278481012658,0.9767441860465117,1.0,0.0,0.0,1.0481283422459893,1.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,88.0,0.0,0.0,4.0,10.0,20.0,52.0,42.0,3.0,0.0,0.0,196.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Howard,1.7183098591549295,0.0,0.0,0.0,1.8666666666666667,0.0,0.0,0.8695652173913043,0.8674698795180723,0.8773584905660378,0.676056338028169,1.2303370786516854,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,1.2727272727272727,0.9333333333333333,1.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,2.0,1.5,0.0,0.0,122.0,0.0,0.0,0.0,28.0,0.0,0.0,80.0,72.0,186.0,144.0,219.0,0.0,0.0,0.0,126.0,0.0,0.0,28.0,14.0,14.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,6.0,0.0,0.0
Josh Powell,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8333333333333334,1.0,0.75,0.5,0.0,0.0,0.0,0.0,1.04,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,6.0,18.0,8.0,0.0,0.0,0.0,0.0,26.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Smith,1.4947368421052631,0.0,0.0,0.0,1.8461538461538463,0.0,0.0,0.4166666666666667,0.42857142857142855,0.5,0.6548672566371682,0.75,0.6000000000000001,0.0,0.0,0.911504424778761,2.0,1.0,0.875,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,1.625,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,144.0,0.0,0.0,30.0,6.0,30.0,148.0,93.0,3.0,0.0,0.0,206.0,6.0,12.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
Juwan Howard,1.2,0.0,0.0,0.0,2.0,0.0,0.0,0.875,0.6363636363636364,0.9021739130434783,0.896,0.0,0.0,0.0,0.0,1.158878504672897,0.0,0.0,0.8235294117647058,0.8108108108108109,0.6,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,20.0,0.0,0.0,42.0,28.0,166.0,112.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,56.0,30.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Bogans,1.4666666666666666,0.0,0.0,0.0,0.0,0.0,2.0,0.4444444444444444,0.0,0.4,0.7368421052631579,1.125,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,56.0,90.0,3.0,0.0,0.0,40.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelenna Azubuike,1.7894736842105263,0.0,0.0,0.0,1.75,0.0,0.0,0.21052631578947367,0.8571428571428571,0.3333333333333333,1.0285714285714285,1.25,0.0,0.0,0.0,0.9767441860465116,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,6.0,6.0,36.0,75.0,0.0,0.0,0.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendrick Perkins,0.0,0.0,0.0,0.0,1.7647058823529411,0.0,0.0,0.42424242424242425,0.5714285714285714,0.5,0.0,0.0,0.0,0.0,0.0,1.1363636363636365,0.8,1.2,1.0129870129870129,0.75,1.3333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,4.0,6.0,78.0,12.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenyon Martin,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
Kevin Garnett,1.76,0.0,0.0,0.0,1.9215686274509804,0.0,0.0,0.7887323943661971,0.6935483870967742,0.8864468864468864,0.8405797101449275,0.7173913043478262,0.0,0.0,0.0,0.9746835443037974,0.0,1.3333333333333333,1.3220338983050848,1.1343283582089552,0.9830508474576272,2.0,0.0,0.0,0.0,1.2820512820512822,0.0,0.0,2.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,98.0,0.0,0.0,112.0,86.0,242.0,232.0,33.0,0.0,0.0,0.0,154.0,0.0,4.0,78.0,76.0,58.0,6.0,0.0,0.0,0.0,50.0,0.0,0.0,14.0,0.0,0.0,0.0
Kevin Martin,1.5588235294117647,1.7142857142857142,0.0,0.0,1.8571428571428572,2.0,0.0,0.9142857142857143,0.9855072463768116,0.8368794326241135,0.8281938325991189,1.1058823529411765,0.0,0.0,0.0,0.9925925925925926,0.0,0.0,1.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,1.12,0.0,0.0,2.0,0.0,0.0,0.0,106.0,12.0,0.0,0.0,78.0,2.0,0.0,64.0,68.0,118.0,188.0,282.0,0.0,0.0,0.0,134.0,0.0,0.0,4.0,6.0,8.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,6.0,0.0,0.0,0.0
Keyon Dooling,1.3888888888888888,0.0,0.0,0.0,1.4,0.0,0.0,0.875,0.72,0.9655172413793104,0.5945945945945946,1.0,0.0,0.0,0.0,0.9459459459459459,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,14.0,0.0,0.0,28.0,18.0,56.0,88.0,66.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Kirk Hinrich,1.6231884057971016,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.55,0.8268156424581006,0.8552188552188552,1.263157894736842,0.75,0.0,0.0,0.912,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,22.0,148.0,254.0,360.0,3.0,0.0,0.0,114.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Kobe Bryant,1.7699115044247788,2.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.8440366972477065,0.9026548672566371,0.8660436137071651,0.824468085106383,1.0540540540540542,0.8181818181818181,0.0,0.0,0.839622641509434,1.0,0.0,1.75,1.0666666666666667,1.4545454545454546,1.2727272727272727,1.5,0.0,0.0,1.6666666666666667,0.0,0.0,0.8,0.0,0.0,0.0,200.0,4.0,0.0,0.0,72.0,0.0,0.0,92.0,102.0,278.0,310.0,351.0,18.0,0.0,0.0,178.0,2.0,0.0,28.0,16.0,48.0,14.0,3.0,0.0,0.0,30.0,0.0,0.0,4.0,0.0,0.0,0.0
Kris Humphries,1.4,0.0,0.0,0.0,1.894736842105263,0.0,0.0,0.6363636363636364,0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.9122807017543859,0.0,0.0,0.6666666666666666,1.5,2.0,0.0,0.0,0.0,0.0,0.7368421052631579,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,36.0,0.0,0.0,14.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0
Kurt Thomas,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.18181818181818182,1.3333333333333333,0.7843137254901961,0.7317073170731707,0.0,0.0,0.0,0.0,1.2352941176470589,0.0,0.0,1.3333333333333333,1.6,1.0,0.0,0.0,0.0,0.0,1.7142857142857142,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,12.0,80.0,30.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
Kwame Brown,2.0,0.0,0.0,0.0,1.794871794871795,0.0,0.0,0.5454545454545454,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1162790697674418,0.0,0.0,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,70.0,0.0,0.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0
Kyle Korver,1.6,0.0,0.0,0.0,2.0,0.0,0.0,0.8571428571428571,0.55,0.7582417582417582,0.823045267489712,1.3739495798319328,0.46153846153846156,0.0,0.0,1.1884057971014492,0.0,0.0,0.0,0.8888888888888888,1.7142857142857142,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,22.0,138.0,200.0,327.0,6.0,0.0,0.0,82.0,0.0,0.0,0.0,8.0,24.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
Kyle Lowry,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4444444444444444,1.2000000000000002,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaMarcus Aldridge,2.0,0.0,0.0,0.0,1.7826086956521738,0.0,2.0,1.1428571428571428,0.4,0.8387096774193549,0.6741573033707865,0.0,0.0,0.0,0.0,1.255813953488372,0.0,0.0,0.9375,0.7333333333333333,0.5714285714285714,1.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,82.0,0.0,2.0,24.0,8.0,78.0,60.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,30.0,22.0,8.0,2.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamar Odom,1.6533333333333333,1.3333333333333333,0.0,0.0,1.84,0.0,2.0,0.5531914893617021,0.5263157894736842,0.8135593220338984,0.6829268292682927,0.9215686274509804,0.0,0.0,0.0,0.961038961038961,2.0,1.6666666666666667,1.3076923076923077,2.0,1.3333333333333333,0.0,0.0,3.0,0.0,1.3333333333333333,0.0,0.0,0.0,2.0,0.0,0.0,124.0,4.0,0.0,0.0,46.0,0.0,2.0,26.0,10.0,48.0,56.0,141.0,0.0,0.0,0.0,148.0,4.0,10.0,34.0,4.0,4.0,0.0,0.0,3.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0
LeBron James,1.722488038277512,1.5,0.0,0.0,1.9310344827586208,0.0,0.0,0.7246376811594203,0.8947368421052632,0.5972850678733032,0.7331189710610932,0.9367088607594938,0.3333333333333333,0.3333333333333333,0.6000000000000001,1.1081081081081081,0.0,2.0,1.4545454545454546,0.42105263157894735,1.0833333333333333,1.5,3.0,0.0,0.0,1.380952380952381,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,360.0,6.0,0.0,0.0,112.0,0.0,0.0,100.0,68.0,132.0,228.0,222.0,3.0,3.0,3.0,246.0,0.0,2.0,32.0,8.0,26.0,6.0,3.0,0.0,0.0,58.0,0.0,0.0,4.0,0.0,0.0,0.0
Leandro Barbosa,1.4901960784313726,0.0,0.0,0.0,0.0,0.0,2.0,0.45454545454545453,0.8888888888888888,0.9859154929577465,0.8962962962962963,1.2376237623762376,0.0,0.0,0.0,1.0866141732283465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,40.0,70.0,242.0,375.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
Leon Powe,2.0,0.0,0.0,0.0,1.8571428571428572,0.0,0.0,0.5333333333333333,0.5714285714285714,0.9230769230769231,0.2857142857142857,0.0,0.0,0.0,0.0,0.7272727272727273,1.3333333333333333,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,26.0,0.0,0.0,16.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,48.0,4.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Linas Kleiza,1.5789473684210527,0.0,0.0,0.0,1.9130434782608696,0.0,0.0,0.5833333333333334,0.9090909090909091,0.7058823529411765,0.7169811320754716,1.1400000000000001,0.0,0.0,0.0,0.8115942028985508,0.0,0.0,1.0909090909090908,2.0,0.5,0.0,0.0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,44.0,0.0,0.0,14.0,10.0,24.0,76.0,171.0,0.0,0.0,0.0,56.0,0.0,0.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Lou Amundson,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Lou Williams,1.7777777777777777,0.0,0.0,0.0,2.0,0.0,0.0,0.8,0.5454545454545454,0.9,0.5161290322580645,0.9230769230769231,0.0,0.0,0.0,0.6530612244897959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,6.0,36.0,16.0,24.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Ridnour,1.5185185185185186,0.0,0.0,0.0,0.0,0.0,1.6,0.9465648854961832,0.8615384615384616,0.9607843137254902,0.7480916030534351,1.096153846153846,0.0,0.0,0.0,0.5063291139240507,1.3333333333333333,2.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,8.0,124.0,56.0,98.0,98.0,114.0,0.0,0.0,0.0,40.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Luke Walton,1.6842105263157894,0.0,0.0,0.0,1.8666666666666667,0.0,0.0,0.7368421052631579,0.5833333333333334,0.6808510638297872,0.7551020408163265,1.1506849315068493,0.0,0.0,0.0,1.135135135135135,0.0,0.0,1.0909090909090908,1.0,0.8,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,28.0,0.0,0.0,42.0,14.0,32.0,74.0,84.0,0.0,0.0,0.0,210.0,0.0,0.0,24.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Luol Deng,1.625,0.0,0.0,0.0,1.9466666666666668,0.0,0.0,0.7640449438202247,0.7407407407407407,0.8653846153846154,0.889487870619946,0.0,0.0,0.0,0.0,1.099630996309963,0.0,2.0,1.25,0.8571428571428571,0.5,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,2.0,1.0,0.0,0.0,104.0,0.0,0.0,0.0,146.0,0.0,0.0,68.0,40.0,180.0,330.0,0.0,0.0,0.0,0.0,298.0,0.0,2.0,30.0,6.0,4.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,2.0,2.0,0.0,0.0
Malik Allen,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.5454545454545454,0.9629629629629629,0.8,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,2.0,0.6666666666666666,0.6666666666666666,0.8,0.0,0.0,0.0,0.0,1.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,12.0,78.0,48.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Manu Ginobili,1.5945945945945945,1.5,0.0,0.0,1.8181818181818181,0.0,0.0,0.7164179104477612,0.8484848484848485,0.717391304347826,0.782608695652174,1.1902834008097167,0.6000000000000001,0.0,0.0,0.9820359281437125,1.0,0.0,1.2,2.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,118.0,24.0,0.0,0.0,20.0,0.0,0.0,48.0,28.0,66.0,90.0,294.0,3.0,0.0,0.0,164.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,10.0,0.0,0.0
Marcus Banks,1.6,0.0,0.0,0.0,2.0,0.0,0.0,0.5714285714285714,0.0,0.8235294117647058,0.684931506849315,0.5714285714285714,0.0,1.5,0.0,1.1272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,14.0,50.0,12.0,0.0,3.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Camby,1.1794871794871795,2.0,0.0,0.0,1.8148148148148149,0.0,0.0,0.8,0.88,0.7563025210084033,0.6708860759493671,0.0,0.0,0.0,0.0,1.1401869158878504,0.0,0.0,0.9230769230769231,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,46.0,6.0,0.0,0.0,98.0,0.0,0.0,52.0,22.0,90.0,106.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,12.0,2.0,4.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,4.0,0.0,0.0,0.0
Marquis Daniels,1.6666666666666667,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.7906976744186046,0.7272727272727273,0.6666666666666666,0.42424242424242425,0.75,0.0,3.0,0.0,1.178082191780822,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,34.0,32.0,26.0,14.0,9.0,0.0,3.0,0.0,86.0,2.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Martell Webster,1.4814814814814814,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.2307692307692308,0.8,1.04,0.7027027027027027,1.0446428571428572,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,8.0,26.0,156.0,117.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
