playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_24-27 Three,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_24-27 Three,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_24-27 Three
Jamal Crawford,1.6363636363636365,2.0,0.0,0.0,1.75,0.0,0.0,0.9176470588235294,1.0344827586206897,0.7647058823529411,0.729064039408867,0.935064935064935,1.0,0.0,0.0,0.4791666666666667,0.0,0.0,1.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,126.0,2.0,0.0,0.0,14.0,0.0,0.0,78.0,60.0,78.0,148.0,216.0,3.0,0.0,0.0,46.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Jameer Nelson,1.37984496124031,1.0,0.0,0.0,0.0,0.0,0.0,0.7916666666666666,0.4666666666666667,0.7777777777777778,0.8682170542635659,0.9375,0.0,0.0,0.0,0.8169014084507042,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,178.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,14.0,84.0,224.0,135.0,0.0,0.0,0.0,116.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
James Jones,1.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.5,0.2,0.6382978723404256,0.7630057803468208,1.0828402366863905,0.8571428571428571,0.0,0.0,1.2941176470588236,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,30.0,132.0,183.0,6.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Posey,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0.2857142857142857,0.0,0.36363636363636365,0.7560975609756098,1.0824742268041236,1.5,0.0,0.0,1.0571428571428572,0.0,2.0,1.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,28.0,0.0,0.0,2.0,0.0,4.0,62.0,210.0,3.0,0.0,0.0,74.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
James Singleton,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5333333333333333,0.631578947368421,0.75,0.0,0.0,0.0,1.0909090909090908,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,8.0,12.0,9.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
James White,0.6666666666666666,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Jannero Pargo,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7906976744186046,0.5454545454545454,0.8933333333333333,0.7980769230769231,1.161290322580645,1.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,18.0,134.0,166.0,180.0,3.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Jeffries,2.0,0.0,0.0,0.0,1.7647058823529411,2.0,0.0,0.35294117647058826,0.5,0.5,0.7142857142857143,0.0,0.0,0.0,0.0,1.0689655172413792,0.0,2.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,30.0,2.0,0.0,6.0,4.0,6.0,30.0,0.0,0.0,0.0,0.0,62.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Jack,1.4059405940594059,0.0,0.0,0.0,0.0,0.0,2.0,1.0461538461538462,0.8235294117647058,0.7532467532467533,0.8365384615384616,1.0165289256198347,0.0,0.0,0.0,0.9024390243902439,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,28.0,58.0,174.0,123.0,0.0,0.0,0.0,74.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Collins,2.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.4,0.0,0.4444444444444444,0.7272727272727273,0.0,0.0,0.0,0.0,0.9259259259259259,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,50.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0
