playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Drive_28-34 Deep,PPS_Drive_35-46 Near Half,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_09-12 Short Range,PPS_Dunk_18-23 Long Jumper,PPS_Dunk_35-46 Near Half,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Layup_35-46 Near Half,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_18-23 Long Jumper,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Drive_28-34 Deep,Points_Drive_35-46 Near Half,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_09-12 Short Range,Points_Dunk_18-23 Long Jumper,Points_Dunk_35-46 Near Half,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Layup_35-46 Near Half,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_18-23 Long Jumper,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim
Tyronn Lue,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.2,0.5714285714285714,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,8.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vernon Maxwell,1.2258064516129032,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.4,0.9285714285714286,0.6829268292682927,1.0239520958083834,0.75,0.0,0.0,0.9032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,26.0,56.0,171.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Vin Baker,2.0,2.0,0.0,0.0,0.0,0.0,1.8181818181818181,1.0,0.0,0.0,0.0,0.6666666666666666,0.35,0.5454545454545454,0.8235294117647058,0.7777777777777778,0.0,0.0,0.0,0.0,1.3333333333333333,1.0909090909090908,0.0,0.0,0.0,0.0,1.0,1.1111111111111112,0.0,0.0,0.0,0.0,1.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,2.0,28.0,18.0,70.0,56.0,0.0,0.0,0.0,0.0,124.0,12.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Vince Carter,1.12,2.0,0.0,0.0,0.0,0.0,1.8214285714285714,2.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.6534653465346535,0.6909090909090909,0.9247311827956989,0.8823529411764706,0.0,0.0,0.0,0.8253968253968254,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,0.0,84.0,4.0,0.0,0.0,0.0,0.0,102.0,4.0,0.0,0.0,0.0,0.0,112.0,66.0,114.0,86.0,45.0,0.0,0.0,0.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitaly Potapenko,1.2857142857142858,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.72,0.9019607843137255,0.8709677419354839,0.6666666666666666,0.0,0.0,0.0,0.0,1.09375,0.6666666666666666,0.0,0.0,2.0,0.0,1.1111111111111112,1.2307692307692308,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,54.0,46.0,54.0,2.0,0.0,0.0,0.0,0.0,140.0,2.0,0.0,0.0,2.0,0.0,10.0,48.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Vlade Divac,1.435897435897436,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.631578947368421,0.7466666666666667,0.7792207792207793,0.7272727272727273,0.0,0.0,0.0,1.2058823529411764,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,1.0588235294117647,0.5,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,44.0,12.0,56.0,60.0,24.0,0.0,0.0,0.0,164.0,8.0,0.0,0.0,0.0,0.0,2.0,54.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Vladimir Stepania,2.0,0.0,0.0,0.0,0.0,0.0,1.8181818181818181,0.0,0.0,0.0,0.0,0.0,0.4,0.36363636363636365,0.5,0.8275862068965517,0.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,12.0,24.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Voshon Lenard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,1.0285714285714285,0.9130434782608696,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,36.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walt Williams,0.9285714285714286,2.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.4444444444444444,0.7647058823529411,0.9481481481481482,1.1153846153846154,0.0,0.0,0.0,0.896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,26.0,128.0,87.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Walter McCarty,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5833333333333334,0.9090909090909091,0.3684210526315789,1.08,0.0,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,20.0,14.0,27.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Wesley Person,1.6923076923076923,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.4444444444444444,1.2173913043478262,0.9743589743589743,0.8468468468468469,1.0758620689655172,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,12.0,28.0,76.0,94.0,156.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Perdue,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
William Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zydrunas Ilgauskas,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.75,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
