playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Drive_18-23 Long Jumper,PPS_Drive_24-27 Three,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Post_47-94 Backcourt,PPS_Pullup_00-02 At Rim,PPS_Pullup_03-08 Near Rim,PPS_Pullup_09-12 Short Range,PPS_Pullup_13-17 Mid Range,PPS_Pullup_18-23 Long Jumper,PPS_Pullup_24-27 Three,PPS_Pullup_28-34 Deep,PPS_Pullup_35-46 Near Half,PPS_Pullup_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_18-23 Long Jumper,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,PPS_invalid_24-27 Three,PPS_invalid_35-46 Near Half,PPS_invalid_47-94 Backcourt,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Drive_18-23 Long Jumper,Points_Drive_24-27 Three,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Post_47-94 Backcourt,Points_Pullup_00-02 At Rim,Points_Pullup_03-08 Near Rim,Points_Pullup_09-12 Short Range,Points_Pullup_13-17 Mid Range,Points_Pullup_18-23 Long Jumper,Points_Pullup_24-27 Three,Points_Pullup_28-34 Deep,Points_Pullup_35-46 Near Half,Points_Pullup_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_18-23 Long Jumper,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper,Points_invalid_24-27 Three,Points_invalid_35-46 Near Half,Points_invalid_47-94 Backcourt
AJ Price,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8571428571428571,0.7272727272727273,0.7894736842105263,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,8.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Brooks,1.2238805970149254,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.7407407407407407,0.631578947368421,0.8813559322033898,1.2032967032967035,0.6666666666666666,0.75,0.0,0.6808510638297872,0.4,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.3333333333333333,0.6923076923076923,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,82.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,20.0,24.0,52.0,219.0,6.0,3.0,0.0,32.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Aaron Gray,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.7142857142857143,0.8,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adonis Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Harrington,1.6521739130434783,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.8484848484848485,0.8450704225352113,0.8571428571428571,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,2.0,4.0,28.0,60.0,6.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,1.1818181818181819,1.1428571428571428,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0714285714285714,0.9565217391304348,1.0103092783505154,0.9176470588235294,0.0,0.0,0.0,0.0,1.5172413793103448,1.6,2.0,0.9333333333333333,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5135135135135136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,8.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,30.0,22.0,98.0,78.0,0.0,0.0,0.0,0.0,88.0,8.0,2.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Jefferson,1.6842105263157894,1.3333333333333333,0.0,0.0,0.0,0.0,1.894736842105263,0.0,1.0,0.9448818897637795,0.851063829787234,0.8104575163398693,0.5454545454545454,0.0,3.0,1.5,0.0,1.2852459016393443,2.0,2.0,1.2136752136752136,0.8421052631578947,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.446808510638298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0,36.0,0.0,2.0,240.0,80.0,248.0,60.0,0.0,6.0,3.0,0.0,392.0,14.0,12.0,142.0,32.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Farouq Aminu,1.75,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5569620253164557,0.6,0.7692307692307693,0.6538461538461539,0.5,0.0,0.0,0.0,1.125,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2173913043478262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,4.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,44.0,6.0,30.0,68.0,9.0,0.0,0.0,0.0,144.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Anderson,1.4222222222222223,1.6,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.26666666666666666,0.38095238095238093,1.0,0.6238532110091743,1.0858895705521472,0.0,0.0,0.0,1.1176470588235294,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2857142857142857,1.6,3.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,8.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,8.0,38.0,68.0,177.0,0.0,0.0,0.0,38.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,1.4615384615384615,0.8695652173913043,0.0,0.0,0.0,0.0,1.92,0.0,1.3333333333333333,0.5565217391304348,1.0,0.5588235294117647,0.7261904761904762,1.141304347826087,0.0,0.0,0.0,1.062937062937063,0.6666666666666666,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.5,0.0,0.0,0.0,0.0,0.8,2.0,0.0,2.0,1.7142857142857142,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,152.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,4.0,64.0,20.0,38.0,122.0,105.0,0.0,0.0,0.0,152.0,2.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,18.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
Alex Len,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.7272727272727273,0.75,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexey Shved,1.105263157894737,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.16666666666666666,0.0,0.26666666666666666,0.41379310344827586,0.821917808219178,0.0,0.0,0.0,0.8333333333333334,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6666666666666666,2.4000000000000004,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,4.0,12.0,60.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Ajinca,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.7297297297297298,0.0,0.0,0.9090909090909091,0.9375,1.0526315789473684,0.6153846153846154,0.0,0.0,0.0,0.0,0.9142857142857143,0.0,2.0,0.7692307692307693,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255813953488372,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,20.0,30.0,40.0,8.0,0.0,0.0,0.0,0.0,32.0,0.0,4.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Crabbe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,1.2000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alonzo Gee,1.52,1.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.46153846153846156,0.5,0.46153846153846156,0.5660377358490566,0.8571428571428571,0.0,0.0,0.0,0.631578947368421,2.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,6.0,6.0,12.0,30.0,18.0,0.0,0.0,0.0,24.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amare Stoudemire,1.5757575757575757,1.3333333333333333,0.0,0.0,0.0,0.0,1.9344262295081966,0.0,0.0,0.72,0.8,1.0133333333333334,0.8210526315789474,0.0,0.0,0.0,0.0,1.0467289719626167,2.0,1.5,1.1764705882352942,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,8.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,36.0,8.0,76.0,78.0,0.0,0.0,0.0,0.0,112.0,2.0,12.0,80.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Johnson,1.3333333333333333,0.8,0.0,0.0,0.0,0.0,1.7727272727272727,2.0,0.0,0.8,0.8571428571428571,1.1724137931034482,0.7878787878787878,0.9230769230769231,0.0,0.0,0.0,1.3644859813084111,1.1111111111111112,1.75,1.103448275862069,0.7692307692307693,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8.0,0.0,0.0,0.0,0.0,78.0,4.0,0.0,44.0,12.0,34.0,52.0,48.0,0.0,0.0,0.0,146.0,10.0,28.0,96.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Anderson Varejao,1.619047619047619,2.0,0.0,0.0,0.0,0.0,1.5555555555555556,0.0,0.0,0.5581395348837209,0.6153846153846154,1.0413223140495869,0.9333333333333333,0.0,0.0,0.0,0.0,1.1612903225806452,0.0,2.0,1.1111111111111112,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,24.0,16.0,126.0,28.0,0.0,0.0,0.0,0.0,108.0,0.0,4.0,50.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Andray Blatche,1.5348837209302326,0.8888888888888888,0.0,0.0,0.0,0.0,1.7857142857142858,0.0,2.0,0.6333333333333333,0.6896551724137931,0.7472527472527473,0.7559055118110236,0.868421052631579,0.0,0.0,0.0,1.1805555555555556,0.75,2.0,1.0909090909090908,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.2340425531914894,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,8.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,38.0,20.0,68.0,96.0,33.0,0.0,0.0,0.0,170.0,6.0,4.0,24.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Drummond,1.6363636363636365,0.0,0.0,0.0,0.0,0.0,1.8681318681318682,1.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1219512195121952,1.3333333333333333,1.3333333333333333,1.0869565217391304,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3928571428571428,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,170.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,8.0,4.0,50.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Iguodala,1.7391304347826086,1.0,0.0,0.0,0.0,0.0,1.8571428571428572,0.0,2.0,0.2608695652173913,0.7272727272727273,0.4444444444444444,0.7761194029850746,0.949367088607595,0.0,0.0,0.0,0.9545454545454546,1.3333333333333333,2.0,1.2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.8571428571428571,1.037037037037037,1.1666666666666667,1.0,0.0,0.0,1.2222222222222223,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,2.0,0.0,0.0,0.0,0.0,52.0,0.0,2.0,6.0,8.0,12.0,52.0,75.0,0.0,0.0,0.0,42.0,4.0,2.0,12.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,28.0,42.0,3.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Andre Miller,1.5294117647058822,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5882352941176471,0.5454545454545454,1.2727272727272727,1.8461538461538463,0.0,0.0,0.0,0.88,1.0,0.0,1.2,1.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,52.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,10.0,12.0,14.0,24.0,0.0,0.0,0.0,44.0,2.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Andre Roberson,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,1.1578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Bargnani,1.380952380952381,1.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8260869565217391,0.6,0.851063829787234,0.935064935064935,0.8316831683168318,0.0,0.0,0.0,1.0212765957446808,0.0,0.0,1.1578947368421053,1.25,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.5,1.3333333333333333,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,38.0,18.0,80.0,72.0,84.0,0.0,0.0,0.0,48.0,0.0,0.0,22.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrei Kirilenko,1.0769230769230769,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.6666666666666666,1.0,0.5714285714285714,0.21052631578947367,0.75,0.0,0.0,0.0,1.2083333333333333,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,0.0,12.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,58.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Bogut,1.5294117647058822,1.0,0.0,0.0,0.0,0.0,1.8857142857142857,0.0,0.0,0.6060606060606061,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.2962962962962963,2.0,1.3333333333333333,1.0196078431372548,1.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2794117647058822,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,20.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,70.0,2.0,4.0,52.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Andrew Bynum,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3888888888888889,0.4,0.6666666666666666,1.1428571428571428,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,1.135135135135135,1.2,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0303030303030303,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,14.0,8.0,18.0,8.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,42.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Andrew Nicholson,1.6666666666666667,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.36363636363636365,0.7692307692307693,0.5714285714285714,0.8522727272727273,0.8333333333333334,0.0,0.0,0.0,1.2777777777777777,0.0,0.0,0.9230769230769231,0.6896551724137931,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,8.0,10.0,28.0,150.0,15.0,0.0,0.0,0.0,46.0,0.0,0.0,48.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
