playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_09-12 Short Range,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Layup_24-27 Three,PPS_Layup_28-34 Deep,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_09-12 Short Range,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Layup_24-27 Three,Points_Layup_28-34 Deep,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_24-27 Three
Jason Hart,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.4,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Kidd,1.25,0.0,0.0,2.0,0.0,0.0,0.4,0.5416666666666666,0.631578947368421,0.8264462809917356,0.7251908396946565,1.0477941176470589,0.0,0.5,0.0,1.0105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,4.0,0.0,0.0,2.0,26.0,36.0,200.0,190.0,285.0,0.0,6.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Richardson,1.5068493150684932,1.0,0.0,1.8421052631578947,0.0,0.0,0.5,0.6,0.39344262295081966,0.6145251396648045,0.7468354430379747,1.035,0.0,0.0,0.75,0.9195402298850575,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.263157894736842,1.5,1.0666666666666667,2.0,3.0,0.0,0.0,0.0,1.027027027027027,0.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,110.0,4.0,0.0,140.0,0.0,0.0,2.0,78.0,24.0,110.0,118.0,207.0,0.0,0.0,3.0,80.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,16.0,4.0,3.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0
Jason Terry,1.5833333333333333,1.3333333333333333,0.0,1.8571428571428572,0.0,0.0,0.0,0.6153846153846154,0.9295774647887324,0.8547717842323651,0.7547169811320755,1.2099447513812156,0.5,0.0,0.0,0.8053691275167785,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,114.0,4.0,0.0,26.0,0.0,0.0,0.0,48.0,66.0,206.0,160.0,438.0,3.0,0.0,0.0,120.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Jason Williams,1.5555555555555556,0.0,0.0,2.0,0.0,0.0,1.0,0.56,0.8275862068965517,0.8427672955974843,0.8518518518518519,0.8725761772853186,0.5,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,56.0,0.0,0.0,2.0,0.0,0.0,2.0,14.0,24.0,134.0,230.0,315.0,12.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Jeff Foster,1.75,2.0,0.0,1.6,2.0,0.0,0.0,0.2777777777777778,0.35294117647058826,0.6756756756756757,0.7083333333333334,0.6000000000000001,0.0,0.0,0.0,1.0483870967741935,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,1.2727272727272727,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,56.0,10.0,0.0,0.0,10.0,6.0,50.0,34.0,6.0,0.0,0.0,0.0,130.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff McInnis,1.2131147540983607,1.0,0.0,2.0,0.0,0.0,1.0,0.7466666666666667,0.8341708542713567,0.8979591836734694,0.7428571428571429,0.9757281553398058,1.0,0.0,0.0,0.8148148148148148,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3333333333333333,1.7142857142857142,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,74.0,4.0,0.0,2.0,0.0,0.0,4.0,112.0,166.0,264.0,78.0,201.0,6.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
Jermaine Jackson,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2857142857142857,0.6,3.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jermaine ONeal,1.75,2.0,0.0,1.9029126213592233,1.5,0.0,0.5,0.47104247104247104,0.6086956521739131,0.65,0.6206896551724138,0.5,0.0,0.0,0.0,0.9583333333333334,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,1.5555555555555556,1.6814159292035398,1.4193548387096775,1.0769230769230769,0.0,0.0,0.0,0.0,0.0,1.4166666666666667,2.0,0.0,0.0,2.0,1.5,0.0,0.0,0.0,28.0,6.0,0.0,196.0,6.0,0.0,2.0,122.0,98.0,104.0,18.0,3.0,0.0,0.0,0.0,138.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,190.0,88.0,14.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0
Jerome James,2.0,2.0,0.0,1.6296296296296295,2.0,0.0,0.0,0.6865671641791045,0.48,0.6,2.0,0.0,0.0,0.0,0.0,0.9032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0731707317073171,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,88.0,2.0,0.0,0.0,46.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
