playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_09-12 Short Range,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Layup_24-27 Three,PPS_Layup_28-34 Deep,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_09-12 Short Range,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Layup_24-27 Three,Points_Layup_28-34 Deep,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_24-27 Three
Jerome Williams,1.3142857142857143,0.0,0.0,1.8235294117647058,0.0,0.0,0.0,0.17391304347826086,0.3076923076923077,0.7777777777777778,0.8,0.0,0.0,0.0,0.0,1.0559006211180124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,46.0,0.0,0.0,62.0,0.0,0.0,0.0,4.0,4.0,42.0,8.0,0.0,0.0,0.0,0.0,170.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Jerry Stackhouse,1.625,0.0,0.0,1.7959183673469388,0.0,0.0,0.5,0.7317073170731707,0.5411764705882353,0.750733137829912,0.7383512544802867,0.8195876288659794,0.4,0.0,0.0,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.25,1.1428571428571428,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,88.0,0.0,0.0,2.0,30.0,46.0,256.0,206.0,159.0,6.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jeryl Sasser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Crispin,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.75,1.1842105263157894,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,45.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Johnson,1.5714285714285714,0.0,0.0,2.0,0.0,0.0,1.3333333333333333,0.8484848484848485,0.6538461538461539,0.8760330578512396,0.6299212598425197,1.0454545454545454,0.0,0.0,0.0,0.9534883720930233,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.7777777777777777,2.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,28.0,0.0,0.0,4.0,56.0,34.0,106.0,80.0,69.0,0.0,0.0,0.0,82.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Smith,2.0,0.0,0.0,1.826086956521739,0.0,0.0,0.0,0.5294117647058824,0.7692307692307693,0.8571428571428571,0.8807339449541285,1.5,3.0,0.0,0.0,1.1262135922330097,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.411764705882353,1.2857142857142858,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.2592592592592593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,84.0,0.0,0.0,0.0,36.0,30.0,102.0,96.0,3.0,3.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,48.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Przybilla,1.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,0.2857142857142857,0.2222222222222222,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,1.0980392156862746,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,72.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Amaechi,1.0,0.0,0.0,1.6,0.0,0.0,0.0,0.07142857142857142,0.5,0.7058823529411765,0.4,0.0,0.0,0.0,0.0,0.9310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,4.0,12.0,8.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Starks,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.7647058823529411,0.7377049180327869,0.9310344827586208,0.0,0.0,0.0,0.8627450980392157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,26.0,90.0,54.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Stockton,1.5818181818181818,2.0,0.0,0.0,0.0,0.0,0.0,0.5405405405405406,0.8571428571428571,0.9704142011834319,0.9940119760479041,0.967741935483871,0.0,0.0,0.0,1.0857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,174.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,164.0,166.0,60.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
John Wallace,1.6,2.0,0.0,2.0,0.0,0.0,0.0,0.3225806451612903,0.6206896551724138,0.9180327868852459,0.18181818181818182,1.25,0.0,0.0,0.0,1.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,32.0,0.0,0.0,0.0,10.0,18.0,56.0,2.0,15.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Newman,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.875,0.8095238095238095,1.153846153846154,0.0,0.0,0.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,14.0,34.0,45.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Barry,1.826086956521739,2.0,0.0,2.0,0.0,0.0,0.0,0.2,1.0476190476190477,0.9117647058823529,0.916030534351145,1.3783783783783785,0.5,0.0,0.0,1.0810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,22.0,62.0,120.0,255.0,3.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Bender,1.6363636363636365,2.0,0.0,1.7333333333333334,2.0,0.0,2.0,0.5079365079365079,0.18181818181818182,0.7868852459016393,0.6857142857142857,1.1176470588235294,0.0,0.0,0.0,0.7058823529411765,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,36.0,16.0,0.0,52.0,14.0,0.0,2.0,32.0,4.0,48.0,48.0,114.0,0.0,0.0,0.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Jud Buechler,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,2.0,0.7272727272727273,0.631578947368421,0.9642857142857144,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,8.0,36.0,27.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jumaine Jones,1.411764705882353,1.0,0.0,1.9285714285714286,0.0,0.0,0.0,0.6486486486486487,0.9565217391304348,0.8516129032258064,0.8188976377952756,0.9555555555555556,0.6000000000000001,0.0,3.0,0.9655172413793104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4736842105263157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,54.0,0.0,0.0,0.0,24.0,22.0,132.0,104.0,129.0,3.0,0.0,3.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juwan Howard,1.3103448275862069,0.0,0.0,1.8666666666666667,0.0,0.0,1.0,0.5882352941176471,0.7008547008547008,0.7608695652173914,0.9285714285714286,0.0,0.0,0.0,0.0,0.9081081081081082,0.5,0.0,0.0,0.0,0.0,0.0,0.4,1.1666666666666667,1.1153846153846154,0.8387096774193549,0.0,0.0,0.0,0.0,0.0,1.1627906976744187,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,112.0,0.0,0.0,2.0,90.0,82.0,140.0,26.0,0.0,0.0,0.0,0.0,168.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,126.0,58.0,26.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Karl Malone,1.7391304347826086,0.0,0.0,1.9259259259259258,0.0,0.0,0.6666666666666666,0.5757575757575758,0.8484848484848485,0.7104622871046229,0.8837209302325582,0.8571428571428571,0.0,0.0,0.0,1.137123745819398,1.0,0.0,0.0,0.0,0.0,0.0,0.8,1.04,1.2307692307692308,1.1111111111111112,2.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,52.0,0.0,0.0,6.0,38.0,84.0,292.0,304.0,18.0,0.0,0.0,0.0,340.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,52.0,16.0,10.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Kedrick Brown,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.375,0.6923076923076923,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Van Horn,1.1538461538461537,0.0,0.0,1.8333333333333333,0.0,0.0,0.0,0.6666666666666666,0.7719298245614035,0.6622516556291391,0.8383838383838383,0.9953271028037383,1.0,0.0,0.0,1.0547945205479452,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9333333333333333,0.8108108108108109,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,1.027027027027027,0.0,0.0,0.0,1.1428571428571428,1.3333333333333333,0.0,0.0,0.0,60.0,0.0,0.0,88.0,0.0,0.0,0.0,40.0,44.0,100.0,166.0,213.0,3.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,56.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0
Kelvin Cato,0.0,0.0,0.0,1.6779661016949152,0.0,0.0,0.6666666666666666,0.36363636363636365,0.8,0.7272727272727273,0.5,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,2.0,8.0,8.0,16.0,2.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Gill,1.096774193548387,0.0,0.0,1.2,0.0,0.0,0.0,0.5714285714285714,0.9090909090909091,0.7191011235955056,0.7046632124352331,0.36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,10.0,64.0,136.0,9.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Kenny Anderson,1.5820895522388059,1.0,0.0,0.0,0.0,0.0,0.0,0.5277777777777778,0.5490196078431373,0.8588235294117647,0.903954802259887,0.7241379310344828,0.0,0.0,0.0,0.8759124087591241,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,28.0,146.0,160.0,21.0,0.0,0.0,0.0,120.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Satterfield,1.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,0.48,0.5333333333333333,0.8571428571428571,0.5652173913043478,0.75,3.0,0.0,0.0,0.8484848484848485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,8.0,24.0,26.0,18.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Thomas,1.264,1.3333333333333333,0.0,1.8421052631578947,2.0,0.0,0.0,0.5079365079365079,0.4444444444444444,0.8333333333333334,0.7513227513227513,0.0,0.0,0.0,0.0,1.12987012987013,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0843373493975903,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,158.0,4.0,0.0,70.0,2.0,0.0,0.0,32.0,12.0,70.0,142.0,0.0,0.0,0.0,0.0,174.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,90.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Kenyon Martin,1.4461538461538461,0.0,0.0,1.794392523364486,0.0,2.0,0.0,0.6122448979591837,0.7301587301587301,0.6335403726708074,0.6046511627906976,0.5625,0.0,0.0,0.0,0.8533333333333334,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.9767441860465116,0.6,0.0,0.0,0.0,0.0,0.0,1.5223880597014925,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,192.0,0.0,2.0,0.0,60.0,46.0,102.0,78.0,27.0,0.0,0.0,0.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,78.0,42.0,6.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Keon Clark,1.2602739726027397,0.0,0.0,1.793103448275862,0.0,0.0,0.0,0.8,0.6046511627906976,0.847457627118644,0.5714285714285714,0.0,0.0,0.0,0.0,1.0125,2.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.1,0.0,0.8,2.0,0.0,0.0,0.0,0.0,1.3513513513513513,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,104.0,0.0,0.0,0.0,60.0,52.0,150.0,20.0,0.0,0.0,0.0,0.0,162.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,44.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Kerry Kittles,1.3404255319148937,2.0,0.0,1.8888888888888888,0.0,0.0,1.0,0.48,0.6857142857142857,0.6370370370370371,0.9473684210526315,1.2727272727272727,0.75,0.0,0.0,1.0393700787401574,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,2.0,0.0,68.0,0.0,0.0,2.0,24.0,24.0,86.0,198.0,252.0,3.0,0.0,0.0,132.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Garnett,1.7777777777777777,0.0,0.0,1.864864864864865,0.0,0.0,0.75,0.6331658291457286,0.7801418439716312,0.75,0.8680851063829788,1.0096153846153846,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,2.0,1.4074074074074074,1.5555555555555556,1.411764705882353,2.0,0.0,0.0,0.0,0.0,1.183673469387755,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,48.0,0.0,0.0,138.0,0.0,0.0,6.0,126.0,110.0,210.0,204.0,105.0,0.0,0.0,0.0,128.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,76.0,70.0,48.0,6.0,0.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0
Kevin Ollie,1.4705882352941178,2.0,0.0,0.0,0.0,0.0,0.0,0.625,0.36363636363636365,0.6197183098591549,0.717391304347826,0.0,0.0,0.0,0.0,0.8172043010752689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,44.0,66.0,0.0,0.0,0.0,0.0,76.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Kevin Willis,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.5142857142857142,0.5714285714285714,0.42424242424242425,0.6666666666666666,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,18.0,8.0,14.0,2.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keyon Dooling,1.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.5,0.5714285714285714,1.3333333333333333,0.5454545454545454,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,2.0,8.0,12.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kirk Haston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8888888888888888,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kobe Bryant,1.5766423357664234,2.0,0.0,1.7333333333333334,0.0,0.0,1.2,0.8152866242038217,0.9285714285714286,0.7513513513513513,0.7854785478547854,0.8490566037735849,0.30000000000000004,0.6000000000000001,0.0,0.9664429530201343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,1.5454545454545454,1.1428571428571428,1.1428571428571428,0.0,0.0,0.0,0.0,1.1627906976744187,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,216.0,12.0,0.0,104.0,0.0,0.0,6.0,128.0,130.0,278.0,238.0,90.0,3.0,3.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,34.0,48.0,8.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
