playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_24-27 Three,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_24-27 Three,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_35-46 Near Half,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_24-27 Three,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_24-27 Three,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_35-46 Near Half,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range
Al Harrington,1.75,2.0,0.0,1.9682539682539681,2.0,0.0,0.0,0.3,0.7073170731707317,0.9004329004329005,0.8928571428571429,0.7659574468085106,0.0,1.5,0.0,0.8404255319148937,0.5,0.0,0.0,0.0,0.9230769230769231,1.875,1.4666666666666666,1.0,0.0,0.0,0.0,1.2592592592592593,0.0,0.0,0.0,2.0,0.0,0.0,28.0,4.0,0.0,124.0,4.0,0.0,0.0,24.0,58.0,208.0,100.0,36.0,0.0,3.0,0.0,158.0,2.0,0.0,0.0,0.0,12.0,30.0,22.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,6.0,0.0,0.0
Amare Stoudemire,1.84,0.0,0.0,1.7477477477477477,0.0,0.0,0.0,0.6962025316455697,0.8131868131868132,0.5901639344262295,0.6,0.0,0.0,0.0,0.0,0.8186528497409327,1.3333333333333333,0.0,0.0,2.0,1.3043478260869565,0.8333333333333334,0.8571428571428571,0.0,0.0,0.0,0.0,1.3157894736842106,0.0,0.0,0.0,1.0,0.0,0.0,46.0,0.0,0.0,194.0,0.0,0.0,0.0,110.0,74.0,72.0,18.0,0.0,0.0,0.0,0.0,158.0,4.0,0.0,0.0,2.0,60.0,20.0,12.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0
Andre Miller,1.3445378151260505,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.848,0.7636363636363637,0.7724867724867724,0.509090909090909,0.6136363636363636,1.0,0.0,0.0,1.136150234741784,0.6666666666666666,0.0,0.0,0.0,1.0,1.0588235294117647,0.6666666666666666,1.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,2.0,0.0,0.0,160.0,0.0,0.0,4.0,0.0,0.0,0.0,106.0,84.0,146.0,28.0,27.0,6.0,0.0,0.0,242.0,2.0,0.0,0.0,0.0,14.0,18.0,14.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0
Andrei Kirilenko,1.4929577464788732,0.0,0.0,1.9058823529411764,2.0,0.0,2.0,0.5833333333333334,0.25,0.4897959183673469,0.5384615384615384,1.0181818181818183,0.0,0.0,0.0,0.807843137254902,1.3333333333333333,0.0,0.0,0.0,1.5,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,162.0,2.0,0.0,4.0,28.0,8.0,24.0,70.0,168.0,0.0,0.0,0.0,206.0,4.0,0.0,0.0,0.0,6.0,10.0,2.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
Antawn Jamison,1.9375,0.0,0.0,2.0,0.0,0.0,2.0,0.8645833333333334,0.7894736842105263,0.7397260273972602,0.7422680412371134,1.153846153846154,0.0,0.0,0.0,1.2993197278911566,2.0,0.0,0.0,1.3333333333333333,1.2280701754385965,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,1.2380952380952381,0.0,0.0,0.0,2.0,1.0,0.0,62.0,0.0,0.0,28.0,0.0,0.0,2.0,166.0,60.0,54.0,72.0,30.0,0.0,0.0,0.0,382.0,6.0,0.0,0.0,4.0,70.0,16.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,6.0,2.0,0.0
Anthony Carter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.6666666666666666,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Daniels,1.7272727272727273,1.0,0.0,1.8,0.0,0.0,0.0,0.7636363636363637,0.9565217391304348,0.6923076923076923,0.8695652173913043,1.0,3.0,0.0,0.0,1.0769230769230769,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,76.0,2.0,0.0,18.0,0.0,0.0,0.0,42.0,22.0,36.0,60.0,90.0,3.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Antonio McDyess,1.7142857142857142,0.0,0.0,1.7777777777777777,0.0,0.0,0.0,0.45454545454545453,0.6153846153846154,0.7567567567567568,0.9047619047619048,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,2.0,1.0909090909090908,0.5,2.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,16.0,0.0,0.0,0.0,10.0,16.0,56.0,38.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,8.0,12.0,6.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Baron Davis,1.671875,2.0,0.0,1.9230769230769231,0.0,0.0,0.0,0.5423728813559322,0.625,0.703030303030303,0.7475728155339806,0.9570552147239264,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.8,1.5,1.2,0.6666666666666666,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,1.6,2.0,0.0,214.0,2.0,0.0,50.0,0.0,0.0,0.0,32.0,30.0,116.0,154.0,468.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,2.0,0.0
Ben Wallace,2.0,0.0,0.0,1.6122448979591837,0.0,0.0,2.0,0.2222222222222222,0.37037037037037035,0.49411764705882355,0.5384615384615384,1.5,0.0,0.0,0.0,0.6916666666666667,0.0,0.0,0.0,1.0,0.7058823529411765,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.2790697674418605,0.0,0.0,0.0,2.0,1.0,0.0,50.0,0.0,0.0,158.0,0.0,0.0,2.0,14.0,20.0,42.0,14.0,3.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,2.0,24.0,6.0,10.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,8.0,2.0,0.0
Bobby Simmons,1.375,0.0,0.0,2.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.5753424657534246,0.8043478260869565,0.5,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,1.0769230769230769,1.1428571428571428,1.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,42.0,74.0,3.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,14.0,8.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Boris Diaw,1.25,2.0,0.0,2.0,0.0,0.0,0.0,0.4827586206896552,0.8888888888888888,0.7083333333333334,0.8936170212765957,0.6000000000000001,0.0,0.0,0.0,0.9438202247191011,2.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,36.0,0.0,0.0,0.0,14.0,16.0,34.0,42.0,9.0,0.0,0.0,0.0,84.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Miller,1.6296296296296295,0.0,0.0,1.9069767441860466,0.0,0.0,0.0,0.5609756097560976,0.5116279069767442,0.9863013698630136,0.9117647058823529,1.064516129032258,0.0,0.0,0.0,1.260115606936416,0.6666666666666666,0.0,0.0,0.0,0.7272727272727273,2.0,2.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.0,2.0,0.0,44.0,0.0,0.0,82.0,0.0,0.0,0.0,46.0,22.0,144.0,124.0,33.0,0.0,0.0,0.0,218.0,2.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,6.0,0.0
Brendan Haywood,1.6,0.0,0.0,1.9375,1.5,0.0,0.0,0.32432432432432434,0.3333333333333333,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,1.5,0.0,0.0,2.0,1.3725490196078431,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,124.0,6.0,0.0,0.0,24.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,90.0,6.0,0.0,0.0,8.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Cardinal,1.6666666666666667,0.0,0.0,1.6,0.0,0.0,0.0,0.5084745762711864,0.5882352941176471,0.9863013698630136,0.912,1.4285714285714284,0.0,0.0,0.75,1.303030303030303,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,8.0,0.0,0.0,0.0,30.0,10.0,72.0,114.0,90.0,0.0,0.0,3.0,86.0,2.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Cook,2.0,0.0,0.0,1.7777777777777777,0.0,0.0,0.0,0.3333333333333333,0.9090909090909091,0.9387755102040817,0.7647058823529411,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,10.0,46.0,26.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Scalabrine,1.2,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.717948717948718,0.8285714285714286,0.5357142857142857,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,6.0,28.0,58.0,15.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
Carlos Arroyo,1.4285714285714286,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.8085106382978723,0.9027777777777778,0.9110320284697508,1.0,0.0,1.5,0.0,0.7441860465116279,0.5,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,38.0,130.0,256.0,84.0,0.0,3.0,0.0,64.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Boozer,1.6862745098039216,0.0,0.0,1.7808219178082192,0.0,0.0,2.0,0.4533333333333333,0.6857142857142857,0.8061224489795918,0.8421052631578947,0.5,0.0,0.0,0.0,1.2608695652173914,0.8,0.0,0.0,1.7777777777777777,0.9473684210526315,1.0,0.782608695652174,0.0,0.0,0.0,0.0,1.0769230769230769,0.0,2.0,0.0,1.0,0.0,0.0,86.0,0.0,0.0,130.0,0.0,0.0,4.0,34.0,48.0,158.0,48.0,3.0,0.0,0.0,0.0,290.0,4.0,0.0,0.0,16.0,36.0,22.0,18.0,0.0,0.0,0.0,0.0,42.0,0.0,2.0,0.0,2.0,0.0,0.0
Carmelo Anthony,1.1676300578034682,1.2,0.0,1.85,0.0,0.0,0.0,0.36363636363636365,0.7407407407407407,0.6779661016949152,0.7043189368770764,1.0702702702702704,0.0,0.0,0.0,0.808641975308642,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6666666666666666,0.0,0.0,0.0,1.2602739726027397,0.0,0.0,0.0,1.0909090909090908,0.0,0.0,202.0,6.0,0.0,148.0,0.0,0.0,0.0,28.0,20.0,120.0,212.0,198.0,0.0,0.0,0.0,262.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,12.0,0.0,0.0
Caron Butler,0.9302325581395349,0.0,0.0,1.9,0.0,0.0,0.0,0.5769230769230769,0.46153846153846156,0.6041666666666666,0.71,0.96,0.0,0.0,0.0,0.916030534351145,2.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0,38.0,0.0,0.0,0.0,30.0,12.0,58.0,142.0,24.0,0.0,0.0,0.0,120.0,4.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0
Chauncey Billups,1.8356164383561644,0.0,0.0,1.0,0.0,0.0,2.0,0.42105263157894735,0.7,0.7037037037037037,0.7692307692307693,1.1371841155234657,1.3333333333333333,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,2.0,0.0,0.0,2.0,16.0,42.0,114.0,150.0,315.0,12.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Andersen,1.25,0.0,0.0,1.6875,0.0,3.0,0.0,0.4444444444444444,0.0,0.8648648648648649,0.4166666666666667,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2571428571428571,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,10.0,0.0,0.0,54.0,0.0,3.0,0.0,4.0,0.0,32.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,2.0,0.0,0.0
Chris Bosh,1.135135135135135,0.0,0.0,1.7391304347826086,0.0,0.0,2.0,0.6571428571428571,0.7941176470588235,0.7282051282051282,0.7647058823529411,1.125,0.0,0.0,0.0,0.8148148148148148,0.0,0.0,0.0,0.0,1.0588235294117647,0.8,0.8571428571428571,2.0,0.0,0.0,0.0,1.5555555555555556,0.0,0.0,0.0,1.7142857142857142,2.0,0.0,42.0,0.0,0.0,120.0,0.0,0.0,2.0,46.0,54.0,142.0,52.0,9.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,18.0,20.0,6.0,2.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,12.0,2.0,0.0
Chris Kaman,1.3548387096774193,2.0,0.0,1.85,0.0,0.0,0.0,0.4827586206896552,0.35714285714285715,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.7906976744186046,0.0,0.0,0.0,1.4285714285714286,1.2727272727272727,1.4285714285714286,0.0,2.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,74.0,0.0,0.0,0.0,28.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,10.0,70.0,20.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Wilcox,1.894736842105263,0.0,0.0,1.8431372549019607,0.0,0.0,2.0,0.5625,0.45161290322580644,0.5833333333333334,0.2857142857142857,0.0,0.0,0.0,0.0,0.9391304347826087,0.0,0.0,0.0,1.5,1.2083333333333333,0.8235294117647058,0.6666666666666666,0.0,0.0,0.0,0.0,1.391304347826087,0.0,0.0,0.0,2.0,0.0,0.0,36.0,0.0,0.0,94.0,0.0,0.0,2.0,36.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,6.0,58.0,14.0,4.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,2.0,0.0,0.0
Corey Maggette,1.878787878787879,1.5,0.0,1.7777777777777777,0.0,0.0,0.0,0.4827586206896552,0.625,0.6213592233009708,0.7155172413793104,0.9611650485436893,1.5,0.0,0.0,0.7514450867052023,0.0,0.0,0.0,0.0,1.0,0.0,1.6666666666666667,2.0,0.0,0.0,0.0,1.5555555555555556,2.0,0.0,0.0,0.0,0.0,0.0,248.0,6.0,0.0,64.0,0.0,0.0,0.0,28.0,20.0,64.0,166.0,198.0,3.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,2.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0
Dahntay Jones,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.2,0.3076923076923077,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Gadzuric,1.6666666666666667,0.0,0.0,1.7741935483870968,0.0,0.0,0.0,0.8333333333333334,0.6206896551724138,0.6363636363636364,1.0,0.0,0.0,0.0,0.0,0.8631578947368421,2.0,0.0,0.0,1.3333333333333333,0.9333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,110.0,0.0,0.0,0.0,40.0,18.0,14.0,2.0,0.0,0.0,0.0,0.0,82.0,2.0,0.0,0.0,8.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,2.0,0.0,0.0,0.0
Darius Songaila,1.3846153846153846,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.5,0.625,0.918918918918919,0.0,0.0,0.0,0.0,1.183673469387755,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,2.0,2.0,0.0,18.0,0.0,0.0,16.0,0.0,0.0,0.0,14.0,4.0,20.0,34.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,2.0,0.0
Darko Milicic,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.5454545454545454,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
David West,2.0,0.0,0.0,1.8666666666666667,0.0,0.0,0.0,0.47619047619047616,0.8571428571428571,0.5384615384615384,0.5,0.0,0.0,0.0,0.0,1.0333333333333334,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,28.0,0.0,0.0,0.0,10.0,6.0,14.0,2.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
DeSagana Diop,2.0,0.0,0.0,1.5,0.0,0.0,0.0,0.4,1.1111111111111112,0.7586206896551724,0.5882352941176471,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5454545454545454,0.4,1.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,10.0,44.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
DeShawn Stevenson,1.2,0.0,0.0,1.8333333333333333,0.0,0.0,2.0,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.9249394673123487,0.8048780487804879,1.5,0.0,0.0,0.7313432835820896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,44.0,0.0,0.0,4.0,20.0,4.0,82.0,382.0,33.0,3.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Fisher,1.6428571428571428,0.0,0.0,2.0,0.0,0.0,0.0,0.5555555555555556,0.4,0.6881720430107527,0.6835443037974683,0.9428571428571428,1.5,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,12.0,64.0,162.0,99.0,6.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Dirk Nowitzki,1.6097560975609757,2.0,0.0,1.8620689655172413,0.0,0.0,0.0,0.6875,0.9761904761904762,0.8604651162790697,0.9260450160771704,1.068,0.0,0.0,0.0,1.018181818181818,0.0,0.0,0.0,0.0,1.1428571428571428,1.2307692307692308,0.8333333333333334,1.3333333333333333,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,66.0,2.0,0.0,54.0,0.0,0.0,0.0,44.0,82.0,296.0,288.0,267.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,24.0,16.0,10.0,4.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0
Drew Gooden,1.2857142857142858,0.0,0.0,1.7777777777777777,0.0,0.0,0.0,0.6486486486486487,0.6571428571428571,0.6986301369863014,0.8305084745762712,0.6923076923076923,0.0,0.0,0.0,0.8421052631578947,1.3333333333333333,0.0,0.0,0.0,1.1666666666666667,1.2941176470588236,1.1578947368421053,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,80.0,0.0,0.0,0.0,48.0,46.0,102.0,98.0,18.0,0.0,0.0,0.0,128.0,4.0,0.0,0.0,0.0,98.0,44.0,22.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,4.0,0.0,0.0
Dwyane Wade,1.2025316455696202,1.0,0.0,1.826086956521739,0.0,0.0,2.0,0.8869565217391304,0.8,0.4878048780487805,0.6736842105263158,0.75,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,1.2857142857142858,1.2,0.25,1.0,0.0,0.0,0.0,1.375,0.0,0.0,0.0,1.5,1.0,0.0,190.0,2.0,0.0,84.0,0.0,0.0,2.0,102.0,48.0,40.0,64.0,18.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,18.0,6.0,2.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,6.0,2.0,0.0
Earl Boykins,1.148936170212766,0.0,0.0,0.0,0.0,0.0,0.0,1.0153846153846153,0.6984126984126984,0.87,0.8313253012048193,0.972972972972973,0.0,0.6000000000000001,0.0,1.0689655172413792,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,44.0,174.0,138.0,144.0,0.0,3.0,0.0,62.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Earl Watson,1.2452830188679245,2.0,0.0,2.0,0.0,0.0,0.0,0.4583333333333333,0.5714285714285714,0.6222222222222222,0.6238532110091743,0.8,0.0,0.0,0.6000000000000001,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,0.0,8.0,0.0,0.0,0.0,22.0,8.0,28.0,68.0,60.0,0.0,0.0,3.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
