playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_24-27 Three,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_24-27 Three,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_35-46 Near Half,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_24-27 Three,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_24-27 Three,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_35-46 Near Half,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range
Shawn Marion,1.6744186046511629,0.0,0.0,1.8918918918918919,0.0,0.0,0.0,1.0406504065040652,0.8202247191011236,0.6033057851239669,0.7523809523809524,0.8181818181818181,0.0,0.0,0.0,0.9154228855721394,2.0,0.0,0.0,0.0,1.25,0.75,0.0,0.0,0.0,0.0,0.0,1.2923076923076924,0.0,0.0,0.0,0.0,2.0,0.0,72.0,0.0,0.0,140.0,0.0,0.0,0.0,128.0,146.0,146.0,158.0,135.0,0.0,0.0,0.0,184.0,2.0,0.0,0.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,4.0,0.0
Stephen Jackson,1.6825396825396826,2.0,0.0,1.9047619047619047,0.0,0.0,2.0,0.6575342465753424,0.6779661016949152,0.569620253164557,0.7557251908396947,1.0,3.0,0.0,0.0,0.9915254237288136,1.4285714285714286,0.0,0.0,0.0,2.0,1.0,1.5,0.0,0.0,0.0,0.0,1.1578947368421053,0.0,0.0,0.0,2.0,0.0,0.0,106.0,2.0,0.0,80.0,0.0,0.0,2.0,48.0,40.0,90.0,198.0,321.0,3.0,0.0,0.0,234.0,10.0,0.0,0.0,0.0,4.0,4.0,12.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0
Steve Blake,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.9090909090909091,0.8627450980392157,0.7567567567567568,1.1042944785276072,0.0,0.0,0.0,0.9230769230769231,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,44.0,84.0,180.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Steve Nash,1.6170212765957446,2.0,0.0,0.0,0.0,0.0,0.0,0.9117647058823529,0.8524590163934426,0.9016393442622951,0.9787234042553191,1.2051282051282053,0.0,0.0,0.0,0.5934065934065934,0.0,0.0,0.0,0.0,1.1428571428571428,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,152.0,2.0,0.0,0.0,0.0,0.0,0.0,62.0,52.0,110.0,138.0,282.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,16.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0
T.J. Ford,1.5609756097560976,0.6666666666666666,0.0,0.5,0.0,0.0,2.0,0.4888888888888889,0.64,0.8636363636363636,0.4827586206896552,1.0,0.0,0.0,0.0,0.6981132075471698,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,2.0,2.0,0.0,64.0,2.0,0.0,2.0,0.0,0.0,2.0,22.0,16.0,76.0,28.0,12.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0
Tayshaun Prince,1.6875,2.0,0.0,1.935483870967742,0.0,0.0,0.0,0.6666666666666666,0.8421052631578947,0.7222222222222222,0.9354838709677419,0.963302752293578,1.0,0.0,0.0,0.9743589743589743,1.0,0.0,0.0,0.0,0.8571428571428571,1.0588235294117647,0.0,0.0,0.0,0.0,0.0,1.2380952380952381,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,54.0,2.0,0.0,60.0,0.0,0.0,0.0,34.0,32.0,78.0,116.0,105.0,3.0,0.0,0.0,114.0,4.0,0.0,0.0,0.0,36.0,18.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,4.0,0.0,0.0
Theo Ratliff,1.625,0.0,0.0,2.0,2.0,0.0,0.0,0.6190476190476191,0.6,0.6837606837606838,0.35294117647058826,0.0,0.0,0.0,0.0,0.7536231884057971,0.0,0.0,0.0,2.0,0.9285714285714286,1.1666666666666667,2.0,0.0,0.0,0.0,0.0,1.2941176470588236,2.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,160.0,2.0,0.0,0.0,52.0,42.0,80.0,6.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,2.0,26.0,14.0,2.0,0.0,0.0,0.0,0.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0
Tim Duncan,1.7142857142857142,1.0,0.0,1.84,2.0,0.0,1.3333333333333333,0.6785714285714286,0.6422018348623854,0.7537688442211056,0.759493670886076,0.6666666666666666,0.0,0.0,0.0,1.25,1.7777777777777777,0.0,0.0,1.5,1.0666666666666667,1.25,0.6666666666666666,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,1.0,2.0,0.0,60.0,4.0,0.0,138.0,2.0,0.0,4.0,152.0,70.0,150.0,60.0,6.0,0.0,0.0,0.0,290.0,16.0,0.0,0.0,6.0,96.0,60.0,6.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,2.0,4.0,0.0
Tony Battie,2.0,0.0,0.0,1.84,0.0,0.0,2.0,0.6842105263157895,0.9142857142857143,0.6972477064220184,0.6842105263157895,0.0,0.0,0.0,0.0,1.069767441860465,0.0,0.0,0.0,0.0,1.037037037037037,1.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,46.0,0.0,0.0,2.0,26.0,32.0,76.0,26.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,28.0,16.0,8.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Parker,1.6435643564356435,1.4285714285714286,0.0,2.0,0.0,0.0,0.0,0.6440677966101694,0.9230769230769231,0.6727272727272727,0.7636363636363637,0.9807692307692308,0.0,0.0,0.0,1.058139534883721,1.5384615384615385,0.0,0.0,0.0,1.2,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,0.0,166.0,10.0,0.0,2.0,0.0,0.0,0.0,76.0,24.0,74.0,168.0,153.0,0.0,0.0,0.0,182.0,20.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0
