playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Drive_18-23 Long Jumper,PPS_Drive_24-27 Three,PPS_Drive_28-34 Deep,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_13-17 Mid Range,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Pullup_00-02 At Rim,PPS_Pullup_03-08 Near Rim,PPS_Pullup_09-12 Short Range,PPS_Pullup_13-17 Mid Range,PPS_Pullup_18-23 Long Jumper,PPS_Pullup_24-27 Three,PPS_Pullup_28-34 Deep,PPS_Pullup_35-46 Near Half,PPS_Pullup_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_18-23 Long Jumper,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,PPS_invalid_24-27 Three,PPS_invalid_28-34 Deep,PPS_invalid_35-46 Near Half,PPS_invalid_47-94 Backcourt,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Drive_18-23 Long Jumper,Points_Drive_24-27 Three,Points_Drive_28-34 Deep,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_13-17 Mid Range,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Pullup_00-02 At Rim,Points_Pullup_03-08 Near Rim,Points_Pullup_09-12 Short Range,Points_Pullup_13-17 Mid Range,Points_Pullup_18-23 Long Jumper,Points_Pullup_24-27 Three,Points_Pullup_28-34 Deep,Points_Pullup_35-46 Near Half,Points_Pullup_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_18-23 Long Jumper,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper,Points_invalid_24-27 Three,Points_invalid_28-34 Deep,Points_invalid_35-46 Near Half,Points_invalid_47-94 Backcourt
Darrell Arthur,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.8571428571428571,0.0,0.975,0.7706422018348624,0.7741935483870968,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,1.4285714285714286,0.6666666666666666,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,0.0,78.0,84.0,72.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren Collison,1.6341463414634145,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.358974358974359,0.75,0.8791208791208791,0.8468468468468469,1.00990099009901,0.6000000000000001,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6666666666666667,1.75,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,14.0,12.0,80.0,94.0,102.0,6.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,28.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Lee,1.9393939393939394,1.0,0.0,0.0,0.0,0.0,0.0,1.8461538461538463,0.0,0.0,0.42857142857142855,0.4444444444444444,0.9,0.5,0.0,0.0,0.0,0.0,1.1549295774647887,1.3333333333333333,0.0,0.0,1.0,0.7567567567567568,1.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,1.1724137931034482,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,18.0,4.0,18.0,10.0,0.0,0.0,0.0,0.0,82.0,4.0,0.0,0.0,2.0,28.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Stockton,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Wear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David West,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.0,0.8210526315789474,0.4888888888888889,0.8823529411764706,1.0050761421319796,0.5625,0.0,0.0,0.0,1.1948051948051948,2.0,0.0,0.0,2.0,1.0434782608695652,0.4444444444444444,1.0909090909090908,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,78.0,22.0,150.0,198.0,9.0,0.0,0.0,0.0,92.0,6.0,0.0,0.0,4.0,24.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
DeAndre Jordan,1.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.8363636363636364,0.0,0.0,0.631578947368421,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0925925925925926,0.0,0.0,0.0,1.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4703557312252964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,12.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeJuan Blair,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeMar DeRozan,1.280701754385965,0.8888888888888888,1.0,2.0,0.0,0.0,0.0,1.8666666666666667,0.0,0.0,0.7333333333333333,0.7169811320754716,0.6192893401015228,0.6965174129353234,0.34615384615384615,0.0,0.0,0.0,1.0769230769230769,0.0,0.0,0.0,2.0,0.4444444444444444,1.0,0.7924528301886793,1.2727272727272727,0.0,0.0,0.0,0.0,1.0,1.027027027027027,0.6060606060606061,0.0,0.0,0.0,0.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,146.0,48.0,2.0,2.0,0.0,0.0,0.0,28.0,0.0,0.0,44.0,38.0,122.0,140.0,9.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,2.0,4.0,36.0,42.0,14.0,0.0,0.0,0.0,0.0,12.0,38.0,20.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
DeMarcus Cousins,1.6153846153846154,1.75,0.0,0.0,0.0,0.0,0.0,1.9183673469387754,0.0,0.0,0.3954802259887006,0.5625,0.7022900763358778,0.7619047619047619,1.0,0.0,0.0,0.0,1.049056603773585,1.1304347826086956,0.0,0.0,2.0,1.0232558139534884,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.0,0.0,0.0,0.0,1.2830188679245282,0.6666666666666666,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,14.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,70.0,18.0,92.0,128.0,6.0,0.0,0.0,0.0,278.0,26.0,0.0,0.0,6.0,44.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,68.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
DeMarre Carroll,1.393939393939394,1.0,1.1428571428571428,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8260869565217391,0.6153846153846154,0.5882352941176471,0.9361702127659575,1.076086956521739,0.0,0.0,0.0,1.2867132867132867,1.0,0.0,0.0,0.0,1.4285714285714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.1428571428571428,0.0,0.0,0.0,0.0,1.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,46.0,18.0,8.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,38.0,8.0,10.0,132.0,198.0,0.0,0.0,0.0,184.0,2.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Dennis Schroder,1.1487179487179486,0.717948717948718,0.8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6071428571428571,0.6666666666666666,0.7142857142857143,0.5555555555555556,1.0695652173913044,0.0,0.0,0.0,0.8679245283018868,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7272727272727273,0.918918918918919,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,28.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,34.0,14.0,30.0,30.0,123.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,34.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Deron Williams,1.1898734177215189,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6842105263157895,0.8181818181818182,0.5454545454545454,0.7288135593220338,1.0628571428571427,1.0,0.0,0.0,0.6329113924050633,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,1.3846153846153846,1.3846153846153846,1.2857142857142856,1.5,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,94.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,52.0,36.0,48.0,86.0,186.0,6.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,10.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,9.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Favors,1.5555555555555556,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,1.9565217391304348,2.0,2.0,0.5689655172413793,0.7017543859649122,0.7643979057591623,0.72,0.0,0.0,0.0,0.0,1.3189655172413792,0.4,0.0,0.0,2.0,0.7924528301886793,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.3043478260869565,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,4.0,2.0,0.0,0.0,0.0,0.0,180.0,2.0,6.0,66.0,40.0,146.0,36.0,0.0,0.0,0.0,0.0,306.0,2.0,0.0,0.0,6.0,42.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Rose,1.4666666666666666,1.4736842105263157,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.9411764705882353,0.5490196078431373,0.5217391304347826,0.6521739130434783,0.8571428571428571,0.0,1.5,0.0,0.773109243697479,0.6666666666666666,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5714285714285714,1.625,1.153846153846154,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,132.0,28.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,80.0,28.0,36.0,60.0,198.0,0.0,3.0,0.0,92.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,26.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Derrick Williams,1.5862068965517242,1.25,2.0,0.0,0.0,0.0,0.0,1.8222222222222222,0.0,0.0,0.39215686274509803,0.5714285714285714,0.5,0.7532467532467533,0.894736842105263,0.0,0.0,0.0,0.9122807017543859,1.0,0.0,0.0,0.0,1.2,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,10.0,2.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,20.0,4.0,20.0,58.0,102.0,0.0,0.0,0.0,52.0,6.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Harris,1.3734939759036144,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.75,0.5833333333333334,0.9,1.0054054054054054,0.42857142857142855,0.0,0.75,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,1.1111111111111112,0.6428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,14.0,72.0,186.0,3.0,0.0,3.0,42.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Devyn Marble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.2,2.0,0.0,0.3076923076923077,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dewayne Dedmon,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.368421052631579,0.0,0.0,0.7777777777777778,0.6666666666666666,0.8,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,2.0,0.0,0.0,2.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,14.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dion Waiters,1.1149425287356323,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.4,0.75,0.84,0.6431372549019608,0.8372093023255813,0.75,0.0,0.0,0.8253968253968254,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,194.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,22.0,12.0,84.0,164.0,108.0,3.0,0.0,0.0,104.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Dirk Nowitzki,1.5454545454545454,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.9032258064516129,0.9318181818181818,0.9247311827956989,0.9147982062780269,1.173913043478261,0.0,0.0,0.0,1.2432432432432432,0.5,0.0,0.0,0.0,0.75,0.8292682926829268,1.0285714285714285,1.3333333333333333,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,28.0,82.0,258.0,204.0,297.0,0.0,0.0,0.0,46.0,2.0,0.0,0.0,0.0,12.0,34.0,36.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
Donald Sloan,1.608695652173913,1.4285714285714286,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.32,0.8,0.41379310344827586,0.45161290322580644,0.9166666666666667,0.0,0.0,0.0,0.7924528301886793,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,20.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,12.0,12.0,14.0,99.0,0.0,0.0,0.0,42.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donatas Motiejunas,1.3846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,1.875,0.0,0.0,0.6756756756756757,0.7272727272727273,0.4444444444444444,0.6896551724137931,1.0909090909090908,3.0,0.0,0.0,1.28125,0.8571428571428571,0.0,0.0,1.0,1.1203703703703705,1.027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,50.0,16.0,4.0,40.0,84.0,3.0,0.0,0.0,164.0,6.0,0.0,0.0,2.0,242.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorell Wright,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,0.0,0.5,0.64,1.1506849315068493,0.0,0.0,0.0,0.3333333333333333,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,2.0,32.0,84.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doug McDermott,1.2857142857142858,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7058823529411765,0.9705882352941178,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,33.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Draymond Green,1.6458333333333333,0.8,2.0,0.0,0.0,0.0,0.0,1.7647058823529411,0.0,0.0,0.24615384615384617,0.6363636363636364,0.64,0.5581395348837209,0.9807692307692308,0.0,0.0,0.0,1.2079207920792079,0.6666666666666666,0.0,0.0,0.0,1.2,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.5,0.8571428571428571,0.46153846153846156,1.255813953488372,1.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,158.0,4.0,4.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,16.0,14.0,16.0,24.0,204.0,0.0,0.0,0.0,122.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,6.0,6.0,6.0,108.0,3.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
