playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_18-23 Long Jumper,PPS_Dunk_24-27 Three,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_18-23 Long Jumper,Points_Dunk_24-27 Three,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_24-27 Three
Nazr Mohammed,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.09090909090909091,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
Paul Pierce,1.5903614457831325,1.2,0.0,0.0,1.8823529411764706,0.0,0.0,0.0,0.0,0.42696629213483145,0.7692307692307693,0.8990825688073395,0.6893203883495146,1.1159420289855073,0.0,0.0,0.0,1.0746268656716418,0.3333333333333333,0.0,2.0,0.0,0.6666666666666666,1.3333333333333333,0.0,0.0,0.0,0.75,0.0,0.0,132.0,30.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,38.0,50.0,196.0,142.0,231.0,0.0,0.0,0.0,144.0,4.0,0.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0
Peja Stojakovic,1.35,1.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.7058823529411765,0.5625,0.8297872340425532,0.8846153846153846,1.0628571428571427,1.2000000000000002,0.0,0.0,1.5068493150684932,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,54.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,48.0,18.0,78.0,184.0,186.0,6.0,0.0,0.0,110.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
Rashard Lewis,1.7037037037037037,1.2,0.0,0.0,1.8666666666666667,2.0,0.0,0.0,1.3333333333333333,0.7333333333333333,0.6428571428571429,0.6341463414634146,0.7857142857142857,0.8470588235294118,0.0,0.0,0.0,1.4794520547945205,1.6666666666666667,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.2,0.0,0.0,46.0,6.0,0.0,0.0,84.0,2.0,0.0,0.0,4.0,66.0,18.0,52.0,66.0,72.0,0.0,0.0,0.0,108.0,10.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,24.0,0.0,0.0
Ray Allen,1.3432835820895523,1.25,0.0,0.0,1.7777777777777777,2.0,0.0,0.0,0.3333333333333333,0.8244274809160306,0.9438202247191011,0.7631578947368421,0.8601036269430051,1.2964285714285715,1.5,0.0,0.0,0.9938650306748467,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,90.0,10.0,0.0,0.0,80.0,2.0,0.0,0.0,2.0,108.0,168.0,232.0,166.0,363.0,15.0,0.0,0.0,162.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Richard Hamilton,1.5714285714285714,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.675,0.8654970760233918,0.7619047619047619,1.1454545454545455,3.0,0.0,0.0,0.8627450980392157,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,54.0,54.0,148.0,80.0,63.0,3.0,0.0,0.0,44.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaquille ONeal,1.6551724137931034,0.0,0.0,0.0,1.9259259259259258,2.0,0.0,0.0,1.0,0.7398568019093079,0.6745562130177515,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,1.3436692506459949,1.0769230769230769,0.0,0.0,0.0,1.4545454545454546,1.1517241379310346,0.9473684210526315,1.0,0.0,0.9444444444444444,0.0,0.0,48.0,0.0,0.0,0.0,468.0,2.0,0.0,0.0,4.0,310.0,114.0,8.0,0.0,0.0,0.0,0.0,0.0,520.0,14.0,0.0,0.0,0.0,16.0,334.0,36.0,4.0,0.0,34.0,0.0,0.0
Shawn Marion,1.4,2.0,0.0,0.0,1.8666666666666667,0.0,0.0,0.0,0.0,0.6792452830188679,0.75,0.6666666666666666,0.8163265306122449,0.0,0.0,0.0,0.0,0.9863013698630136,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,1.0769230769230769,0.0,0.0,14.0,2.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,36.0,36.0,86.0,40.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0
Steve Nash,1.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,1.0810810810810811,0.9117647058823529,0.987012987012987,1.1946902654867257,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,40.0,62.0,76.0,135.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Theo Ratliff,1.9310344827586208,0.0,0.0,0.0,1.9722222222222223,2.0,2.0,0.0,1.0,0.44660194174757284,0.5675675675675675,0.7012987012987013,1.0,0.0,0.0,0.0,0.0,1.0985915492957747,0.4,0.0,0.0,0.0,2.0,1.7142857142857142,1.5,0.0,0.0,0.7,0.0,0.0,56.0,0.0,0.0,0.0,142.0,2.0,2.0,0.0,2.0,46.0,42.0,54.0,4.0,0.0,0.0,0.0,0.0,78.0,2.0,0.0,0.0,0.0,2.0,36.0,12.0,0.0,0.0,14.0,0.0,0.0
Tim Duncan,1.7333333333333334,1.6,0.0,0.0,1.7105263157894737,0.0,0.0,0.0,0.6666666666666666,0.7641196013289037,0.8651685393258427,0.8625954198473282,0.8571428571428571,0.0,0.0,0.0,0.0,1.0666666666666667,0.6666666666666666,0.0,0.0,0.0,0.8,1.1666666666666667,1.375,0.0,0.0,1.36,0.0,0.0,52.0,8.0,0.0,0.0,130.0,0.0,0.0,0.0,2.0,230.0,154.0,226.0,48.0,0.0,0.0,0.0,0.0,208.0,6.0,0.0,0.0,0.0,4.0,98.0,22.0,0.0,0.0,68.0,0.0,0.0
Tony Battie,1.4,0.0,0.0,0.0,1.9259259259259258,2.0,0.0,0.0,0.0,0.7105263157894737,1.0175438596491229,0.7238095238095238,0.7222222222222222,0.75,0.0,0.0,0.0,0.8923076923076924,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0476190476190477,0.0,0.0,14.0,0.0,0.0,0.0,104.0,4.0,0.0,0.0,0.0,54.0,58.0,76.0,26.0,3.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,0.0,2.0,14.0,2.0,0.0,0.0,22.0,0.0,0.0
Tracy McGrady,1.2183908045977012,1.5,0.0,0.0,1.7555555555555555,0.0,0.0,0.0,0.0,0.7422680412371134,0.625,0.7477477477477478,0.8540540540540541,0.7959183673469388,1.5,0.0,0.0,0.967741935483871,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.7755102040816326,0.0,0.0,106.0,6.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,72.0,60.0,166.0,158.0,39.0,3.0,0.0,0.0,120.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,38.0,0.0,0.0
Vince Carter,1.296875,1.6,0.0,0.0,1.8666666666666667,2.0,0.0,0.0,0.0,0.7125,0.7019867549668874,0.8348623853211009,0.8676923076923077,1.153846153846154,1.7999999999999998,1.0,0.0,0.9927007299270073,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,0.0,0.9444444444444444,0.0,0.0,166.0,8.0,0.0,0.0,196.0,4.0,0.0,0.0,0.0,114.0,106.0,364.0,282.0,210.0,9.0,3.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,34.0,0.0,0.0
