playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_18-23 Long Jumper,PPS_Dunk_24-27 Three,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_18-23 Long Jumper,Points_Dunk_24-27 Three,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_24-27 Three
Earl Boykins,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.9230769230769231,1.0666666666666667,0.8,1.2000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,48.0,8.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Elton Brand,1.6,2.0,0.0,0.0,1.7692307692307692,0.0,0.0,0.0,1.3333333333333333,0.944,0.729064039408867,0.7553191489361702,0.35294117647058826,0.0,0.0,0.0,0.0,1.1299435028248588,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.6857142857142857,0.0,0.0,40.0,2.0,0.0,0.0,92.0,0.0,0.0,0.0,8.0,354.0,148.0,142.0,6.0,0.0,0.0,0.0,0.0,400.0,4.0,0.0,0.0,0.0,2.0,34.0,4.0,0.0,0.0,24.0,0.0,0.0
Erick Dampier,0.5,0.0,0.0,0.0,1.7333333333333334,0.0,0.0,0.0,2.0,0.42857142857142855,0.4,0.6,0.0,0.0,0.0,0.0,0.0,1.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.0,1.2,0.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2.0,18.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,12.0,0.0,0.0
Grant Hill,1.6893203883495145,1.5714285714285714,0.0,0.0,1.7307692307692308,0.0,0.0,0.0,0.0,0.5555555555555556,0.8032786885245902,0.8362831858407079,0.782608695652174,1.2077922077922079,0.0,0.0,0.0,0.8849557522123894,0.8,0.0,0.0,0.0,2.0,1.6666666666666667,0.6666666666666666,0.0,0.0,0.9411764705882353,0.0,0.0,348.0,22.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,50.0,98.0,378.0,108.0,93.0,0.0,0.0,0.0,200.0,4.0,0.0,0.0,0.0,4.0,10.0,2.0,0.0,0.0,16.0,0.0,0.0
James Posey,1.0666666666666667,2.0,0.0,0.0,1.7727272727272727,0.0,0.0,0.0,0.0,0.125,0.14285714285714285,0.5333333333333333,0.868421052631579,1.0,0.0,0.0,0.0,1.095890410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,2.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,2.0,2.0,32.0,132.0,126.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
Jason Kidd,1.64,0.6666666666666666,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.5384615384615384,0.7352941176470589,0.73,1.027027027027027,0.0,0.75,0.0,1.095890410958904,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,0.0,82.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,40.0,28.0,150.0,146.0,114.0,0.0,3.0,0.0,160.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0
Jason Terry,1.4761904761904763,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8695652173913043,0.7916666666666666,0.8053691275167785,0.9038461538461539,0.9318181818181819,0.6000000000000001,0.0,1.5,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,40.0,38.0,120.0,94.0,123.0,3.0,0.0,3.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Foster,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Jermaine ONeal,1.3333333333333333,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.4,0.72,0.3333333333333333,0.7272727272727273,0.0,0.0,0.0,0.0,0.8125,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,8.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,12.0,18.0,4.0,8.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,16.0,0.0,0.0
Jerry Stackhouse,1.536231884057971,1.0,0.0,0.0,1.8518518518518519,2.0,0.0,0.0,0.0,0.5316455696202531,0.6086956521739131,0.8089887640449438,0.751937984496124,0.765625,0.30000000000000004,0.0,0.0,0.7037037037037037,1.0,0.0,2.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.875,0.0,0.0,212.0,4.0,0.0,0.0,200.0,4.0,0.0,0.0,0.0,42.0,56.0,216.0,194.0,147.0,3.0,0.0,0.0,190.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0
