playername,PPS_Cut_00-02 At Rim,PPS_Cut_03-08 Near Rim,PPS_Cut_09-12 Short Range,PPS_Cut_13-17 Mid Range,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Drive_18-23 Long Jumper,PPS_Drive_24-27 Three,PPS_Drive_28-34 Deep,PPS_Drive_35-46 Near Half,PPS_Drive_47-94 Backcourt,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_09-12 Short Range,PPS_Dunk_13-17 Mid Range,PPS_Dunk_18-23 Long Jumper,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Pullup_00-02 At Rim,PPS_Pullup_03-08 Near Rim,PPS_Pullup_09-12 Short Range,PPS_Pullup_13-17 Mid Range,PPS_Pullup_18-23 Long Jumper,PPS_Pullup_24-27 Three,PPS_Pullup_28-34 Deep,PPS_Pullup_35-46 Near Half,PPS_Pullup_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_18-23 Long Jumper,Points_Cut_00-02 At Rim,Points_Cut_03-08 Near Rim,Points_Cut_09-12 Short Range,Points_Cut_13-17 Mid Range,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Drive_18-23 Long Jumper,Points_Drive_24-27 Three,Points_Drive_28-34 Deep,Points_Drive_35-46 Near Half,Points_Drive_47-94 Backcourt,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_09-12 Short Range,Points_Dunk_13-17 Mid Range,Points_Dunk_18-23 Long Jumper,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Pullup_00-02 At Rim,Points_Pullup_03-08 Near Rim,Points_Pullup_09-12 Short Range,Points_Pullup_13-17 Mid Range,Points_Pullup_18-23 Long Jumper,Points_Pullup_24-27 Three,Points_Pullup_28-34 Deep,Points_Pullup_35-46 Near Half,Points_Pullup_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_18-23 Long Jumper
Devin Booker,1.5789473684210527,0.0,0.0,0.0,1.1818181818181819,0.6666666666666666,0.9565217391304348,0.25,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.8695652173913043,0.7017543859649122,0.9047619047619048,1.1232876712328768,0.6000000000000001,0.0,0.0,1.0476190476190477,0.6666666666666666,2.0,0.0,0.0,1.0,0.8888888888888888,0.8571428571428571,0.2857142857142857,2.0,1.0,3.0,0.0,0.0,0.9090909090909091,0.7,0.9295774647887324,0.8571428571428571,1.25,0.8999999999999999,0.0,0.0,1.25,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,130.0,34.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,16.0,40.0,40.0,76.0,246.0,6.0,0.0,0.0,44.0,8.0,2.0,0.0,0.0,2.0,16.0,12.0,2.0,4.0,3.0,3.0,0.0,0.0,10.0,28.0,66.0,42.0,120.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Devin Harris,1.7333333333333334,0.0,0.0,0.0,1.1428571428571428,0.6206896551724138,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.7843137254901961,1.047945205479452,0.6000000000000001,0.6000000000000001,0.0,1.1578947368421053,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4444444444444444,0.75,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,72.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,40.0,153.0,3.0,3.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Robinson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Dewayne Dedmon,1.6774193548387097,0.6666666666666666,0.0,0.0,1.7142857142857142,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.894736842105263,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.9767441860465116,0.8541666666666666,0.9375,3.0,0.0,0.0,1.3714285714285714,1.1666666666666667,0.0,0.0,0.0,1.3333333333333333,0.7272727272727273,0.7272727272727273,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2,1.3333333333333333,0.0,0.0,0.0,0.0,1.4054054054054055,1.3333333333333333,0.0,0.0,0.0,52.0,2.0,0.0,0.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,4.0,14.0,30.0,42.0,82.0,75.0,3.0,0.0,0.0,48.0,14.0,0.0,0.0,0.0,4.0,16.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,52.0,4.0,0.0,0.0,0.0
Deyonta Davis,1.6428571428571428,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.7692307692307693,0.8148148148148148,0.7586206896551724,0.0,0.0,0.0,0.0,1.4782608695652173,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,46.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,22.0,22.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,138.0,4.0,0.0,0.0,0.0
Dillon Brooks,1.6,0.0,0.0,0.0,1.3592233009708738,0.8307692307692308,0.5217391304347826,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.7272727272727273,0.3157894736842105,0.5333333333333333,0.7160493827160493,1.076086956521739,1.7142857142857142,0.0,0.0,1.0793650793650793,0.5714285714285714,0.0,0.0,2.0,0.0,1.3333333333333333,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,0.7878787878787878,0.48484848484848486,1.0588235294117647,0.0,3.0,0.0,1.2857142857142858,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,140.0,54.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,16.0,58.0,198.0,12.0,0.0,0.0,68.0,4.0,0.0,0.0,2.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,26.0,16.0,18.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0
Dion Waiters,0.0,0.0,0.0,0.0,1.373134328358209,0.8148148148148148,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.2,0.4444444444444444,0.9,0.704225352112676,0.8942307692307692,0.2727272727272727,0.0,0.0,0.896551724137931,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6666666666666666,0.7,0.75,1.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,18.0,50.0,93.0,3.0,0.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,14.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Dirk Nowitzki,1.7142857142857142,0.0,0.0,0.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0857142857142856,1.0476190476190477,0.89171974522293,1.2346938775510203,0.42857142857142855,0.0,0.0,1.6,2.0,0.0,0.0,0.0,0.0,1.25,0.7777777777777778,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.6666666666666667,0.0,0.0,0.0,1.5,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.0,110.0,140.0,363.0,6.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,10.0,28.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,15.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0
Domantas Sabonis,1.6712328767123288,1.0769230769230769,0.0,0.0,1.36,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.4,0.75,0.8695652173913043,0.875,0.7441860465116279,0.875,1.125,0.0,0.0,1.2419354838709677,0.6,0.0,0.0,0.0,1.5384615384615385,0.8311688311688312,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,1.0,0.0,0.0,0.0,122.0,14.0,0.0,0.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,12.0,20.0,42.0,64.0,21.0,9.0,0.0,0.0,154.0,12.0,0.0,0.0,0.0,20.0,64.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,0.0,0.0,0.0
Donovan Mitchell,1.3333333333333333,2.0,0.0,0.0,1.2522522522522523,0.8210526315789474,0.6153846153846154,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,2.0,0.0,0.0,0.0,0.0,0.6511627906976745,0.7547169811320755,0.782608695652174,0.9166666666666666,0.9553571428571428,0.9750000000000001,0.75,0.0,1.1627906976744187,0.5384615384615384,0.0,0.0,0.0,0.0,0.8,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,1.0,0.9019607843137255,1.15625,0.21428571428571427,0.0,0.0,1.6551724137931034,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,278.0,78.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,28.0,40.0,36.0,88.0,321.0,39.0,3.0,0.0,100.0,14.0,0.0,0.0,0.0,0.0,4.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,36.0,46.0,111.0,3.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0
