playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_18-23 Long Jumper,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_18-23 Long Jumper,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range
Brendan Haywood,1.5,0.0,1.956043956043956,2.0,0.0,2.0,0.2,0.4444444444444444,0.4,0.0,0.0,0.0,0.0,0.0,1.18,1.25,0.0,0.0,0.0,0.0,2.0,1.5555555555555556,0.75,2.0,0.0,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,178.0,2.0,0.0,2.0,20.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,118.0,10.0,0.0,0.0,0.0,0.0,6.0,98.0,6.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Cardinal,1.0769230769230769,2.0,2.0,0.0,0.0,0.0,0.5517241379310345,0.7272727272727273,0.7246376811594203,0.6476190476190476,1.0449438202247192,0.0,0.0,0.0,0.7352941176470589,1.2,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,2.0,0.0,0.0,28.0,4.0,4.0,0.0,0.0,0.0,16.0,16.0,50.0,68.0,93.0,0.0,0.0,0.0,50.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Brian Cook,1.6,0.0,1.7142857142857142,0.0,0.0,0.0,0.6666666666666666,1.0,0.8571428571428571,0.7304347826086957,1.2289156626506024,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,12.0,0.0,0.0,0.0,8.0,12.0,30.0,84.0,204.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Scalabrine,1.4545454545454546,2.0,2.0,0.0,0.0,0.0,0.45714285714285713,0.8333333333333334,0.5641025641025641,0.7216494845360825,0.9428571428571428,0.0,0.0,0.0,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,0.0,2.0,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,10.0,0.0,0.0,0.0,16.0,10.0,22.0,70.0,33.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Arroyo,1.6,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.3333333333333333,0.7916666666666666,0.6415094339622641,0.7826086956521738,0.0,0.0,0.0,0.7837837837837838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,114.0,68.0,18.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Carlos Boozer,1.7,0.0,1.88,0.0,0.0,2.0,0.8666666666666667,0.6779661016949152,0.8382352941176471,0.7605633802816901,0.0,0.0,0.0,0.0,1.1160220994475138,0.0,0.0,0.0,0.0,0.0,1.5,1.1612903225806452,0.5333333333333333,1.0909090909090908,1.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.0,0.0,68.0,0.0,94.0,0.0,0.0,2.0,52.0,40.0,114.0,54.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,8.0,24.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0
Carlos Delfino,1.75,0.0,1.1428571428571428,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.5,0.9230769230769231,0.0,0.0,0.0,0.5714285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,10.0,12.0,24.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Carmelo Anthony,1.102803738317757,2.0,1.875,0.0,0.0,2.0,0.5,0.5,0.7860696517412935,0.7142857142857143,0.8571428571428571,0.0,0.0,0.0,0.9456869009584664,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,1.4838709677419355,0.0,0.0,0.0,2.0,0.0,0.0,118.0,2.0,90.0,0.0,0.0,2.0,30.0,10.0,158.0,170.0,114.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,2.0,0.0,0.0
Caron Butler,1.6285714285714286,2.0,1.7543859649122806,0.0,0.0,0.0,0.75,0.6486486486486487,0.703125,0.7470817120622568,0.8571428571428571,1.5,0.0,0.0,0.8790322580645161,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,2.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,114.0,2.0,100.0,0.0,0.0,0.0,48.0,24.0,90.0,192.0,48.0,3.0,0.0,0.0,218.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,6.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
Chauncey Billups,1.6071428571428572,0.0,2.0,0.0,0.0,0.0,0.5925925925925926,0.9333333333333333,0.8032786885245902,0.8449197860962567,1.316614420062696,0.0,0.0,0.0,0.7394957983193278,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7142857142857142,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,2.0,0.0,90.0,0.0,4.0,0.0,0.0,0.0,16.0,42.0,98.0,158.0,420.0,0.0,0.0,0.0,88.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0
Chris Andersen,1.75,0.0,1.9655172413793103,0.0,0.0,0.0,0.5714285714285714,0.375,0.7692307692307693,0.625,0.0,0.0,0.0,0.0,0.8913043478260869,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.5,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,14.0,0.0,114.0,0.0,0.0,0.0,8.0,6.0,50.0,20.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,4.0,0.0,0.0
Chris Bosh,1.1724137931034482,1.0,1.7582417582417582,0.0,0.0,0.0,0.8543689320388349,0.7671232876712328,0.7942238267148014,0.8543689320388349,1.2000000000000002,0.0,0.0,0.0,0.7851851851851852,1.0,0.0,0.0,0.0,0.0,0.0,0.918918918918919,0.75,0.6666666666666666,2.0,0.0,0.0,0.0,1.135135135135135,0.0,0.0,0.0,1.5,0.0,0.0,102.0,2.0,160.0,0.0,0.0,0.0,88.0,56.0,220.0,88.0,6.0,0.0,0.0,0.0,106.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,18.0,10.0,2.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,12.0,0.0,0.0
Chris Duhon,1.7857142857142858,1.0,0.0,0.0,0.0,1.0,0.6153846153846154,0.6666666666666666,0.3076923076923077,0.6875,1.0744186046511628,0.42857142857142855,0.75,0.0,0.43478260869565216,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0,0.0,0.0,0.0,2.0,24.0,8.0,4.0,44.0,231.0,3.0,3.0,0.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0
Chris Kaman,1.4545454545454546,0.0,1.8888888888888888,0.0,0.0,0.0,0.6301369863013698,0.8648648648648649,0.5357142857142857,0.4,0.0,0.0,0.0,0.0,0.9496402877697842,0.0,0.0,0.0,0.0,0.0,1.6,1.3333333333333333,0.46153846153846156,1.3333333333333333,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,68.0,0.0,0.0,0.0,46.0,32.0,30.0,2.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,8.0,120.0,6.0,12.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Wilcox,1.7142857142857142,1.3333333333333333,1.8846153846153846,0.0,0.0,0.0,0.72,0.35294117647058826,0.5714285714285714,1.0,0.0,0.0,0.0,0.0,0.7012987012987013,2.0,0.0,0.0,0.0,0.0,2.0,0.85,1.2,1.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,98.0,0.0,0.0,0.0,36.0,6.0,16.0,6.0,0.0,0.0,0.0,0.0,54.0,2.0,0.0,0.0,0.0,0.0,4.0,34.0,12.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Maggette,1.6666666666666667,0.0,1.7777777777777777,0.0,0.0,0.0,0.7,0.7272727272727273,0.8321167883211679,0.7947882736156352,0.9111111111111111,3.0,0.0,0.0,0.7852760736196319,1.0,0.0,0.0,0.0,0.0,0.0,1.2,1.5,1.5,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,32.0,0.0,0.0,0.0,42.0,32.0,114.0,244.0,123.0,3.0,0.0,0.0,128.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
DJ Mbenga,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dahntay Jones,1.2,0.0,1.7777777777777777,0.0,0.0,0.0,0.6,1.6666666666666667,0.9523809523809523,0.7906976744186046,0.375,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,16.0,0.0,0.0,0.0,6.0,10.0,20.0,68.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Damien Wilkins,1.6666666666666667,0.0,1.6,0.0,0.0,2.0,0.8571428571428571,0.0,0.6,0.5,0.7659574468085106,0.0,0.0,0.0,1.0909090909090908,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,8.0,0.0,0.0,2.0,18.0,0.0,6.0,14.0,36.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Gadzuric,2.0,0.0,1.8857142857142857,0.0,0.0,0.0,0.6363636363636364,0.631578947368421,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.922077922077922,0.4,0.0,0.0,0.0,0.0,0.75,0.9142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.8923076923076924,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,198.0,0.0,0.0,0.0,28.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,142.0,2.0,0.0,0.0,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Songaila,1.3333333333333333,0.0,1.8461538461538463,0.0,0.0,0.0,0.8235294117647058,0.8888888888888888,1.1232876712328768,1.0070921985815602,0.0,0.0,0.0,0.0,1.1016949152542372,2.0,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,1.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174,0.0,0.0,0.0,2.0,0.0,0.0,28.0,0.0,24.0,0.0,0.0,0.0,42.0,16.0,82.0,142.0,0.0,0.0,0.0,0.0,130.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0
Darko Milicic,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.15384615384615385,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David West,2.0,0.0,1.5,0.0,0.0,0.0,0.375,0.5882352941176471,0.918918918918919,0.9523809523809523,1.0,0.0,0.0,0.0,0.9454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,6.0,10.0,34.0,20.0,3.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
DeSagana Diop,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0
DeShawn Stevenson,1.173913043478261,0.0,1.6666666666666667,0.0,0.0,0.0,0.11764705882352941,0.0,0.8085106382978723,0.8208955223880597,1.2352941176470589,0.0,0.0,0.0,0.7191011235955056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.2727272727272727,0.0,0.0,0.0,2.0,0.0,0.0,54.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,38.0,110.0,63.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0
Delonte West,1.6,2.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.4,0.8235294117647058,1.0714285714285714,0.0,0.0,0.0,1.1333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,6.0,42.0,45.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Fisher,1.8235294117647058,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.25,0.782608695652174,0.7986577181208053,1.1608040201005025,1.0,0.0,0.0,0.45,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,62.0,4.0,0.0,0.0,0.0,0.0,24.0,4.0,72.0,238.0,231.0,6.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Devin Harris,1.7916666666666667,0.0,1.75,0.0,0.0,0.0,0.35294117647058826,0.625,0.8421052631578947,0.821917808219178,1.0,0.75,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,14.0,0.0,0.0,0.0,6.0,10.0,32.0,60.0,90.0,3.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dirk Nowitzki,1.8271604938271604,2.0,1.9024390243902438,0.0,0.0,0.0,0.9056603773584906,0.7945205479452054,0.8043956043956044,0.8328267477203647,1.193717277486911,3.0,1.0,0.0,0.736,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,1.0,1.1724137931034482,1.7142857142857142,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,1.0,1.5,0.0,148.0,2.0,78.0,0.0,0.0,0.0,48.0,58.0,366.0,274.0,228.0,6.0,3.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,10.0,34.0,12.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,6.0,0.0
Dorell Wright,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Gooden,1.6129032258064515,0.0,1.868421052631579,2.0,0.0,0.0,0.6341463414634146,0.8108108108108109,0.7605633802816901,0.7027027027027027,0.6521739130434783,0.0,0.0,0.0,0.9693877551020408,1.0,0.0,0.0,0.0,0.0,2.0,1.1685393258426966,1.0952380952380953,0.9473684210526315,0.0,0.0,0.0,0.0,1.170731707317073,0.0,0.0,0.0,2.0,2.0,0.0,50.0,0.0,142.0,2.0,0.0,0.0,78.0,60.0,108.0,52.0,15.0,0.0,0.0,0.0,190.0,2.0,0.0,0.0,0.0,0.0,2.0,104.0,46.0,18.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,10.0,6.0,0.0
Dwight Howard,1.7647058823529411,2.0,1.8675496688741722,0.0,0.0,0.0,0.5555555555555556,0.36363636363636365,0.5333333333333333,0.8571428571428571,0.0,0.0,0.0,0.0,0.7567567567567568,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,0.5714285714285714,2.0,2.0,0.0,0.0,0.0,0.9545454545454546,2.0,0.0,0.0,2.0,0.0,0.0,30.0,2.0,282.0,0.0,0.0,0.0,40.0,8.0,24.0,6.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,4.0,108.0,8.0,4.0,2.0,0.0,0.0,0.0,42.0,2.0,0.0,0.0,2.0,0.0,0.0
Dwyane Wade,1.3775933609958506,1.0,1.8064516129032258,2.0,0.0,0.0,0.725925925925926,0.7111111111111111,0.7641509433962265,0.87,1.0999999999999999,1.0,0.0,1.0,0.8065843621399177,1.5,2.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.5263157894736842,0.5714285714285714,0.8,0.0,0.0,0.0,1.1724137931034482,2.0,0.0,0.0,1.3333333333333333,2.0,0.0,332.0,2.0,112.0,4.0,0.0,0.0,98.0,64.0,162.0,174.0,33.0,3.0,0.0,3.0,196.0,6.0,2.0,0.0,0.0,0.0,0.0,14.0,10.0,4.0,4.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0,8.0,6.0,0.0
Earl Boykins,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.8648648648648649,1.0,0.8518518518518519,0.6349206349206349,0.9926470588235294,0.0,0.0,0.0,1.0505050505050506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,2.0,64.0,56.0,184.0,120.0,135.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Earl Watson,1.393939393939394,0.0,2.0,0.0,0.0,0.0,0.7894736842105263,0.8235294117647058,0.8936170212765957,0.7157894736842105,1.048780487804878,0.0,0.0,0.0,0.8169014084507042,0.0,0.0,0.0,0.0,0.0,2.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,16.0,0.0,0.0,0.0,30.0,14.0,42.0,68.0,129.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Eddie House,1.2,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.1111111111111112,0.8,1.0,1.1896551724137931,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,60.0,166.0,69.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Eddy Curry,2.0,0.0,1.8545454545454545,0.0,0.0,0.0,0.5168539325842697,0.5882352941176471,0.48,0.8,0.0,0.0,0.0,0.0,1.0357142857142858,1.3333333333333333,0.0,0.0,0.0,0.0,0.8571428571428571,1.0285714285714285,0.875,0.0,0.0,0.0,0.0,0.0,1.6065573770491803,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,204.0,0.0,0.0,0.0,46.0,30.0,24.0,4.0,0.0,0.0,0.0,0.0,232.0,4.0,0.0,0.0,0.0,0.0,6.0,108.0,14.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,2.0,0.0
Eduardo Najera,2.0,2.0,2.0,0.0,0.0,2.0,0.38461538461538464,0.6,0.6666666666666666,0.6764705882352942,0.8333333333333334,0.0,0.0,0.0,1.2380952380952381,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,1.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.0,0.0,0.0,2.0,0.0,0.0,22.0,4.0,18.0,0.0,0.0,2.0,10.0,6.0,40.0,46.0,15.0,0.0,0.0,0.0,104.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0
Elton Brand,1.8412698412698412,1.0,1.9,0.0,0.0,0.0,0.7341772151898734,0.7108433734939759,0.8307692307692308,0.6545454545454545,0.0,0.0,0.0,0.0,1.0114068441064639,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,1.3670886075949367,1.3793103448275863,1.8181818181818181,2.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.0,0.0,0.0,2.0,0.0,116.0,2.0,114.0,0.0,0.0,0.0,116.0,118.0,270.0,36.0,0.0,0.0,0.0,0.0,266.0,8.0,0.0,0.0,0.0,0.0,2.0,108.0,40.0,20.0,4.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,2.0,0.0
