playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Drive_24-27 Three,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_47-94 Backcourt,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Post_47-94 Backcourt,PPS_Pullup_00-02 At Rim,PPS_Pullup_03-08 Near Rim,PPS_Pullup_09-12 Short Range,PPS_Pullup_13-17 Mid Range,PPS_Pullup_18-23 Long Jumper,PPS_Pullup_24-27 Three,PPS_Pullup_28-34 Deep,PPS_Pullup_35-46 Near Half,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,PPS_invalid_24-27 Three,PPS_invalid_28-34 Deep,PPS_invalid_35-46 Near Half,PPS_invalid_47-94 Backcourt,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Drive_24-27 Three,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_47-94 Backcourt,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Post_47-94 Backcourt,Points_Pullup_00-02 At Rim,Points_Pullup_03-08 Near Rim,Points_Pullup_09-12 Short Range,Points_Pullup_13-17 Mid Range,Points_Pullup_18-23 Long Jumper,Points_Pullup_24-27 Three,Points_Pullup_28-34 Deep,Points_Pullup_35-46 Near Half,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper,Points_invalid_24-27 Three,Points_invalid_28-34 Deep,Points_invalid_35-46 Near Half,Points_invalid_47-94 Backcourt
Danilo Gallinari,1.5076923076923077,1.1428571428571428,0.0,0.0,0.0,1.5833333333333333,0.0,0.0,0.43478260869565216,0.5,0.46153846153846156,0.7323943661971831,1.0384615384615383,3.0,0.0,0.0,0.9777777777777777,0.6666666666666666,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1428571428571428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,16.0,0.0,0.0,0.0,38.0,0.0,0.0,20.0,6.0,12.0,104.0,243.0,3.0,0.0,0.0,44.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Granger,1.6619718309859155,1.1538461538461537,0.0,0.0,0.0,1.6,0.0,0.0,0.37254901960784315,0.5957446808510638,0.7402597402597403,0.65,1.1176470588235294,0.0,0.0,0.0,0.9863013698630136,1.0588235294117647,0.0,0.0,1.1578947368421053,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.5789473684210527,2.0769230769230766,0.0,0.0,1.2777777777777777,1.7142857142857142,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,30.0,0.0,0.0,0.0,16.0,0.0,0.0,38.0,28.0,114.0,130.0,399.0,0.0,0.0,0.0,144.0,18.0,0.0,0.0,22.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,30.0,27.0,0.0,0.0,46.0,12.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Green,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.5,2.0,0.0,0.6666666666666666,1.6363636363636362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dante Cunningham,1.6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.7692307692307693,0.5185185185185185,0.9323308270676691,0.7801418439716312,0.0,0.0,0.0,0.0,1.2592592592592593,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,30.0,14.0,124.0,110.0,0.0,0.0,0.0,0.0,68.0,2.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Songaila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darko Milicic,1.391304347826087,0.6666666666666666,0.0,0.0,0.0,2.0,2.0,0.0,0.5436893203883495,0.35294117647058826,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9090909090909091,0.0,2.0,1.0,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2941176470588236,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,46.0,2.0,0.0,56.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,88.0,10.0,0.0,8.0,202.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darnell Jackson,1.2,2.0,0.0,0.0,0.0,1.8,2.0,0.0,0.8,0.7272727272727273,1.0,0.5161290322580645,1.5,0.0,0.0,0.0,1.2307692307692308,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,18.0,2.0,0.0,12.0,8.0,32.0,16.0,6.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrell Arthur,1.2,2.0,0.0,0.0,0.0,1.8823529411764706,0.0,0.0,0.7397260273972602,0.7777777777777778,0.78,0.8390804597701149,0.0,0.0,0.0,0.0,1.1428571428571428,0.5,0.0,0.0,1.2173913043478262,0.8333333333333334,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,0.0,64.0,0.0,0.0,54.0,28.0,78.0,146.0,0.0,0.0,0.0,0.0,88.0,2.0,0.0,0.0,28.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren Collison,1.5064935064935066,1.375,2.0,0.0,0.0,2.0,0.0,0.0,0.6526315789473685,0.6329113924050633,0.7050359712230215,0.672566371681416,0.90625,1.7142857142857142,0.0,0.0,1.0909090909090908,1.2380952380952381,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.446808510638298,1.5238095238095237,3.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,116.0,22.0,2.0,0.0,0.0,8.0,0.0,0.0,62.0,50.0,98.0,76.0,87.0,12.0,0.0,0.0,144.0,26.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,68.0,32.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
David Andersen,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5454545454545454,1.3333333333333333,1.2307692307692308,0.8421052631578947,1.1428571428571428,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,2.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,32.0,32.0,24.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Lee,1.7941176470588236,1.2307692307692308,0.0,0.0,0.0,1.8805970149253732,0.0,0.0,0.4158415841584158,0.75,0.7975460122699386,0.9047619047619048,0.0,0.0,0.0,0.0,0.9185185185185185,1.1428571428571428,0.0,1.0,0.8536585365853658,1.1538461538461537,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.5,3.0,0.0,0.0,1.4,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,16.0,0.0,0.0,0.0,126.0,0.0,0.0,42.0,30.0,130.0,152.0,0.0,0.0,0.0,0.0,124.0,8.0,0.0,6.0,70.0,30.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,0.0,0.0,98.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David West,1.6521739130434783,1.4285714285714286,0.0,0.0,0.0,1.8333333333333333,0.0,2.0,0.7081339712918661,0.7450980392156863,0.9770992366412213,0.9922480620155039,0.8571428571428571,0.0,0.0,0.0,1.1492537313432836,1.1764705882352942,0.0,2.0,1.4035087719298245,1.1666666666666667,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.6216216216216217,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,20.0,0.0,0.0,0.0,22.0,0.0,2.0,148.0,76.0,256.0,128.0,6.0,0.0,0.0,0.0,154.0,20.0,0.0,4.0,80.0,14.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,60.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeAndre Jordan,2.0,1.3333333333333333,0.0,0.0,0.0,1.7752808988764044,1.0,0.0,0.6896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847457627118644,0.8,0.0,0.0,1.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5702479338842976,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,158.0,6.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeJuan Blair,1.6470588235294117,1.0,0.0,0.0,0.0,1.7241379310344827,0.0,2.0,0.6865671641791045,0.6060606060606061,0.42424242424242425,0.0,0.0,0.0,0.0,0.0,1.2093023255813953,0.9230769230769231,0.0,1.0,1.1851851851851851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,0.0,0.0,0.0,50.0,0.0,2.0,92.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,260.0,12.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeMar DeRozan,1.2662721893491125,1.2941176470588236,0.0,0.0,0.0,1.826086956521739,2.0,2.0,0.7666666666666667,0.7272727272727273,0.8743718592964824,0.7064220183486238,0.125,0.0,0.6000000000000001,0.0,1.0260869565217392,1.0,0.0,2.0,1.2,1.0,1.3043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.8571428571428571,0.8947368421052632,1.0833333333333333,0.0,0.0,0.0,1.0909090909090908,2.0,0.0,0.0,0.0,2.0,1.6363636363636365,1.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,22.0,0.0,0.0,0.0,42.0,2.0,2.0,92.0,56.0,174.0,154.0,3.0,0.0,3.0,0.0,118.0,4.0,0.0,2.0,12.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,34.0,26.0,0.0,0.0,0.0,36.0,4.0,0.0,0.0,0.0,2.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
DeMarcus Cousins,1.3888888888888888,1.1428571428571428,0.0,0.0,0.0,1.7826086956521738,0.0,0.0,0.45132743362831856,0.39215686274509803,0.7552447552447552,0.7969924812030075,0.6000000000000001,0.0,0.0,0.0,1.0833333333333333,1.0,0.0,0.0,0.96,1.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8.0,0.0,0.0,0.0,82.0,0.0,0.0,102.0,20.0,108.0,106.0,9.0,0.0,0.0,0.0,182.0,20.0,0.0,0.0,72.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,72.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
DeMarre Carroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeSagana Diop,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeShawn Stevenson,0.9230769230769231,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8130081300813008,1.1020408163265307,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,162.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delonte West,1.7777777777777777,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0769230769230769,1.1428571428571428,1.5,0.0,0.0,0.5,0.0,0.0,0.0,2.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,16.0,28.0,24.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Fisher,1.103448275862069,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.631578947368421,0.810126582278481,0.7384615384615385,1.1764705882352942,0.0,0.0,0.0,0.9090909090909091,1.0,0.0,0.0,0.8,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,64.0,144.0,120.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deron Williams,1.312,0.9523809523809523,1.0,0.0,0.0,2.0,0.0,0.0,0.7526881720430108,0.6818181818181818,0.6813186813186813,0.85,1.037593984962406,0.0,0.6000000000000001,0.75,1.0576923076923077,1.5,0.0,0.0,0.4,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.6666666666666667,1.6,2.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,164.0,20.0,2.0,0.0,0.0,12.0,0.0,0.0,70.0,30.0,62.0,136.0,276.0,0.0,3.0,3.0,110.0,12.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,8.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Brown,1.8181818181818181,2.0,0.0,0.0,0.0,1.9333333333333333,2.0,0.0,0.0,1.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Caracter,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.35294117647058826,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,1.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Favors,0.7692307692307693,2.0,0.0,0.0,0.0,1.7818181818181817,2.0,0.0,0.75,0.5555555555555556,0.5333333333333333,0.5714285714285714,0.0,0.0,0.0,0.0,1.0337078651685394,0.5714285714285714,0.0,1.3333333333333333,0.5806451612903226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3417721518987342,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,98.0,2.0,0.0,36.0,10.0,24.0,4.0,0.0,0.0,0.0,0.0,92.0,4.0,0.0,4.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Rose,1.4412955465587045,1.25,0.0,0.0,0.0,2.0,0.0,0.0,0.5660377358490566,0.735632183908046,0.7843137254901961,0.7217391304347827,1.0248447204968945,0.0,0.2,0.0,0.8481675392670157,0.7272727272727273,0.0,0.0,1.5555555555555556,1.3333333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,1.619047619047619,1.3333333333333333,2.3333333333333335,0.0,0.0,1.2727272727272727,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,50.0,0.0,0.0,0.0,42.0,0.0,0.0,90.0,64.0,120.0,166.0,330.0,0.0,3.0,0.0,162.0,16.0,0.0,0.0,14.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,34.0,28.0,21.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Ebanks,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8571428571428571,0.6666666666666666,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
