playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Pullup_00-02 At Rim,PPS_Pullup_03-08 Near Rim,PPS_Pullup_09-12 Short Range,PPS_Pullup_13-17 Mid Range,PPS_Pullup_18-23 Long Jumper,PPS_Pullup_24-27 Three,PPS_Pullup_28-34 Deep,PPS_Pullup_35-46 Near Half,PPS_Pullup_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,PPS_invalid_24-27 Three,PPS_invalid_28-34 Deep,PPS_invalid_35-46 Near Half,PPS_invalid_47-94 Backcourt,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Pullup_00-02 At Rim,Points_Pullup_03-08 Near Rim,Points_Pullup_09-12 Short Range,Points_Pullup_13-17 Mid Range,Points_Pullup_18-23 Long Jumper,Points_Pullup_24-27 Three,Points_Pullup_28-34 Deep,Points_Pullup_35-46 Near Half,Points_Pullup_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper,Points_invalid_24-27 Three,Points_invalid_28-34 Deep,Points_invalid_35-46 Near Half,Points_invalid_47-94 Backcourt
AJ Price,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,1.25,0.6451612903225806,0.8235294117647058,0.8630136986301369,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,20.0,14.0,63.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Gray,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.625,0.8,0.75,0.0,0.0,0.0,0.0,0.0,1.25,1.0,2.0,0.5925925925925926,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,10.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,80.0,2.0,6.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Harrington,1.2328767123287672,0.2857142857142857,0.0,0.0,2.0,0.0,0.0,0.42105263157894735,0.6153846153846154,0.7058823529411765,0.8208955223880597,0.9272727272727272,0.0,0.0,0.0,1.1791907514450868,0.3333333333333333,2.0,0.9230769230769231,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,90.0,2.0,0.0,0.0,48.0,0.0,0.0,16.0,8.0,24.0,110.0,204.0,0.0,0.0,0.0,204.0,2.0,4.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Al Horford,2.0,2.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.1111111111111112,1.0,0.5333333333333333,1.0,0.0,0.0,0.0,0.0,1.0588235294117647,1.0,0.0,1.2,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,10.0,2.0,8.0,18.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,12.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Jefferson,1.4,2.0,0.0,0.0,1.8333333333333333,0.0,2.0,0.8533333333333334,0.7017543859649122,0.7669902912621359,0.8461538461538461,0.75,0.0,0.0,0.0,1.2357723577235773,1.2857142857142858,1.3333333333333333,1.3176470588235294,1.08,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1627906976744187,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,88.0,0.0,2.0,192.0,80.0,158.0,88.0,3.0,0.0,0.0,0.0,152.0,18.0,4.0,112.0,54.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Al-Farouq Aminu,1.5294117647058822,1.0,0.0,0.0,1.8518518518518519,2.0,0.0,0.5862068965517241,0.8,0.21428571428571427,0.7384615384615385,0.8571428571428571,0.0,0.0,0.0,0.7435897435897436,0.4,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,50.0,4.0,0.0,34.0,12.0,6.0,48.0,30.0,0.0,0.0,0.0,58.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Anderson,1.2727272727272727,2.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.625,0.8275862068965517,1.1333333333333333,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,24.0,51.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,1.7391304347826086,1.3333333333333333,0.0,0.0,2.0,0.0,2.0,0.43137254901960786,0.42857142857142855,0.5,0.7088607594936709,1.1379310344827585,0.0,0.0,0.0,0.9736842105263158,1.2,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.411764705882353,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,0.0,0.0,26.0,0.0,2.0,22.0,6.0,16.0,56.0,33.0,0.0,0.0,0.0,74.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alonzo Gee,1.4193548387096775,0.6666666666666666,0.0,0.0,1.8125,0.0,2.0,0.3380281690140845,0.3333333333333333,0.6511627906976745,0.6739130434782609,1.0481927710843375,0.0,0.0,0.0,0.8775510204081632,0.0,0.0,0.5714285714285714,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.1578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,4.0,0.0,0.0,58.0,0.0,2.0,24.0,8.0,28.0,62.0,87.0,0.0,0.0,0.0,86.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Amare Stoudemire,1.5,0.8,0.0,0.0,1.9384615384615385,0.0,0.0,0.4888888888888889,0.5517241379310345,0.6486486486486487,0.7238095238095238,1.0,0.0,0.0,0.0,1.1652173913043478,1.0,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,4.0,0.0,0.0,126.0,0.0,0.0,44.0,16.0,72.0,76.0,12.0,0.0,0.0,0.0,134.0,4.0,4.0,28.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Johnson,1.6666666666666667,0.0,0.0,0.0,2.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.7272727272727273,1.0,0.0,0.0,0.0,1.2162162162162162,0.0,1.5,1.2222222222222223,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,58.0,0.0,2.0,16.0,2.0,24.0,48.0,3.0,0.0,0.0,0.0,90.0,0.0,6.0,44.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anderson Varejao,1.5555555555555556,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.6666666666666666,0.6956521739130435,0.8,0.0,0.0,0.0,0.0,1.3658536585365855,0.0,1.0,0.25,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972972972972973,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,12.0,0.0,0.0,14.0,8.0,16.0,4.0,0.0,0.0,0.0,0.0,112.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andray Blatche,1.6363636363636365,2.0,0.0,0.0,2.0,2.0,0.0,0.21428571428571427,0.47058823529411764,0.7142857142857143,0.47761194029850745,1.0,1.0,0.0,0.0,0.9523809523809523,0.0,0.0,1.3333333333333333,1.3333333333333333,1.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,12.0,2.0,0.0,6.0,8.0,30.0,32.0,3.0,3.0,0.0,0.0,40.0,0.0,0.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Iguodala,1.6,1.6,0.0,0.0,2.0,0.0,0.0,0.4,0.5,0.5777777777777777,0.6713286713286714,1.1379310344827585,1.0,0.0,0.0,0.8936170212765957,0.0,0.0,1.5,1.3333333333333333,1.2727272727272727,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.25,2.571428571428571,0.0,0.0,0.0,1.8095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,8.0,0.0,0.0,74.0,0.0,0.0,12.0,8.0,52.0,96.0,165.0,3.0,0.0,0.0,42.0,0.0,0.0,6.0,4.0,14.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,10.0,18.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Miller,1.4473684210526316,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.48717948717948717,0.7441860465116279,0.6197183098591549,0.3333333333333333,0.78,0.42857142857142855,0.0,0.3333333333333333,1.1607142857142858,1.3333333333333333,2.0,0.8,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,2.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,10.0,0.0,0.0,0.0,0.0,0.0,38.0,32.0,44.0,12.0,39.0,3.0,0.0,3.0,130.0,4.0,2.0,12.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Bargnani,1.3333333333333333,0.75,2.0,0.0,2.0,0.0,0.0,0.9032258064516129,0.8,0.7222222222222222,0.7727272727272727,0.9252336448598131,1.5,0.0,0.0,0.9629629629629629,0.0,2.0,0.8421052631578947,0.5,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,1.5555555555555556,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,6.0,2.0,0.0,10.0,0.0,0.0,28.0,16.0,52.0,68.0,99.0,3.0,0.0,0.0,26.0,0.0,2.0,16.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,28.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andres Nocioni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Bogut,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8,0.0,1.2,0.8,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.47058823529411764,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,12.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Bynum,1.6,0.0,0.0,0.0,1.8888888888888888,2.0,2.0,0.5298013245033113,0.5,0.5217391304347826,0.0,0.0,3.0,0.0,0.0,1.263157894736842,0.9090909090909091,1.6,1.0335570469798658,0.64,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5639097744360901,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,136.0,4.0,4.0,80.0,18.0,12.0,0.0,0.0,3.0,0.0,0.0,192.0,10.0,16.0,154.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Goudelock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125,1.2222222222222223,0.6666666666666666,0.5945945945945946,1.1129032258064515,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,14.0,22.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Andris Biedrins,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antawn Jamison,1.625,1.0,0.0,0.0,2.0,0.0,0.0,0.7337278106508875,0.6538461538461539,0.42696629213483145,0.625,1.017391304347826,0.0,0.0,0.0,1.2486187845303867,0.8571428571428571,0.0,1.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1219512195121952,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,4.0,0.0,0.0,124.0,34.0,38.0,130.0,234.0,0.0,0.0,0.0,226.0,6.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Carter,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.3076923076923077,1.6666666666666667,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Morrow,1.2727272727272727,0.0,0.0,0.0,2.0,0.0,0.0,0.6875,0.8333333333333334,0.8455284552845529,0.8018433179723502,1.1337209302325582,3.0,0.0,0.0,1.2,1.0,0.0,0.8,1.2,0.8421052631578947,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,30.0,104.0,174.0,195.0,6.0,0.0,0.0,18.0,2.0,0.0,4.0,6.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Parker,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.5714285714285714,0.625,0.96,0.8717948717948718,1.103448275862069,0.0,0.0,0.0,1.25,0.0,0.0,0.6666666666666666,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0,10.0,48.0,102.0,96.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Randolph,1.3846153846153846,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.5454545454545454,0.5333333333333333,0.7878787878787878,0.0,0.0,0.0,0.0,1.0232558139534884,0.0,0.0,0.6666666666666666,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,24.0,0.0,0.0,12.0,6.0,16.0,26.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Tolliver,1.7142857142857142,0.0,0.0,0.0,2.0,0.0,0.0,0.3333333333333333,1.0,0.4444444444444444,0.6382978723404256,0.65,0.0,0.0,0.0,1.2173913043478262,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,2.0,4.0,30.0,39.0,0.0,0.0,0.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armon Johnson,1.25,1.0,0.0,0.0,2.0,0.0,0.0,1.1111111111111112,1.3333333333333333,0.0,0.0,1.5,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,10.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
