playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Drive_18-23 Long Jumper,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_09-12 Short Range,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_24-27 Three,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Drive_18-23 Long Jumper,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_09-12 Short Range,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_24-27 Three,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_24-27 Three
Alton Lister,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,0.0,0.0,0.0,0.0,0.4864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
Amal McCaskill,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Andrew DeClercq,1.6666666666666667,0.0,0.0,0.0,0.0,1.9444444444444444,0.0,0.0,0.0,0.6111111111111112,0.8333333333333334,0.35294117647058826,1.0,0.0,0.0,0.0,0.0,0.9508196721311475,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,1.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,22.0,10.0,6.0,2.0,0.0,0.0,0.0,0.0,116.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
Andrew Lang,2.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.37037037037037035,0.4166666666666667,0.7647058823529411,1.3333333333333333,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.5,1.263157894736842,1.1428571428571428,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,10.0,10.0,26.0,4.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,6.0,48.0,8.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Anfernee Hardaway,1.5368421052631578,0.0,0.0,0.0,0.0,1.84,0.0,0.0,1.5,0.847457627118644,0.6774193548387096,0.7920792079207921,0.6473029045643154,0.9402985074626866,0.0,0.0,0.0,0.8439306358381503,0.0,0.0,0.0,0.0,0.0,2.0,1.5,2.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,6.0,100.0,42.0,80.0,156.0,63.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Anthony Goldwire,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.5714285714285714,0.5,0.8943089430894309,1.5,3.0,0.0,0.0,0.4482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,14.0,110.0,66.0,3.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Mason,1.911764705882353,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.819672131147541,1.1058823529411765,1.1262135922330097,1.5384615384615385,1.5,0.0,0.0,0.0,0.8409090909090909,0.0,0.0,0.0,0.0,0.0,2.0,1.4444444444444444,0.0,0.0,0.0,1.4545454545454546,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,4.0,50.0,94.0,116.0,20.0,3.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
Anthony Peeler,1.3968253968253967,0.0,0.0,0.0,0.0,1.4444444444444444,0.0,0.0,0.0,0.7346938775510204,0.8,0.827906976744186,0.7414634146341463,1.0857142857142856,0.0,0.0,0.0,0.5434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,36.0,36.0,178.0,304.0,114.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
Antoine Carr,1.75,0.0,0.0,0.0,0.0,1.9090909090909092,0.0,0.0,2.0,0.7391304347826086,0.847457627118644,0.8717948717948718,0.90625,0.0,0.0,0.0,0.0,0.8444444444444444,0.0,0.0,0.0,0.0,0.0,1.0,1.2131147540983607,2.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,2.0,34.0,50.0,136.0,58.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,4.0,74.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Antoine Walker,1.8991596638655461,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.6966292134831461,0.8169014084507042,0.7160493827160493,0.8,0.75,1.5,0.0,0.0,0.5722983257229832,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,0.5,0.0,0.0,1.5471698113207548,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,2.0,62.0,58.0,58.0,112.0,45.0,3.0,0.0,0.0,376.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0
