playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Drive_18-23 Long Jumper,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Post_47-94 Backcourt,PPS_Pullup_00-02 At Rim,PPS_Pullup_03-08 Near Rim,PPS_Pullup_09-12 Short Range,PPS_Pullup_13-17 Mid Range,PPS_Pullup_18-23 Long Jumper,PPS_Pullup_24-27 Three,PPS_Pullup_28-34 Deep,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,PPS_invalid_24-27 Three,PPS_invalid_28-34 Deep,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Drive_18-23 Long Jumper,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Post_47-94 Backcourt,Points_Pullup_00-02 At Rim,Points_Pullup_03-08 Near Rim,Points_Pullup_09-12 Short Range,Points_Pullup_13-17 Mid Range,Points_Pullup_18-23 Long Jumper,Points_Pullup_24-27 Three,Points_Pullup_28-34 Deep,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper,Points_invalid_24-27 Three,Points_invalid_28-34 Deep
Jason Kidd,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.375,0.6666666666666666,0.7445887445887446,1.1452282157676348,0.0,0.0,0.0,0.8,0.0,2.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,52.0,172.0,276.0,0.0,0.0,0.0,60.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Maxiell,1.3333333333333333,0.0,0.0,0.0,0.0,1.5616438356164384,0.0,0.0,0.8571428571428571,0.7647058823529411,0.7848101265822784,0.896551724137931,0.0,0.0,0.0,0.0,0.9662921348314607,2.0,0.0,1.2941176470588236,0.875,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5510204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,30.0,26.0,62.0,26.0,0.0,0.0,0.0,0.0,86.0,2.0,0.0,22.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Richardson,1.5061728395061729,2.0,0.0,0.0,0.0,1.7826086956521738,0.0,2.0,0.6666666666666666,0.5789473684210527,0.7407407407407407,0.7746835443037975,1.2734375,0.21428571428571427,0.0,0.0,0.8298755186721992,0.0,2.0,0.6666666666666666,1.3333333333333333,0.7741935483870968,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,2.0,3.0,0.0,1.4838709677419355,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,10.0,0.0,0.0,0.0,82.0,0.0,2.0,34.0,22.0,80.0,306.0,489.0,3.0,0.0,0.0,200.0,0.0,2.0,10.0,16.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,0.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Smith,2.0,0.0,0.0,0.0,0.0,1.878787878787879,2.0,2.0,0.3225806451612903,0.6666666666666666,0.7294117647058823,0.8292682926829268,0.6000000000000001,0.0,0.0,0.0,0.8214285714285714,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,62.0,2.0,4.0,10.0,16.0,62.0,34.0,6.0,0.0,0.0,0.0,46.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Terry,1.4545454545454546,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.7924528301886793,0.9166666666666666,0.968421052631579,0.8515625,1.1428571428571428,0.5,0.0,0.0,1.0649350649350648,0.0,0.0,1.1428571428571428,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25,1.3333333333333333,1.6923076923076923,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,96.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,42.0,44.0,184.0,218.0,264.0,3.0,0.0,0.0,82.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,20.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jeff Foster,1.8571428571428572,0.0,0.0,0.0,0.0,1.8333333333333333,2.0,0.0,0.5161290322580645,0.5,0.8518518518518519,0.7894736842105263,0.0,0.0,0.0,0.0,1.3134328358208955,1.0,0.0,1.0769230769230769,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.027027027027027,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0,16.0,4.0,46.0,30.0,0.0,0.0,0.0,0.0,176.0,8.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Green,1.7777777777777777,2.0,0.0,0.0,0.0,1.6756756756756757,0.0,0.5,0.5869565217391305,0.2631578947368421,0.6346153846153846,0.6620689655172414,0.5806451612903225,0.0,0.0,0.0,0.8296296296296296,0.0,1.3333333333333333,1.3,0.782608695652174,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.4705882352941178,0.0,0.0,0.0,0.0,0.0,1.6,2.0,0.0,0.0,0.0,0.0,80.0,2.0,0.0,0.0,0.0,62.0,0.0,2.0,54.0,10.0,66.0,96.0,18.0,0.0,0.0,0.0,112.0,0.0,4.0,52.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
Jermaine ONeal,1.5,2.0,0.0,0.0,0.0,1.92,2.0,0.0,0.3287671232876712,0.6216216216216216,0.717948717948718,0.6428571428571429,0.0,0.0,0.0,0.0,1.0746268656716418,1.0,0.0,1.391304347826087,1.0666666666666667,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,48.0,4.0,0.0,24.0,46.0,84.0,18.0,0.0,0.0,0.0,0.0,72.0,2.0,0.0,64.0,32.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Jerry Stackhouse,1.3793103448275863,0.0,0.0,0.0,0.0,1.8571428571428572,0.0,0.0,0.6666666666666666,0.7222222222222222,0.5641025641025641,0.8082191780821918,0.9157894736842105,0.0,0.0,0.0,1.0571428571428572,0.0,0.0,0.0,0.8888888888888888,0.2222222222222222,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,8.0,26.0,44.0,118.0,87.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joakim Noah,1.6666666666666667,0.0,0.0,0.0,0.0,1.849056603773585,2.0,0.0,0.48,0.0,0.2857142857142857,0.4,0.0,0.0,0.0,0.0,0.8985507246376812,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,98.0,2.0,0.0,12.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Johnson,1.3478260869565217,1.5,0.0,0.0,0.0,1.8,0.0,2.0,1.0138888888888888,0.8596491228070176,0.6565656565656566,0.7697160883280757,1.1447368421052633,1.275,0.0,0.5,0.9342105263157895,1.0,0.0,1.1666666666666667,1.0769230769230769,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.5,2.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,124.0,6.0,0.0,0.0,0.0,18.0,0.0,2.0,146.0,98.0,130.0,244.0,348.0,51.0,0.0,3.0,142.0,2.0,0.0,42.0,14.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Joe Smith,2.0,0.0,0.0,0.0,0.0,1.7272727272727273,0.0,0.0,0.8571428571428571,0.8771929824561403,0.8554913294797688,0.8611111111111112,0.0,0.0,0.0,0.0,0.8846153846153846,0.0,1.0,1.2777777777777777,1.2857142857142858,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,42.0,50.0,148.0,124.0,0.0,0.0,0.0,0.0,92.0,0.0,4.0,46.0,36.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Joel Anthony,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.368421052631579,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Przybilla,1.75,0.0,0.0,0.0,0.0,1.8181818181818181,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,1.2222222222222223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.434782608695652,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joey Graham,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8888888888888888,0.4,1.1,0.4444444444444444,2.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,2.0,22.0,12.0,6.0,0.0,0.0,0.0,20.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johan Petro,0.0,0.0,0.0,0.0,0.0,1.619047619047619,0.0,0.0,0.6938775510204082,0.84,0.7769784172661871,0.7647058823529411,0.0,0.0,0.0,0.0,0.7272727272727273,1.0,0.5,1.0769230769230769,0.5714285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0,42.0,108.0,26.0,0.0,0.0,0.0,0.0,32.0,2.0,2.0,56.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
John Salmons,1.633587786259542,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.88,0.49056603773584906,0.8037383177570093,0.7045454545454546,0.9230769230769231,0.0,0.0,0.0,0.9273743016759777,0.0,0.0,1.25,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,4.0,0.0,0.0,0.0,30.0,0.0,2.0,88.0,26.0,86.0,62.0,72.0,0.0,0.0,0.0,166.0,0.0,0.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Farmar,1.5555555555555556,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.631578947368421,0.9523809523809523,0.6111111111111112,0.8571428571428571,1.095890410958904,1.3333333333333333,0.75,0.0,0.9347826086956522,2.0,0.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3333333333333333,2.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,112.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,20.0,22.0,108.0,240.0,12.0,3.0,0.0,86.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Jose Calderon,1.540983606557377,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9090909090909091,0.8405797101449275,0.976,1.3448275862068966,0.0,0.0,3.0,0.7441860465116279,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.2413793103448276,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,58.0,244.0,195.0,0.0,0.0,3.0,32.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,36.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Childress,1.15,2.0,0.0,0.0,0.0,1.7971014492753623,1.0,2.0,0.4375,0.0,1.0909090909090908,0.6792452830188679,1.32,0.0,0.0,0.0,1.1111111111111112,1.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,92.0,10.0,0.0,0.0,0.0,124.0,2.0,2.0,14.0,0.0,12.0,36.0,33.0,0.0,0.0,0.0,210.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Josh Howard,1.5348837209302326,1.2,0.0,0.0,0.0,2.0,0.0,1.3333333333333333,0.7708333333333334,0.7678571428571429,0.8389830508474576,0.7279411764705882,0.9803921568627452,0.0,0.0,0.0,1.087719298245614,2.0,0.0,1.1875,1.2380952380952381,1.25,2.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0476190476190477,0.6666666666666666,3.0,0.0,1.3571428571428572,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,132.0,6.0,0.0,0.0,0.0,38.0,0.0,4.0,74.0,86.0,198.0,198.0,150.0,0.0,0.0,0.0,124.0,2.0,0.0,38.0,26.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,22.0,4.0,3.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Josh McRoberts,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Powell,1.8571428571428572,0.0,0.0,0.0,0.0,1.8181818181818181,0.0,2.0,0.631578947368421,0.6153846153846154,0.6666666666666666,0.8571428571428571,0.0,0.0,0.0,0.0,0.9361702127659575,0.0,2.0,0.7368421052631579,1.2307692307692308,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,12.0,16.0,42.0,24.0,0.0,0.0,0.0,0.0,88.0,0.0,2.0,14.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Smith,1.4745762711864407,2.0,0.0,0.0,0.0,1.9661016949152543,0.0,0.0,0.4485981308411215,0.3404255319148936,0.5783132530120482,0.582010582010582,0.7808219178082192,1.0,0.0,0.0,1.0333333333333334,2.0,1.0,0.9873417721518988,0.5555555555555556,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.565217391304348,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,174.0,6.0,0.0,0.0,0.0,116.0,0.0,0.0,48.0,16.0,48.0,110.0,57.0,6.0,0.0,0.0,248.0,4.0,6.0,78.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Julian Wright,2.0,0.0,0.0,0.0,0.0,1.8666666666666667,0.0,0.0,0.2222222222222222,0.6666666666666666,0.5882352941176471,0.896551724137931,0.8823529411764706,0.0,0.0,0.0,0.8,0.0,0.0,1.3333333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.7692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,2.0,4.0,10.0,26.0,15.0,0.0,0.0,0.0,28.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Juwan Howard,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,8.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Bogans,1.3658536585365855,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8,0.6666666666666666,0.5555555555555556,0.7282608695652174,1.1174089068825912,0.0,0.0,0.0,1.1746031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,10.0,10.0,134.0,276.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelenna Azubuike,1.7619047619047619,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.7142857142857143,0.64,0.8125,0.7413793103448276,1.0714285714285714,1.5,0.0,0.0,0.7272727272727273,0.0,2.0,1.2857142857142858,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.3488372093023255,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,74.0,6.0,0.0,0.0,0.0,14.0,0.0,0.0,40.0,16.0,26.0,86.0,135.0,3.0,0.0,0.0,80.0,0.0,2.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Kendrick Perkins,1.0,0.0,0.0,0.0,0.0,1.901639344262295,0.0,0.0,0.4,0.6666666666666666,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,1.1578947368421053,2.0,1.0,1.3636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6296296296296295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,176.0,4.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
