playername,PPS_Cut_00-02 At Rim,PPS_Cut_03-08 Near Rim,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Drive_18-23 Long Jumper,PPS_Drive_24-27 Three,PPS_Drive_28-34 Deep,PPS_Drive_35-46 Near Half,PPS_Drive_47-94 Backcourt,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_47-94 Backcourt,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_47-94 Backcourt,PPS_Pullup_00-02 At Rim,PPS_Pullup_03-08 Near Rim,PPS_Pullup_09-12 Short Range,PPS_Pullup_13-17 Mid Range,PPS_Pullup_18-23 Long Jumper,PPS_Pullup_24-27 Three,PPS_Pullup_28-34 Deep,PPS_Pullup_35-46 Near Half,PPS_Pullup_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,Points_Cut_00-02 At Rim,Points_Cut_03-08 Near Rim,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Drive_18-23 Long Jumper,Points_Drive_24-27 Three,Points_Drive_28-34 Deep,Points_Drive_35-46 Near Half,Points_Drive_47-94 Backcourt,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_47-94 Backcourt,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_47-94 Backcourt,Points_Pullup_00-02 At Rim,Points_Pullup_03-08 Near Rim,Points_Pullup_09-12 Short Range,Points_Pullup_13-17 Mid Range,Points_Pullup_18-23 Long Jumper,Points_Pullup_24-27 Three,Points_Pullup_28-34 Deep,Points_Pullup_35-46 Near Half,Points_Pullup_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper
AJ Hammons,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Brooks,0.0,0.0,1.1219512195121952,0.6666666666666666,1.3333333333333333,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.7272727272727273,1.0476190476190477,0.7586206896551724,1.051948051948052,0.8999999999999999,0.75,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,1.6875,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,46.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,22.0,22.0,81.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,27.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Aaron Gordon,1.7857142857142858,2.0,1.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9047619047619047,0.0,0.0,0.35294117647058826,0.5833333333333334,0.6197183098591549,0.5106382978723404,0.9299999999999999,0.75,0.0,0.0,1.1466666666666667,1.5,0.0,2.0,0.9230769230769231,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,0.918918918918919,1.3846153846153846,0.8571428571428571,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,68.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,12.0,14.0,44.0,48.0,186.0,3.0,0.0,0.0,86.0,6.0,0.0,2.0,12.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,34.0,18.0,6.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Harrison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adreian Payne,2.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.8888888888888888,0.6428571428571428,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,2.0,8.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,1.6875,0.0,1.6,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,0.0,0.5,0.56,0.7733333333333333,0.8,1.0788177339901477,0.0,0.0,0.0,1.0638297872340425,1.3333333333333333,0.0,1.3333333333333333,1.0275229357798166,1.173913043478261,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,72.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,16.0,14.0,58.0,84.0,219.0,0.0,0.0,0.0,50.0,4.0,0.0,8.0,112.0,54.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Jefferson,1.7777777777777777,2.0,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.946236559139785,0.7931034482758621,0.5084745762711864,0.631578947368421,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.5,1.2075471698113207,0.8571428571428571,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,2.0,0.0,0.0,0.0,0.0,1.103448275862069,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,88.0,46.0,30.0,12.0,0.0,0.0,0.0,0.0,112.0,16.0,0.0,2.0,64.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Farouq Aminu,1.6,0.0,1.0769230769230769,0.7777777777777778,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.46153846153846156,0.5714285714285714,0.0,0.7333333333333333,0.9923076923076923,0.0,0.0,0.0,0.6956521739130435,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8571428571428571,0.6666666666666666,1.0,0.0,0.0,0.0,0.96,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,56.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,2.0,12.0,4.0,0.0,66.0,129.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,4.0,3.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Alan Anderson,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,1.161290322580645,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,0.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Williams,1.5675675675675675,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8936170212765957,1.0526315789473684,0.75,0.0,0.0,0.0,0.0,0.0,1.0943396226415094,1.3333333333333333,0.0,2.0,0.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,42.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,58.0,4.0,0.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,1.0,0.0,0.6451612903225806,1.2307692307692308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6,0.8,0.4,0.7428571428571429,0.9069767441860465,0.0,0.0,0.0,0.7692307692307693,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0,1.0,1.5,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,8.0,4.0,26.0,39.0,0.0,0.0,0.0,20.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,16.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Abrines,1.3333333333333333,0.0,1.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.75,0.2857142857142857,1.0,0.8235294117647058,1.1311475409836065,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8,0.5,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,4.0,56.0,207.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Len,1.702127659574468,0.6666666666666666,1.0769230769230769,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5897435897435896,0.0,0.0,0.4,0.2857142857142857,0.7301587301587301,0.5161290322580645,1.0,0.0,0.0,0.0,0.9722222222222222,1.0,0.0,1.2,0.875,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3442622950819672,2.0,0.0,2.0,0.0,0.0,0.0,0.0,80.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,14.0,4.0,46.0,16.0,6.0,0.0,0.0,0.0,70.0,2.0,0.0,6.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
Alex Poythress,2.0,0.0,1.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.9375,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Ajinca,2.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.7142857142857143,1.4,0.7272727272727273,0.7878787878787878,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.7368421052631579,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,10.0,14.0,16.0,26.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Crabbe,1.6666666666666667,2.0,1.1428571428571428,0.625,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.96,1.0,1.0,0.7712418300653595,1.3686635944700463,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9285714285714286,1.0,1.2000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,30.0,2.0,40.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,24.0,8.0,26.0,118.0,297.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,26.0,34.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Alonzo Gee,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Johnson,1.794871794871795,0.0,1.5789473684210527,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,2.0,0.5555555555555556,0.8,0.0,0.6666666666666666,1.3404255319148937,0.0,0.0,0.0,1.121212121212121,1.0,0.0,1.2,1.0169491525423728,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.469387755102041,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,2.0,10.0,4.0,0.0,16.0,63.0,0.0,0.0,0.0,74.0,4.0,0.0,6.0,60.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Anderson Varejao,0.0,0.0,0.6666666666666666,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Drummond,2.0,2.0,1.1,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6097560975609757,0.0,2.0,0.410958904109589,0.42857142857142855,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.1323529411764706,1.0,0.0,1.2727272727272727,0.8507462686567164,0.9032258064516129,0.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.4638297872340424,0.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,2.0,30.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,154.0,6.0,0.0,14.0,228.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,344.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Iguodala,1.9230769230769231,0.0,1.6842105263157894,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.945945945945946,0.0,0.0,0.4444444444444444,0.0,0.5454545454545454,0.6585365853658537,1.0,0.0,0.0,0.0,0.9795918367346939,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.4545454545454546,2.0,0.0,0.0,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,4.0,0.0,12.0,54.0,87.0,0.0,0.0,0.0,48.0,0.0,0.0,2.0,6.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,32.0,30.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Roberson,1.702127659574468,2.0,1.1515151515151516,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9166666666666667,0.0,2.0,0.26666666666666666,0.0,0.0,0.4935064935064935,0.7428571428571429,0.0,0.0,0.0,1.120879120879121,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.1818181818181819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,4.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,2.0,4.0,0.0,0.0,38.0,78.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Bogut,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,0.0,0.0,0.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Harrison,1.5,0.0,1.0819672131147542,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5714285714285714,0.0,0.25,0.7555555555555555,0.6923076923076923,1.5,0.0,0.0,0.5161290322580645,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.6,0.2857142857142857,2.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,66.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,6.0,34.0,81.0,6.0,0.0,0.0,16.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Nicholson,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6666666666666666,0.2857142857142857,1.25,0.5454545454545454,0.75,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,2.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,2.0,10.0,6.0,15.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,1.5714285714285714,0.0,1.396039603960396,1.2307692307692308,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.9166666666666667,0.0,0.0,0.48,0.5957446808510638,0.5961538461538461,0.7017543859649122,1.0308370044052864,0.25,0.0,0.0,0.9866666666666667,0.0,0.0,1.0,0.9777777777777777,0.6829268292682927,0.9315068493150684,0.9090909090909091,0.0,0.0,0.0,0.0,1.2,0.4444444444444444,0.898876404494382,0.8925619834710744,1.8333333333333335,3.0,0.0,0.0,1.3703703703703705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,282.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,48.0,28.0,62.0,120.0,234.0,3.0,0.0,0.0,148.0,0.0,0.0,2.0,44.0,28.0,68.0,10.0,0.0,0.0,0.0,0.0,6.0,4.0,80.0,108.0,33.0,3.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Bennett,1.3333333333333333,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,1.0999999999999999,0.0,0.0,0.0,0.8333333333333334,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
