playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_13-17 Mid Range,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_28-34 Deep,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_13-17 Mid Range,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_28-34 Deep,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim
Tim Duncan,1.619047619047619,1.3333333333333333,0.0,0.0,1.921259842519685,0.0,0.0,1.3333333333333333,0.8817204301075269,0.8957055214723927,0.7607361963190185,0.8571428571428571,0.0,0.0,0.0,0.0,1.0633802816901408,1.2,0.0,0.0,0.0,1.12,1.2926829268292683,1.3333333333333333,0.0,0.0,0.0,0.0,1.5675675675675675,0.0,0.0,0.0,0.0,0.0,102.0,4.0,0.0,0.0,244.0,0.0,0.0,8.0,246.0,146.0,124.0,30.0,0.0,0.0,0.0,0.0,302.0,6.0,0.0,0.0,0.0,28.0,106.0,8.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0
Tim Hardaway,1.3986013986013985,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.9243697478991597,0.7936507936507936,0.7058823529411765,0.8780487804878049,1.1129032258064515,0.30000000000000004,0.0,0.5,0.8990825688073395,0.0,0.0,0.0,0.0,2.0,0.6363636363636364,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,110.0,50.0,96.0,252.0,414.0,3.0,0.0,3.0,98.0,0.0,0.0,0.0,0.0,2.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Thomas,1.8208955223880596,0.0,0.0,0.0,1.5616438356164384,0.0,0.0,0.5,0.3389830508474576,0.6206896551724138,0.6185567010309279,0.7469879518072289,1.1172413793103448,3.0,0.0,0.0,0.7959183673469388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1304347826086956,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,114.0,0.0,0.0,2.0,20.0,18.0,60.0,62.0,162.0,3.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
Todd Fuller,0.0,0.0,0.0,0.0,1.8666666666666667,0.0,0.0,0.0,0.5,0.6,0.64,0.8,0.0,0.0,0.0,0.0,1.2195121951219512,0.0,0.0,0.0,0.0,2.0,0.8,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,8.0,12.0,48.0,12.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Tom Hammonds,1.2941176470588236,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.6382978723404256,0.896551724137931,0.6896551724137931,1.3333333333333333,0.0,0.0,0.0,0.0,1.2,1.3333333333333333,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,30.0,26.0,20.0,4.0,0.0,0.0,0.0,0.0,72.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Toni Kukoc,1.6296296296296295,2.0,2.0,0.0,1.8888888888888888,0.0,0.0,1.0,0.4888888888888889,0.6296296296296297,0.6554621848739496,0.7684729064039408,1.1304347826086958,0.6000000000000001,0.0,0.0,1.205298013245033,1.6666666666666667,0.0,0.0,0.0,0.0,1.5384615384615385,1.6,0.0,0.0,0.0,0.0,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,88.0,2.0,2.0,0.0,34.0,0.0,0.0,2.0,22.0,34.0,78.0,156.0,156.0,3.0,0.0,0.0,182.0,10.0,0.0,0.0,0.0,0.0,20.0,8.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Tony Battie,0.9230769230769231,0.0,0.0,0.0,1.8095238095238095,0.0,0.0,0.0,0.7619047619047619,0.6944444444444444,0.6826347305389222,0.3333333333333333,0.6666666666666666,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.4,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,32.0,50.0,114.0,14.0,6.0,0.0,3.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
Tony Delk,1.5294117647058822,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,2.0,0.6333333333333333,0.9180327868852459,0.7717842323651453,0.8316831683168316,0.7933884297520661,3.0,0.1875,0.75,0.9545454545454546,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,38.0,56.0,186.0,168.0,96.0,3.0,3.0,3.0,42.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Massenburg,1.6,2.0,0.0,0.0,1.8333333333333333,2.0,0.0,1.0,0.5970149253731343,0.6153846153846154,0.6857142857142857,1.0,0.0,0.0,0.0,0.0,1.0526315789473684,1.5,0.0,0.0,0.0,1.3333333333333333,1.0555555555555556,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,66.0,2.0,0.0,4.0,40.0,24.0,24.0,6.0,0.0,0.0,0.0,0.0,60.0,6.0,0.0,0.0,0.0,4.0,38.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Tracy McGrady,1.3333333333333333,0.0,0.0,0.0,1.8775510204081634,0.0,0.0,0.0,0.6666666666666666,0.5405405405405406,0.6666666666666666,0.6666666666666666,1.1785714285714286,0.0,0.0,0.0,0.7714285714285715,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.027027027027027,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,20.0,20.0,44.0,30.0,33.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0
