playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_13-17 Mid Range,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_28-34 Deep,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_13-17 Mid Range,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_28-34 Deep,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim
A.C. Green,1.2142857142857142,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.5555555555555556,0.37037037037037035,0.8666666666666667,0.9306930693069307,0.0,0.0,0.0,0.0,1.0178571428571428,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,10.0,10.0,182.0,94.0,0.0,0.0,0.0,0.0,114.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0
Aaron McKie,1.2941176470588236,1.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,0.38095238095238093,0.6923076923076923,0.5376344086021505,0.9032258064516129,0.4897959183673469,0.0,0.0,0.0,0.8620689655172413,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,16.0,0.0,0.0,0.0,8.0,18.0,50.0,84.0,24.0,0.0,0.0,0.0,50.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Aaron Williams,1.1111111111111112,0.0,0.0,0.0,1.7307692307692308,0.0,0.0,1.2,0.4878048780487805,0.15384615384615385,1.0434782608695652,0.6666666666666666,0.0,0.0,0.0,0.0,1.0833333333333333,1.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,90.0,0.0,0.0,6.0,20.0,2.0,24.0,4.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
Adam Keefe,1.125,0.0,0.0,0.0,1.8644067796610169,0.0,0.0,0.0,0.7058823529411765,0.7272727272727273,0.6511627906976745,0.9767441860465116,0.0,0.0,0.0,0.0,1.1851851851851851,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.625,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,24.0,16.0,28.0,42.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0
Adonal Foyle,1.5,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.0,0.3888888888888889,0.6666666666666666,0.18181818181818182,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,2.0,0.96,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,14.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Alan Henderson,1.813953488372093,0.0,0.0,0.0,1.6619718309859155,0.0,0.0,0.0,0.6428571428571429,0.7766990291262136,0.7142857142857143,0.8571428571428571,1.5,0.0,0.0,0.0,1.1049723756906078,0.0,0.0,0.0,0.0,0.0,0.7407407407407407,0.4,0.0,0.0,0.0,0.0,1.069767441860465,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,90.0,80.0,80.0,12.0,6.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
Allan Houston,1.5145631067961165,2.0,0.0,0.0,1.9047619047619047,2.0,0.0,0.3333333333333333,0.7758620689655172,0.7704918032786885,0.823170731707317,0.9530685920577617,1.1470588235294117,2.0,0.0,0.0,0.6434782608695652,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,156.0,4.0,0.0,0.0,40.0,2.0,0.0,2.0,90.0,94.0,270.0,264.0,195.0,6.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Allen Iverson,1.7179487179487178,1.4,0.0,0.0,1.793103448275862,0.0,0.0,0.5,0.6753246753246753,0.7719298245614035,0.7982456140350878,1.036649214659686,0.7980295566502463,1.6666666666666667,0.0,0.0,0.5428571428571428,1.1428571428571428,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,402.0,14.0,0.0,0.0,52.0,0.0,0.0,2.0,104.0,88.0,182.0,198.0,162.0,15.0,0.0,0.0,114.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Alonzo Mourning,1.2941176470588236,0.0,0.0,0.0,1.9275362318840579,0.0,0.0,1.0,0.36065573770491804,0.7341772151898734,0.74,0.4444444444444444,0.0,0.0,0.0,0.0,1.183673469387755,0.0,0.0,0.0,0.0,1.5555555555555556,1.1074380165289257,1.3333333333333333,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,266.0,0.0,0.0,2.0,22.0,58.0,74.0,12.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,14.0,134.0,8.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
Alton Lister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Alvin Williams,1.25,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6451612903225806,0.8421052631578947,0.5925925925925926,0.8717948717948718,1.125,0.0,1.0,0.0,1.135135135135135,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,16.0,32.0,68.0,18.0,0.0,3.0,0.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Andrew DeClercq,1.5,0.0,0.0,0.0,1.9130434782608696,0.0,0.0,2.0,0.717948717948718,0.6153846153846154,0.0,1.0,0.0,0.0,0.0,0.0,0.9662921348314607,0.6666666666666666,0.0,0.0,0.0,1.2,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,1.2307692307692308,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,44.0,0.0,0.0,2.0,28.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,172.0,6.0,0.0,0.0,0.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Andrew Lang,0.0,2.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.3076923076923077,0.7777777777777778,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7272727272727273,0.4,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,4.0,24.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Anthony Bowie,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3333333333333333,1.0,0.9,0.75,1.5,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,18.0,12.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Goldwire,1.1688311688311688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.09523809523809523,0.8148148148148148,0.8770053475935828,1.088709677419355,1.2000000000000002,0.0,0.0,1.0952380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,88.0,164.0,135.0,6.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Johnson,1.1538461538461537,0.5,0.0,0.0,1.8333333333333333,0.0,0.0,0.0,0.759493670886076,0.45714285714285713,0.6451612903225806,0.6440677966101694,0.9611650485436893,0.0,0.0,0.0,1.0303030303030303,2.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,60.0,32.0,60.0,76.0,99.0,0.0,0.0,0.0,68.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Mason,1.7575757575757576,1.0,0.0,0.0,1.92,0.0,0.0,1.0,0.7236842105263158,0.66,0.989247311827957,0.5,0.0,0.0,0.0,0.0,1.099630996309963,0.5,1.0,0.0,0.0,0.0,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,116.0,2.0,0.0,0.0,48.0,0.0,0.0,4.0,110.0,66.0,92.0,4.0,0.0,0.0,0.0,0.0,298.0,2.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Anthony Miller,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Anthony Parker,1.6,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.8999999999999999,0.0,1.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,8.0,12.0,18.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Peeler,1.4285714285714286,2.0,0.0,0.0,1.8181818181818181,0.0,0.0,0.0,0.41379310344827586,0.7567567567567568,0.891566265060241,0.9158878504672897,1.2000000000000002,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,30.0,8.0,0.0,0.0,20.0,0.0,0.0,0.0,12.0,28.0,74.0,98.0,108.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Antoine Carr,2.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.41379310344827586,0.5806451612903226,0.7676767676767676,1.1320754716981132,0.0,0.0,0.0,0.0,1.1063829787234043,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,12.0,18.0,76.0,60.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Antoine Walker,1.6862745098039216,2.0,0.0,0.0,1.8867924528301887,0.0,0.0,0.6666666666666666,0.5476923076923077,0.6902654867256637,0.5641025641025641,0.7401574803149606,0.9080459770114943,0.6000000000000001,0.0,0.0,0.9473684210526315,0.9411764705882353,0.0,0.0,0.0,1.0,1.2857142857142858,1.0,0.0,0.0,0.0,0.0,1.3157894736842106,0.0,0.0,0.0,0.0,0.0,172.0,26.0,0.0,0.0,100.0,0.0,0.0,2.0,178.0,78.0,88.0,94.0,237.0,3.0,0.0,0.0,414.0,16.0,0.0,0.0,0.0,6.0,54.0,6.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Antonio Daniels,1.2058823529411764,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7076923076923077,1.0508474576271187,0.7575757575757576,0.6595744680851063,0.7692307692307692,0.0,0.0,0.0,0.9310344827586207,1.5,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,46.0,62.0,100.0,62.0,30.0,0.0,0.0,0.0,54.0,6.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Davis,1.5555555555555556,2.0,0.0,0.0,1.8666666666666667,0.0,0.0,0.6666666666666666,0.3595505617977528,0.5454545454545454,0.7901234567901234,1.0,0.0,0.0,0.0,0.0,0.9770992366412213,0.6,0.0,0.0,0.0,2.0,1.2941176470588236,0.0,0.0,0.0,0.0,0.0,1.2105263157894737,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,140.0,0.0,0.0,2.0,32.0,24.0,64.0,26.0,0.0,0.0,0.0,0.0,128.0,6.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
Antonio McDyess,1.393939393939394,0.0,0.0,0.0,1.812206572769953,0.0,2.0,0.0,0.6138613861386139,0.7967479674796748,0.8512820512820513,0.6666666666666666,0.0,0.0,0.0,0.0,1.0787878787878789,1.5,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.30303030303030304,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,386.0,0.0,2.0,0.0,62.0,98.0,166.0,34.0,0.0,0.0,0.0,0.0,178.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Armen Gilliam,1.75,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5316455696202531,0.7733333333333333,0.7518796992481203,0.75,0.0,0.0,0.0,0.0,1.2231404958677685,1.0,0.0,0.0,0.0,0.36363636363636365,1.1046511627906976,0.7058823529411765,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,42.0,58.0,100.0,6.0,0.0,0.0,0.0,0.0,148.0,2.0,0.0,0.0,0.0,4.0,190.0,12.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Arvydas Sabonis,1.441860465116279,1.0,0.0,0.0,2.0,0.0,0.0,1.3333333333333333,0.4931506849315068,0.2222222222222222,0.8461538461538461,0.8148148148148148,0.7173913043478262,0.0,0.0,0.0,1.2016806722689075,1.0,0.0,0.0,0.0,1.8,1.04093567251462,0.8125,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,62.0,2.0,0.0,0.0,58.0,0.0,0.0,4.0,36.0,4.0,22.0,44.0,66.0,0.0,0.0,0.0,286.0,2.0,0.0,0.0,0.0,18.0,178.0,26.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,0.0
Avery Johnson,1.503875968992248,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.5925925925925926,0.8181818181818182,0.7079646017699115,0.8095238095238095,0.6000000000000001,0.0,0.0,0.0,0.9894736842105263,1.2,0.0,0.0,0.0,1.0,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,18.0,80.0,68.0,6.0,0.0,0.0,0.0,188.0,12.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B.J. Armstrong,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.6666666666666666,0.9818181818181818,1.0,0.9310344827586208,0.0,0.0,0.0,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,10.0,54.0,54.0,27.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Wallace,1.7777777777777777,0.0,0.0,0.0,1.8636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7733333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Benoit Benjamin,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.75,0.8,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill Curley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.8888888888888888,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill Wennington,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5333333333333333,0.6,0.9285714285714286,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.0,12.0,78.0,14.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Billy Owens,1.2857142857142858,0.0,0.0,0.0,1.5714285714285714,0.0,0.0,1.0,0.6990291262135923,0.5945945945945946,0.5813953488372093,0.821917808219178,1.0666666666666667,0.0,0.0,0.0,1.2899408284023668,1.5,0.0,0.0,0.0,2.0,1.1794871794871795,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,22.0,0.0,0.0,6.0,72.0,22.0,50.0,120.0,48.0,0.0,0.0,0.0,218.0,6.0,0.0,0.0,0.0,2.0,46.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
Bison Dele,1.5555555555555556,0.0,0.0,0.0,1.8620689655172413,2.0,0.0,0.6666666666666666,0.6865671641791045,0.7085714285714285,0.8314606741573034,0.5,0.0,0.0,0.0,0.0,1.0797546012269938,0.0,0.0,0.0,0.0,1.4285714285714286,1.0105263157894737,0.9230769230769231,0.5,0.0,0.0,0.0,1.105263157894737,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,270.0,2.0,0.0,2.0,92.0,124.0,148.0,4.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,10.0,96.0,48.0,6.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0
Blue Edwards,1.6,0.8571428571428571,0.0,0.0,1.9047619047619047,0.0,0.0,0.8,0.5542168674698795,0.576271186440678,0.7205882352941176,0.8021978021978022,1.0786516853932584,0.0,0.0,0.0,1.3333333333333333,1.0,0.0,0.0,0.0,2.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,72.0,6.0,0.0,0.0,40.0,0.0,0.0,4.0,46.0,34.0,98.0,146.0,96.0,0.0,0.0,0.0,120.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Bo Outlaw,1.4426229508196722,0.0,0.0,0.0,1.8461538461538463,0.0,0.0,0.6666666666666666,0.5352112676056338,0.42424242424242425,0.14285714285714285,0.8333333333333334,0.0,0.0,1.5,0.0,1.3125,0.0,0.0,0.0,0.0,0.6666666666666666,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,144.0,0.0,0.0,2.0,38.0,14.0,4.0,10.0,0.0,0.0,3.0,0.0,252.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
Bob Sura,1.1724137931034482,0.5714285714285714,0.0,0.0,2.0,0.0,0.0,0.0,0.4444444444444444,0.25,0.25,0.8461538461538461,1.08,0.0,0.0,0.0,0.5882352941176471,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,68.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,2.0,4.0,22.0,54.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Bobby Hurley,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.6,1.0153846153846153,0.7105263157894737,0.6818181818181818,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,66.0,54.0,15.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Jackson,1.1333333333333333,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.5806451612903226,0.8275862068965517,0.7478991596638656,0.6900584795321637,0.7846153846153847,1.2000000000000002,0.0,0.0,0.9777777777777777,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,102.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,36.0,48.0,178.0,118.0,51.0,6.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
