playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Drive_18-23 Long Jumper,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Pullup_00-02 At Rim,PPS_Pullup_03-08 Near Rim,PPS_Pullup_09-12 Short Range,PPS_Pullup_13-17 Mid Range,PPS_Pullup_18-23 Long Jumper,PPS_Pullup_24-27 Three,PPS_Pullup_28-34 Deep,PPS_Pullup_35-46 Near Half,PPS_Pullup_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_18-23 Long Jumper,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,PPS_invalid_24-27 Three,PPS_invalid_28-34 Deep,PPS_invalid_35-46 Near Half,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Drive_18-23 Long Jumper,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Pullup_00-02 At Rim,Points_Pullup_03-08 Near Rim,Points_Pullup_09-12 Short Range,Points_Pullup_13-17 Mid Range,Points_Pullup_18-23 Long Jumper,Points_Pullup_24-27 Three,Points_Pullup_28-34 Deep,Points_Pullup_35-46 Near Half,Points_Pullup_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_18-23 Long Jumper,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper,Points_invalid_24-27 Three,Points_invalid_28-34 Deep,Points_invalid_35-46 Near Half
AJ Price,1.6551724137931034,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5925925925925926,0.9,0.7804878048780488,0.5416666666666666,1.0970149253731343,0.0,0.0,0.0,0.7741935483870968,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.2,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,32.0,26.0,147.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Brooks,1.1630434782608696,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.7605633802816901,0.8169014084507042,0.6909090909090909,0.8085106382978723,1.163727959697733,0.8333333333333334,0.0,0.0,0.7320261437908496,2.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.3333333333333333,1.2307692307692308,1.2258064516129032,1.0526315789473684,1.8620689655172415,3.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,1.6,2.0,0.0,0.0,0.0,0.0,214.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,58.0,76.0,152.0,462.0,15.0,0.0,0.0,112.0,2.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,16.0,38.0,20.0,54.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0
Aaron Gray,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,1.0810810810810811,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acie Law,1.619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.8181818181818181,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Harrington,1.6551724137931034,1.0,0.0,0.0,0.0,1.894736842105263,0.0,0.0,0.5098039215686274,0.4827586206896552,0.6756756756756757,0.6708074534161491,1.0348101265822784,0.0,0.0,1.5,0.8808290155440415,2.0,0.0,1.1111111111111112,1.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,2.0,0.0,0.0,0.0,36.0,0.0,0.0,26.0,14.0,50.0,108.0,327.0,0.0,0.0,3.0,170.0,4.0,0.0,10.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,1.5,1.0,0.0,0.0,0.0,1.9696969696969697,0.0,0.0,0.6133333333333333,0.72,0.9811320754716981,0.875,0.0,0.0,0.0,0.0,1.171875,2.0,0.0,1.0945945945945945,0.6111111111111112,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4216867469879517,1.3333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,42.0,4.0,0.0,0.0,0.0,130.0,0.0,0.0,46.0,36.0,156.0,42.0,0.0,0.0,0.0,0.0,150.0,2.0,0.0,162.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Jefferson,1.5172413793103448,1.3333333333333333,0.0,0.0,0.0,1.7714285714285714,2.0,0.0,0.9135802469135802,0.6415094339622641,0.6033519553072626,0.5945945945945946,0.0,0.0,0.0,0.0,1.264,2.0,0.0,1.188118811881188,1.0425531914893618,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,0.0,0.0,0.0,62.0,2.0,0.0,148.0,102.0,108.0,22.0,0.0,0.0,0.0,0.0,316.0,2.0,0.0,120.0,98.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Thornton,1.8,0.0,0.0,0.0,0.0,1.7777777777777777,0.0,0.0,0.4864864864864865,0.7317073170731707,0.5112781954887218,0.8721804511278195,1.0434782608695652,0.0,1.0,0.0,1.0952380952380953,0.0,0.0,1.5,1.3333333333333333,1.1666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.6666666666666666,3.0,0.0,0.0,0.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,18.0,30.0,68.0,116.0,24.0,0.0,3.0,0.0,184.0,0.0,0.0,18.0,16.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Ajinca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alonzo Gee,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2857142857142857,0.0,1.0,1.0,2.25,3.0,0.0,0.0,0.2222222222222222,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,4.0,6.0,9.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amare Stoudemire,1.6578947368421053,1.3333333333333333,0.0,0.0,0.0,1.8181818181818181,0.0,0.0,0.968609865470852,0.7894736842105263,0.9349112426035503,0.7714285714285715,1.5,0.0,0.0,0.0,0.9451476793248945,1.2,2.0,1.2542372881355932,0.8421052631578947,1.0909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.2333333333333334,0.0,0.0,0.0,0.0,0.0,1.7777777777777777,2.0,0.0,0.0,0.0,0.0,0.0,126.0,4.0,0.0,0.0,0.0,300.0,0.0,0.0,216.0,60.0,158.0,108.0,3.0,0.0,0.0,0.0,224.0,6.0,4.0,74.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0
Amir Johnson,1.3043478260869565,0.0,0.0,0.0,0.0,1.9393939393939394,0.0,0.0,0.3076923076923077,1.0,1.1666666666666667,0.7,0.0,0.0,0.0,0.0,1.4455445544554455,0.0,2.0,1.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2542372881355932,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,8.0,4.0,14.0,14.0,0.0,0.0,0.0,0.0,146.0,0.0,8.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Anderson Varejao,1.7857142857142858,0.0,0.0,0.0,0.0,1.7647058823529411,0.0,0.0,0.8333333333333334,0.26666666666666666,0.5238095238095238,0.9473684210526315,1.5,0.0,0.0,0.0,1.3038674033149171,2.0,0.0,0.9696969696969697,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,30.0,4.0,22.0,18.0,3.0,0.0,0.0,0.0,236.0,4.0,0.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andray Blatche,1.5522388059701493,2.0,0.0,0.0,0.0,1.9333333333333333,0.0,0.0,0.5833333333333334,0.8641975308641975,0.7403314917127072,0.8187134502923976,0.9130434782608696,0.0,0.0,0.0,0.9702970297029703,1.0,0.0,1.2258064516129032,1.2,1.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.565217391304348,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,4.0,0.0,0.0,0.0,58.0,0.0,0.0,70.0,70.0,134.0,140.0,21.0,0.0,0.0,0.0,196.0,2.0,0.0,38.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Iguodala,1.8333333333333333,0.0,0.0,0.0,0.0,1.9523809523809523,0.0,0.0,0.7027027027027027,0.2,0.5818181818181818,0.6859504132231405,1.0212765957446808,0.25,0.0,0.0,0.7218045112781954,0.0,0.0,0.8333333333333334,1.2,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,2.0,1.6666666666666667,2.0,1.5,0.0,0.0,0.0,1.625,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,26.0,6.0,96.0,166.0,240.0,3.0,0.0,0.0,96.0,0.0,0.0,10.0,12.0,24.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,26.0,6.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Andre Miller,1.3369565217391304,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.7575757575757576,0.64,0.7142857142857143,0.6349206349206349,0.78,0.0,0.0,0.0,1.0326797385620916,0.0,0.0,1.2727272727272727,0.875,0.625,0.0,0.0,0.0,0.0,0.0,2.0,0.8888888888888888,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,246.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,32.0,100.0,80.0,39.0,0.0,0.0,0.0,158.0,0.0,0.0,14.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,14.0,28.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0
Andrea Bargnani,1.4047619047619047,1.5,0.0,0.0,0.0,1.8620689655172413,2.0,0.0,0.9152542372881356,0.6222222222222222,1.008,0.6871165644171779,1.1324503311258278,0.0,0.0,1.0,1.173913043478261,1.0,0.8,1.0746268656716418,0.8666666666666667,1.1578947368421053,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7272727272727273,1.0303030303030303,1.0588235294117647,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,118.0,12.0,0.0,0.0,0.0,54.0,2.0,0.0,54.0,28.0,126.0,112.0,342.0,0.0,0.0,3.0,108.0,2.0,4.0,72.0,26.0,22.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,34.0,36.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Andrei Kirilenko,1.7777777777777777,0.0,0.0,0.0,0.0,1.935483870967742,0.0,2.0,0.08333333333333333,1.0,0.6666666666666666,0.8057553956834532,0.8450704225352113,0.0,0.0,0.0,1.1020408163265305,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096774193548387,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,120.0,0.0,2.0,2.0,2.0,14.0,112.0,60.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Andres Nocioni,1.2432432432432432,0.8,0.0,0.0,0.0,2.0,0.0,0.0,0.425531914893617,0.6666666666666666,0.7083333333333334,0.7428571428571429,1.1176470588235294,0.0,0.0,0.0,0.8051948051948052,2.0,1.0,0.9166666666666666,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,10.0,34.0,78.0,228.0,0.0,0.0,0.0,62.0,2.0,2.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Andrew Bogut,1.5454545454545454,0.0,0.0,0.0,0.0,1.7551020408163265,0.0,0.0,0.5066666666666667,0.5714285714285714,0.7619047619047619,1.0,0.0,0.0,0.0,0.0,1.2112676056338028,0.0,0.5,0.9345794392523364,1.1020408163265305,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2264150943396226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,38.0,16.0,16.0,4.0,0.0,0.0,0.0,0.0,258.0,0.0,8.0,300.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Bynum,2.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.631578947368421,0.5142857142857142,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,1.043956043956044,0.0,2.0,1.0827067669172932,0.918918918918919,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,48.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,2.0,144.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andris Biedrins,1.8823529411764706,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,0.0,2.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antawn Jamison,1.6470588235294117,1.1428571428571428,0.0,0.0,0.0,1.5,0.0,0.0,0.6802721088435374,0.4897959183673469,0.6842105263157895,0.7142857142857143,1.118918918918919,0.0,0.0,0.0,1.2095238095238094,1.5,2.0,1.4634146341463414,1.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.6111111111111112,1.0,0.0,0.0,0.0,0.0,2.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,56.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,100.0,24.0,52.0,150.0,207.0,0.0,0.0,0.0,254.0,6.0,4.0,60.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0
Anthony Carter,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.6666666666666666,0.7037037037037037,0.7894736842105263,0.0,0.0,0.0,1.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,12.0,38.0,30.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Morrow,1.5862068965517242,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9130434782608695,1.1578947368421053,0.7228915662650602,0.7050359712230215,1.2000000000000002,1.7142857142857142,0.0,0.0,0.7407407407407407,0.0,2.0,1.0,1.7142857142857142,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0909090909090908,1.3714285714285714,2.129032258064516,3.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,42.0,44.0,60.0,98.0,216.0,12.0,0.0,0.0,40.0,0.0,2.0,8.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,48.0,66.0,9.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Parker,1.5,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.0909090909090908,0.5,0.7307692307692307,0.8737864077669902,1.0982142857142856,0.0,0.0,0.0,1.2142857142857142,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,24.0,8.0,38.0,180.0,123.0,0.0,0.0,0.0,34.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0
Anthony Randolph,1.9,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6060606060606061,0.7619047619047619,0.7777777777777778,0.5714285714285714,0.0,0.0,0.0,0.0,0.7164179104477612,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,0.0,0.0,0.0,28.0,0.0,0.0,20.0,16.0,28.0,36.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Tolliver,1.6842105263157894,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.9523809523809523,0.9090909090909091,0.425531914893617,0.6415094339622641,0.870967741935484,0.0,0.0,0.0,1.09375,0.0,0.0,0.6666666666666666,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,1.4285714285714286,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,20.0,10.0,20.0,68.0,81.0,0.0,0.0,0.0,70.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,20.0,30.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
