playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_18-23 Long Jumper,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_18-23 Long Jumper,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_18-23 Long Jumper,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_18-23 Long Jumper,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper
Soumaila Samake,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Speedy Claxton,1.6923076923076923,1.2,0.0,0.0,2.0,0.0,0.0,0.18181818181818182,0.2857142857142857,0.9565217391304348,0.9787234042553191,0.0,0.0,0.0,0.0,1.0434782608695652,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,22.0,46.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Stacey Augmon,1.6363636363636365,0.0,0.0,0.0,2.0,0.0,0.0,0.8235294117647058,0.8148148148148148,0.43478260869565216,0.4444444444444444,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,1.4285714285714286,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,12.0,0.0,0.0,14.0,22.0,20.0,8.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Jackson,1.55,1.4285714285714286,0.0,0.0,1.6363636363636365,2.0,2.0,0.2222222222222222,0.8888888888888888,0.7761194029850746,0.6896551724137931,0.935483870967742,1.0,0.0,0.0,0.9103448275862069,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1578947368421053,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,124.0,10.0,0.0,0.0,72.0,2.0,2.0,6.0,16.0,52.0,140.0,174.0,3.0,0.0,0.0,132.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Stephon Marbury,1.6851851851851851,1.1428571428571428,0.0,0.0,2.0,0.0,1.0,0.8208955223880597,0.896551724137931,0.7238095238095238,0.8110236220472441,0.9467213114754098,1.0,0.0,0.0,0.6857142857142857,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.0,1.3333333333333333,0.0,0.0,0.0,364.0,8.0,0.0,0.0,4.0,0.0,2.0,110.0,78.0,152.0,206.0,231.0,18.0,0.0,0.0,216.0,6.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
Steve Francis,1.3365853658536586,1.3333333333333333,0.0,0.0,1.8235294117647058,0.0,0.0,0.3508771929824561,0.6470588235294118,0.6844919786096256,0.7836990595611285,1.0491803278688525,0.8999999999999999,0.0,0.0,0.8778280542986425,1.0,0.0,0.0,0.0,2.0,0.0,1.3333333333333333,2.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,274.0,8.0,0.0,0.0,62.0,0.0,0.0,20.0,22.0,128.0,250.0,192.0,9.0,0.0,0.0,194.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0
Steve Kerr,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.8333333333333334,1.0612244897959184,0.9156626506024096,1.09375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,52.0,76.0,105.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Nash,1.647887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.7368421052631579,0.75,0.7651006711409396,0.9479166666666666,1.1973684210526316,0.0,0.0,0.0,0.8057553956834532,0.0,0.0,0.0,2.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.4285714285714286,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,78.0,114.0,182.0,273.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,2.0,22.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
Steven Hunter,2.0,0.0,0.0,0.0,1.7777777777777777,0.0,0.0,0.3333333333333333,0.8,1.5,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.1428571428571428,1.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,32.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Smith,1.7142857142857142,0.0,0.0,0.0,2.0,2.0,0.0,1.0344827586206897,0.5714285714285714,0.6046511627906976,0.5617977528089888,1.0909090909090908,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,1.5,1.0,2.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,10.0,2.0,0.0,30.0,8.0,26.0,50.0,60.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
