playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_18-23 Long Jumper,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_18-23 Long Jumper,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_18-23 Long Jumper,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_18-23 Long Jumper,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper
Todd MacCulloch,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.37037037037037035,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,1.0735294117647058,2.0,0.0,0.0,0.0,1.5789473684210527,2.0,0.0,0.0,0.0,0.0,1.6363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,146.0,4.0,0.0,0.0,0.0,30.0,6.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Gugliotta,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.2,1.2727272727272727,1.0612244897959184,0.5116279069767442,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,14.0,52.0,22.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toni Kukoc,1.7647058823529411,0.0,0.0,0.0,2.0,0.0,0.0,0.7586206896551724,0.14285714285714285,0.6792452830188679,0.6493506493506493,1.114678899082569,1.5,0.0,0.0,1.0357142857142858,0.0,0.0,0.0,1.5,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,8.0,0.0,0.0,22.0,2.0,36.0,50.0,243.0,3.0,0.0,0.0,116.0,0.0,0.0,0.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0
Tony Battie,1.4285714285714286,0.0,0.0,0.0,2.0,0.0,0.0,0.5454545454545454,0.6829268292682927,0.8235294117647058,0.6842105263157895,1.0,0.0,0.0,0.0,1.2923076923076924,0.0,0.0,0.0,0.0,1.0769230769230769,1.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,104.0,0.0,0.0,18.0,28.0,70.0,26.0,3.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Delk,1.5789473684210527,1.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.7692307692307693,0.6086956521739131,0.9122807017543859,1.175115207373272,1.5,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,28.0,156.0,255.0,3.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tony Massenburg,1.5,0.0,0.0,0.0,1.9090909090909092,0.0,0.0,0.64,0.5185185185185185,0.5714285714285714,0.46153846153846156,0.0,0.0,0.0,0.0,0.6511627906976745,0.0,0.0,0.0,2.0,1.3888888888888888,0.5,1.3333333333333333,0.0,0.0,0.0,1.2307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,42.0,0.0,0.0,16.0,14.0,20.0,6.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,50.0,4.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Parker,1.5849056603773586,1.4285714285714286,0.0,0.0,2.0,0.0,0.0,0.9125,0.7619047619047619,0.7735849056603774,0.6766169154228856,1.0280898876404494,0.42857142857142855,0.0,0.0,1.1122448979591837,1.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.3333333333333333,0.0,0.0,0.0,168.0,20.0,0.0,0.0,6.0,0.0,0.0,146.0,32.0,82.0,136.0,183.0,3.0,0.0,0.0,218.0,12.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
Tracy McGrady,1.4206896551724137,1.5,0.0,0.0,1.8888888888888888,0.0,2.0,0.8043478260869565,0.7037037037037037,0.8280701754385965,0.8047619047619048,1.2133995037220844,1.3333333333333333,0.0,0.0,0.8122270742358079,1.0,2.0,0.0,2.0,0.6,1.0,1.4,0.5,0.0,0.0,1.3571428571428572,0.0,0.0,0.0,0.0,1.2,2.0,0.0,0.0,0.0,206.0,6.0,0.0,0.0,102.0,0.0,4.0,74.0,38.0,236.0,338.0,489.0,12.0,0.0,0.0,186.0,2.0,2.0,0.0,2.0,6.0,10.0,56.0,4.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0
Tracy Murray,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6666666666666666,2.0,0.5,0.75,0.65625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0,4.0,12.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Best,1.2592592592592593,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8148148148148148,0.6956521739130435,0.7441860465116279,0.8999999999999999,2.0,0.0,0.0,0.7241379310344828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,80.0,128.0,81.0,6.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Travis Knight,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.3333333333333333,0.0,0.8235294117647058,0.45454545454545453,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tremaine Fowlkes,1.3333333333333333,0.0,0.0,0.0,1.5384615384615385,0.0,0.0,0.0,0.5714285714285714,0.7857142857142857,0.7878787878787878,0.75,0.0,0.0,0.0,0.8181818181818182,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,22.0,26.0,3.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trenton Hassell,1.5555555555555556,0.0,0.0,0.0,2.0,0.0,2.0,0.6486486486486487,0.5217391304347826,0.8148148148148148,0.576271186440678,1.1785714285714286,0.0,0.0,0.0,0.7755102040816326,1.3333333333333333,0.0,0.0,0.0,1.1428571428571428,0.5,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6.0,0.0,2.0,24.0,24.0,66.0,68.0,33.0,0.0,0.0,0.0,38.0,4.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy Hudson,1.5833333333333333,0.0,0.0,0.0,2.0,0.0,0.0,0.5294117647058824,0.6363636363636364,0.8679245283018868,0.8666666666666667,1.125,2.0,0.0,3.0,0.7047619047619048,0.6666666666666666,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,28.0,138.0,260.0,252.0,6.0,0.0,3.0,74.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy Murphy,1.7037037037037037,2.0,0.0,0.0,1.9333333333333333,0.0,0.0,0.5074626865671642,0.7777777777777778,0.9064039408866995,0.8043478260869565,0.8181818181818181,0.0,0.0,0.0,0.926829268292683,1.3333333333333333,0.0,0.0,0.0,0.8181818181818182,0.8,0.0,2.0,0.0,0.0,0.8611111111111112,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,0.0,58.0,0.0,0.0,34.0,28.0,184.0,148.0,9.0,0.0,0.0,0.0,76.0,4.0,0.0,0.0,0.0,18.0,4.0,0.0,2.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Tyrone Hill,1.75,2.0,0.0,0.0,1.5555555555555556,0.0,0.0,0.23529411764705882,0.6206896551724138,0.7894736842105263,0.5333333333333333,0.0,0.0,0.0,0.0,1.0093457943925233,0.0,0.0,0.0,0.0,1.0909090909090908,2.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,14.0,0.0,0.0,8.0,18.0,60.0,8.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyronn Lue,1.5384615384615385,0.0,0.0,0.0,2.0,0.0,0.0,0.7333333333333333,0.8372093023255814,0.8032786885245902,0.975,1.0434782608695652,0.0,0.0,0.0,0.95,2.0,0.0,0.0,0.0,0.0,2.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,36.0,98.0,156.0,144.0,0.0,0.0,0.0,38.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyson Chandler,1.75,0.0,0.0,0.0,1.87012987012987,2.0,0.0,0.7272727272727273,0.6808510638297872,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.9436619718309859,1.5,0.0,0.0,0.0,1.2380952380952381,0.5714285714285714,2.0,0.0,0.0,0.0,1.3454545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,144.0,2.0,0.0,48.0,32.0,28.0,0.0,0.0,0.0,0.0,0.0,134.0,6.0,0.0,0.0,0.0,26.0,4.0,2.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vin Baker,1.1428571428571428,0.0,0.0,0.0,1.7777777777777777,0.0,0.0,0.5405405405405406,0.5,0.13333333333333333,1.1666666666666667,0.0,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,1.3846153846153846,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,32.0,0.0,0.0,20.0,6.0,2.0,14.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vince Carter,1.3170731707317074,0.0,0.0,0.0,2.0,2.0,0.0,0.9818181818181818,0.9565217391304348,0.8888888888888888,0.7627906976744186,1.0588235294117647,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,1.368421052631579,0.6666666666666666,1.2,1.0,0.0,0.0,1.1818181818181819,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,60.0,2.0,0.0,54.0,44.0,128.0,164.0,108.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,26.0,6.0,24.0,2.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Vincent Yarbrough,1.0666666666666667,0.0,0.0,0.0,2.0,0.0,0.0,0.8947368421052632,0.8461538461538461,0.8727272727272727,0.5986394557823129,0.7105263157894737,0.0,0.0,0.0,0.8275862068965517,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,28.0,0.0,0.0,34.0,22.0,96.0,88.0,27.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Vitaly Potapenko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.9333333333333333,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,1.0,1.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,22.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vlade Divac,1.6521739130434783,1.0,0.0,0.0,1.92,0.0,0.0,0.2978723404255319,0.3448275862068966,0.8051948051948052,0.6530612244897959,1.0,0.0,0.0,0.0,1.2899408284023668,1.0,0.0,0.0,2.0,1.087719298245614,0.9230769230769231,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.25,1.125,0.0,0.0,0.0,38.0,2.0,0.0,0.0,48.0,0.0,0.0,28.0,10.0,62.0,64.0,12.0,0.0,0.0,0.0,218.0,4.0,0.0,0.0,4.0,62.0,12.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,10.0,18.0,0.0,0.0,0.0
Vladimir Radmanovic,1.7575757575757576,2.0,0.0,0.0,1.875,0.0,0.0,0.41509433962264153,0.8461538461538461,0.7407407407407407,0.6857142857142857,1.1213592233009708,1.0,0.0,0.0,1.03125,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,30.0,0.0,0.0,22.0,22.0,40.0,120.0,231.0,3.0,0.0,0.0,66.0,4.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vladimir Stepania,1.0,0.0,0.0,0.0,1.7391304347826086,0.0,0.0,0.23529411764705882,0.5454545454545454,0.4727272727272727,0.7692307692307693,0.0,0.0,0.0,0.0,1.0225563909774436,2.0,0.0,0.0,1.5,0.8771929824561403,0.25,2.0,0.0,0.0,0.0,1.0588235294117647,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,40.0,0.0,0.0,8.0,6.0,26.0,40.0,0.0,0.0,0.0,0.0,136.0,2.0,0.0,0.0,6.0,50.0,2.0,2.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Wally Szczerbiak,1.7894736842105263,0.0,0.0,0.0,1.7142857142857142,0.0,2.0,1.0491803278688525,1.0,0.8648648648648649,0.8559670781893004,1.3246753246753247,0.0,0.0,0.0,1.0337078651685394,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,12.0,0.0,2.0,64.0,66.0,128.0,208.0,102.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,4.0,4.0,10.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walter McCarty,1.25,0.0,0.0,0.0,1.9090909090909092,0.0,0.0,0.4444444444444444,0.9333333333333333,1.0769230769230769,0.7692307692307693,0.975609756097561,1.5,0.0,0.0,0.7027027027027027,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,1.0909090909090908,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,42.0,0.0,0.0,8.0,14.0,28.0,110.0,120.0,3.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Wesley Person,1.4285714285714286,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.8235294117647058,0.8070175438596491,0.9454545454545454,1.2352941176470589,0.0,0.0,0.0,1.4666666666666666,0.0,0.0,0.0,0.0,0.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,14.0,92.0,208.0,210.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yao Ming,2.0,0.0,0.0,0.0,1.9487179487179487,0.0,0.0,0.38202247191011235,0.7142857142857143,0.5714285714285714,0.75,3.0,0.0,0.0,0.0,1.0675675675675675,0.0,0.0,0.0,2.0,1.0204081632653061,1.065217391304348,0.7619047619047619,2.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,152.0,0.0,0.0,34.0,50.0,44.0,12.0,3.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,2.0,150.0,98.0,32.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Zach Randolph,1.391304347826087,0.0,0.0,0.0,1.7647058823529411,0.0,1.3333333333333333,0.6172839506172839,0.782608695652174,0.6557377049180327,0.5925925925925926,0.0,0.0,0.0,0.0,1.2275132275132274,1.0,0.0,0.0,1.3333333333333333,1.380952380952381,0.8571428571428571,0.6666666666666666,0.0,0.0,0.0,1.1304347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,30.0,0.0,8.0,50.0,18.0,40.0,16.0,0.0,0.0,0.0,0.0,232.0,4.0,0.0,0.0,4.0,58.0,6.0,4.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zeljko Rebraca,0.0,0.0,0.0,0.0,1.6,0.0,2.0,0.9523809523809523,0.5833333333333334,0.8461538461538461,2.0,0.0,0.0,0.0,0.0,1.3103448275862069,2.0,0.0,0.0,0.0,1.368421052631579,1.6666666666666667,1.2,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,20.0,14.0,22.0,4.0,0.0,0.0,0.0,0.0,38.0,2.0,0.0,0.0,0.0,26.0,10.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zendon Hamilton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zydrunas Ilgauskas,1.7777777777777777,0.0,0.0,0.0,1.8688524590163935,0.0,1.0,0.6742857142857143,0.562962962962963,0.8288973384030418,0.72,0.0,0.0,0.0,0.0,0.9308176100628931,2.0,0.0,0.0,0.8571428571428571,0.9767441860465116,1.0909090909090908,0.9523809523809523,0.0,0.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,114.0,0.0,2.0,118.0,76.0,218.0,36.0,0.0,0.0,0.0,0.0,148.0,2.0,0.0,0.0,12.0,84.0,48.0,40.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
