playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_18-23 Long Jumper,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_18-23 Long Jumper,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range
Raymond Felton,1.5058823529411764,0.0,1.4285714285714286,0.0,0.0,0.6363636363636364,0.5714285714285714,0.6451612903225806,0.7722772277227723,1.1142857142857143,1.2857142857142856,0.0,0.42857142857142855,0.6090909090909091,2.0,0.0,1.5,2.0,2.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,128.0,0.0,10.0,0.0,0.0,28.0,8.0,40.0,156.0,234.0,9.0,0.0,3.0,134.0,2.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0
Reggie Evans,1.5238095238095237,0.0,1.6666666666666667,0.0,2.0,0.45714285714285713,0.2857142857142857,0.6666666666666666,0.8,0.0,0.0,0.0,0.0,1.0074074074074073,0.0,2.0,1.2142857142857142,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,10.0,0.0,2.0,16.0,2.0,12.0,4.0,0.0,0.0,0.0,0.0,136.0,0.0,2.0,34.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Richard Hamilton,1.7380952380952381,2.0,2.0,0.0,0.0,0.945054945054945,0.8709677419354839,0.8017817371937639,0.9107142857142857,1.4423076923076923,0.0,0.0,0.0,1.0769230769230769,2.0,0.0,1.4,1.8181818181818181,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,146.0,2.0,12.0,0.0,0.0,86.0,108.0,360.0,204.0,75.0,0.0,0.0,0.0,252.0,2.0,0.0,14.0,20.0,36.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Jefferson,1.2705882352941176,0.0,1.6708860759493671,0.0,0.0,0.42857142857142855,0.6666666666666666,0.9344262295081968,0.8558951965065502,1.0,1.0,0.0,0.0,1.0196078431372548,0.0,0.0,0.4,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,1.2941176470588236,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,216.0,0.0,132.0,0.0,0.0,24.0,12.0,114.0,196.0,114.0,3.0,0.0,0.0,156.0,0.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,4.0,2.0,0.0
Ronnie Price,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.8823529411764706,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronny Turiaf,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Royal Ivey,1.7777777777777777,0.0,2.0,0.0,0.0,0.46153846153846156,0.25,0.8378378378378378,0.7428571428571429,2.4000000000000004,0.0,0.0,0.0,1.2727272727272727,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,12.0,4.0,62.0,52.0,12.0,0.0,0.0,0.0,70.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ryan Gomes,1.8666666666666667,0.0,1.8181818181818181,0.0,0.0,0.38095238095238093,1.125,0.6984126984126984,0.6101694915254238,1.5,0.0,0.0,0.0,1.167883211678832,0.0,1.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,2.0,0.0,28.0,0.0,20.0,0.0,0.0,8.0,18.0,44.0,36.0,9.0,0.0,0.0,0.0,160.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0
Samuel Dalembert,1.3333333333333333,0.0,1.9166666666666667,0.0,0.0,0.43902439024390244,0.8717948717948718,0.76,0.4,0.0,0.0,0.0,0.0,0.8260869565217391,0.0,1.0,1.0344827586206897,1.2,2.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,138.0,0.0,0.0,18.0,34.0,38.0,2.0,0.0,0.0,0.0,0.0,76.0,0.0,2.0,30.0,6.0,14.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
Sasha Pavlovic,1.75,0.0,2.0,0.0,0.0,0.3333333333333333,0.5,0.2857142857142857,0.8787878787878788,1.0,3.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,0.0,12.0,0.0,0.0,2.0,4.0,4.0,58.0,60.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
