playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_09-12 Short Range,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_09-12 Short Range,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim
Allen Iverson,1.643835616438356,1.6363636363636365,0.0,0.0,2.0,0.0,0.0,1.0,0.4375,0.5986394557823129,0.7427184466019418,0.875,1.0292887029288704,0.20689655172413793,0.0,0.0,1.017751479289941,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,1.25,2.0,2.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,360.0,18.0,0.0,0.0,14.0,0.0,0.0,2.0,112.0,88.0,306.0,252.0,246.0,6.0,0.0,0.0,172.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0
Alonzo Mourning,1.7142857142857142,0.0,0.0,0.0,1.9090909090909092,0.0,0.0,0.0,1.1111111111111112,0.6666666666666666,0.9629629629629629,0.36363636363636365,0.0,0.0,0.0,0.0,0.9090909090909091,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,10.0,6.0,26.0,4.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
Alvin Williams,1.394736842105263,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7407407407407407,0.7391304347826086,0.8275862068965517,0.8015267175572519,0.9642857142857144,0.0,0.0,0.0,1.0606060606060606,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.2,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,1.0,0.0,106.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,34.0,120.0,210.0,81.0,0.0,0.0,0.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0
Andre Miller,1.6415094339622642,1.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.4,0.65,0.9217391304347826,0.88,0.6981132075471698,1.2857142857142856,0.0,0.0,0.25,1.034013605442177,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,104.0,106.0,242.0,74.0,45.0,0.0,0.0,3.0,152.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew DeClercq,0.8571428571428571,0.0,0.0,0.0,1.7777777777777777,0.0,0.0,2.0,0.7777777777777778,0.4,0.9333333333333333,0.5714285714285714,0.0,0.0,0.0,0.0,1.164835164835165,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.1764705882352942,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,32.0,0.0,0.0,2.0,14.0,2.0,14.0,4.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0
Antawn Jamison,1.8095238095238095,1.0,0.0,0.0,1.9090909090909092,2.0,0.0,1.4285714285714286,0.5307443365695793,0.6330935251798561,0.7453416149068323,0.7345679012345679,0.9710982658959537,0.0,0.0,0.0,1.4262295081967213,0.8888888888888888,0.0,0.0,0.0,0.0,1.2,1.4791666666666667,0.6666666666666666,1.0,2.0,0.0,0.0,0.0,1.125,2.0,0.0,0.0,0.0,1.7142857142857142,0.8,76.0,4.0,0.0,0.0,42.0,2.0,0.0,10.0,164.0,88.0,240.0,238.0,168.0,0.0,0.0,0.0,348.0,24.0,0.0,0.0,0.0,0.0,6.0,142.0,8.0,4.0,2.0,0.0,0.0,0.0,72.0,2.0,0.0,0.0,0.0,12.0,4.0
Anthony Carter,1.0769230769230769,0.0,0.0,0.0,1.8181818181818181,0.0,0.0,0.0,0.7222222222222222,0.75,0.7578947368421053,0.7142857142857143,0.5454545454545454,0.0,0.0,0.0,1.1785714285714286,2.0,0.0,0.0,0.0,0.0,0.0,1.2,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,56.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,26.0,36.0,72.0,90.0,12.0,0.0,0.0,0.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
Anthony Goldwire,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.3333333333333333,0.6666666666666666,0.8461538461538461,0.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,22.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Johnson,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.7058823529411765,0.5333333333333333,0.4,0.75,0.0,0.0,0.0,1.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,24.0,12.0,3.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Mason,1.095890410958904,1.0,0.0,0.0,1.6,0.0,0.0,1.0,0.8099173553719008,0.7777777777777778,0.863849765258216,0.6363636363636364,0.0,0.0,0.0,0.0,1.1568627450980393,1.0,0.0,0.0,0.0,0.0,1.5,1.0985915492957747,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2.0,0.0,80.0,2.0,0.0,0.0,16.0,0.0,0.0,6.0,98.0,98.0,184.0,14.0,0.0,0.0,0.0,0.0,236.0,6.0,0.0,0.0,0.0,0.0,12.0,156.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0
Anthony Peeler,1.3076923076923077,0.0,0.0,0.0,1.5,0.0,0.0,1.3333333333333333,0.7027027027027027,0.8888888888888888,0.8055555555555556,0.8154506437768241,1.190721649484536,0.0,0.0,0.0,1.0204081632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,26.0,24.0,116.0,190.0,231.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Walker,1.6541353383458646,1.3333333333333333,0.0,0.0,2.0,2.0,0.0,2.0,0.5024630541871922,0.4918032786885246,0.6111111111111112,0.7397260273972602,1.116412213740458,1.1666666666666667,0.0,0.0,0.8252148997134671,0.41509433962264153,0.0,0.0,0.0,0.0,1.3333333333333333,1.0555555555555556,2.0,2.0,0.0,0.0,0.0,0.0,1.6774193548387097,0.0,0.0,0.0,0.0,0.0,0.0,220.0,24.0,0.0,0.0,36.0,2.0,0.0,12.0,102.0,30.0,66.0,108.0,585.0,21.0,0.0,0.0,288.0,22.0,0.0,0.0,0.0,0.0,4.0,38.0,12.0,2.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Daniels,1.826086956521739,0.0,0.0,0.0,1.9090909090909092,0.0,0.0,2.0,0.8095238095238095,0.88,0.82,0.7021276595744681,1.2580645161290323,0.0,0.75,3.0,1.1692307692307693,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,1.5,2.0,42.0,0.0,0.0,0.0,42.0,0.0,0.0,2.0,68.0,44.0,82.0,66.0,156.0,0.0,3.0,3.0,76.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0
Antonio Davis,0.95,0.0,0.0,0.0,1.8279569892473118,1.0,0.0,1.3333333333333333,0.3902439024390244,0.8656716417910447,0.726457399103139,0.631578947368421,0.0,0.0,0.0,0.0,0.8488372093023255,2.0,0.0,0.0,0.0,0.0,0.0,0.92,0.5806451612903226,0.4,0.0,0.0,0.0,0.0,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,170.0,2.0,0.0,4.0,32.0,58.0,162.0,24.0,0.0,0.0,0.0,0.0,146.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,18.0,2.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Harvey,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,1.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio McDyess,1.4545454545454546,2.0,0.0,0.0,1.6984126984126984,2.0,0.0,0.0,0.58,0.7727272727272727,0.7569060773480663,0.5052631578947369,0.0,0.0,0.0,0.0,1.284848484848485,0.0,0.0,0.0,0.0,0.0,2.0,1.0731707317073171,0.9166666666666666,1.1764705882352942,0.0,0.0,0.0,0.0,1.2876712328767124,2.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,0.0,0.0,214.0,6.0,0.0,0.0,58.0,68.0,274.0,48.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,22.0,60.0,0.0,0.0,0.0,0.0,94.0,2.0,0.0,0.0,0.0,0.0,0.0
Arvydas Sabonis,1.3846153846153846,0.0,0.0,0.0,1.9166666666666667,0.0,0.0,0.0,0.45161290322580644,0.5454545454545454,0.5853658536585366,0.8455284552845529,0.23076923076923078,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.008695652173913,0.8695652173913043,0.6666666666666666,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,2.0,18.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,14.0,6.0,24.0,104.0,3.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,12.0,116.0,20.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0
Austin Croshere,1.44,1.3333333333333333,0.0,0.0,1.8666666666666667,2.0,0.0,0.0,0.41379310344827586,0.7222222222222222,0.8048780487804879,0.6666666666666666,1.094890510948905,1.0,0.0,0.0,0.7704918032786885,1.0,0.0,0.0,0.0,0.0,0.0,1.25,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,36.0,12.0,0.0,0.0,56.0,4.0,0.0,0.0,36.0,26.0,66.0,88.0,150.0,3.0,0.0,0.0,94.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Avery Johnson,1.6216216216216217,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,0.5454545454545454,0.8631578947368421,0.717948717948718,0.0,0.0,0.0,0.0,1.0491803278688525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,82.0,28.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Baron Davis,1.5365853658536586,0.6666666666666666,0.0,0.0,1.6956521739130435,2.0,0.0,0.0,0.5517241379310345,0.5714285714285714,0.6862745098039216,0.7079646017699115,0.9610389610389609,0.3333333333333333,0.0,1.0,0.912621359223301,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.2105263157894737,1.5,0.0,0.0,0.0,0.0,0.0,126.0,2.0,0.0,0.0,78.0,2.0,0.0,0.0,32.0,24.0,70.0,80.0,222.0,6.0,0.0,3.0,188.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,46.0,6.0,0.0,0.0,0.0,0.0,0.0
Ben Wallace,1.5384615384615385,0.0,0.0,0.0,1.8588235294117648,2.0,0.0,2.0,0.3,0.4,0.5333333333333333,0.6153846153846154,1.5,0.0,0.0,0.0,0.8405797101449275,0.0,0.0,0.0,0.0,0.0,1.0,0.7096774193548387,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,1.0612244897959184,0.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,158.0,2.0,0.0,2.0,12.0,4.0,16.0,8.0,3.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,4.0,0.0
Bo Outlaw,1.6470588235294117,0.0,0.0,0.0,1.9285714285714286,0.0,0.0,1.0,0.7058823529411765,0.8,0.8888888888888888,0.6666666666666666,0.0,0.0,3.0,0.0,1.3043478260869565,0.0,0.0,0.0,0.0,0.0,2.0,0.9333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,2.0,0.0,28.0,0.0,0.0,0.0,108.0,0.0,0.0,4.0,24.0,4.0,8.0,2.0,0.0,0.0,3.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,8.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0
Bob Sura,1.3333333333333333,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2222222222222222,0.13333333333333333,0.9230769230769231,0.6172839506172839,0.7769784172661871,0.0,0.0,0.0,1.1789473684210525,0.4444444444444444,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.0,1.0,108.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,2.0,24.0,50.0,108.0,0.0,0.0,0.0,112.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0
Bobby Jackson,1.2238805970149254,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.5581395348837209,0.8333333333333334,0.7884615384615384,0.7241379310344828,1.2352941176470589,0.0,0.0,0.0,1.205128205128205,0.8,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,82.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,30.0,82.0,84.0,63.0,0.0,0.0,0.0,94.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Miller,1.6363636363636365,0.0,0.0,0.0,1.8095238095238095,0.0,0.0,0.0,0.2903225806451613,0.7586206896551724,0.8157894736842105,0.46153846153846156,0.75,0.0,0.0,0.0,1.006993006993007,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,18.0,22.0,62.0,6.0,3.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Barry,1.7435897435897436,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.5641025641025641,0.5,0.5555555555555556,0.782608695652174,1.4754098360655736,1.125,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,22.0,2.0,10.0,54.0,270.0,9.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Brevin Knight,1.5384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.5333333333333333,0.8026315789473685,0.704225352112676,0.42857142857142855,0.0,0.0,0.0,0.7111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,122.0,50.0,3.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Cardinal,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Grant,1.2444444444444445,0.0,0.0,0.0,1.5263157894736843,2.0,0.0,1.3333333333333333,0.593939393939394,0.8157894736842105,0.9603960396039604,0.7936507936507936,0.0,0.0,0.0,0.0,1.08675799086758,1.0,0.0,0.0,0.0,0.0,2.0,0.8372093023255814,0.75,2.0,0.0,0.0,0.0,0.0,1.1538461538461537,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,56.0,0.0,0.0,0.0,116.0,2.0,0.0,20.0,98.0,62.0,194.0,100.0,0.0,0.0,0.0,0.0,238.0,2.0,0.0,0.0,0.0,0.0,2.0,36.0,6.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,4.0,0.0
Brian Shaw,1.2972972972972974,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7058823529411765,0.9090909090909091,0.6976744186046512,0.9117647058823529,0.9130434782608696,0.3333333333333333,0.0,0.0,0.9454545454545454,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,20.0,30.0,62.0,105.0,3.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Skinner,2.0,0.0,0.0,0.0,1.7647058823529411,0.0,0.0,2.0,0.43902439024390244,0.2,0.21052631578947367,2.0,0.0,0.0,0.0,0.0,1.0285714285714285,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.2,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,2.0,18.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Bowen,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.6,0.631578947368421,0.6666666666666666,0.6956521739130435,0.9047619047619047,1.0,0.0,0.0,0.9259259259259259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,30.0,0.0,0.0,2.0,24.0,12.0,36.0,112.0,171.0,3.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryant Reeves,1.5,2.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,0.7878787878787878,0.7924528301886793,0.8176795580110497,0.5846153846153846,1.0,0.0,0.0,0.0,1.3,1.3333333333333333,0.0,2.0,0.0,0.0,2.0,0.8333333333333334,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,0.0,36.0,0.0,0.0,0.0,78.0,42.0,148.0,38.0,3.0,0.0,0.0,0.0,104.0,4.0,0.0,2.0,0.0,0.0,2.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0
Bryant Stith,1.5483870967741935,1.1428571428571428,0.0,0.0,2.0,0.0,0.0,0.0,0.5384615384615384,0.7368421052631579,0.6265060240963856,0.8484848484848485,1.1015625,0.0,0.0,0.0,0.7384615384615385,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,28.0,14.0,52.0,168.0,141.0,0.0,0.0,0.0,48.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryon Russell,1.696969696969697,0.0,0.0,0.0,1.826086956521739,0.0,0.0,2.0,0.5238095238095238,0.21052631578947367,0.6666666666666666,0.837696335078534,1.1962025316455698,0.75,0.0,0.0,0.9864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,42.0,0.0,0.0,4.0,22.0,4.0,40.0,160.0,189.0,3.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Cal Bowdler,2.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.4,0.8888888888888888,1.2941176470588236,0.6000000000000001,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,32.0,22.0,3.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Booth,1.3333333333333333,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.6222222222222222,0.7692307692307693,0.8,0.5,0.0,0.0,0.0,0.0,1.018181818181818,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,1.2,1.2,1.2,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,28.0,20.0,44.0,4.0,0.0,0.0,0.0,0.0,56.0,2.0,0.0,0.0,0.0,0.0,4.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
